N	2gram	Bakhtin_sl_1	Problema
1	и в	41	44
2	вовсе не	7	37
3	и не	16	35
4	не есть	2	35
5	то есть	26	34
6	может быть	14	28
7	потому что	2	25
8	в том	3	21
9	только в	6	19
10	а не	15	18
11	в этом	12	17
12	для нас	2	16
13	также и	3	16
14	сказать что	2	16
15	если мы	2	16
16	и даже	6	14
17	не только	16	14
18	и то	2	14
19	не в	7	13
20	и т	28	13
21	т д	5	13
22	то же	14	13
23	так что	2	12
24	той или	9	12
25	но в	8	12
26	том что	2	12
27	не является	2	11
28	но и	16	10
29	у нас	2	10
30	как и	4	10
31	так и	11	10
32	это не	6	9
33	и от	4	9
34	и тем	2	9
35	в нем	30	9
36	и с	4	9
37	как бы	12	9
38	так как	3	9
39	в то	14	9
40	в его	13	9
41	в данном	3	9
42	во всяком	7	9
43	таким образом	9	9
44	перед нами	4	8
45	или иной	9	8
46	смысле слова	2	8
47	того что	3	8
48	было бы	3	8
49	он не	3	8
50	как раз	2	8
51	как мы	8	8
52	в себе	3	8
53	связи с	2	8
54	и вообще	2	8
55	здесь не	2	8
56	с другой	5	7
57	данном случае	3	7
58	не может	14	7
59	уже не	2	7
60	все эти	9	7
61	с ним	7	7
62	и потому	4	7
63	на самом	2	7
64	мы не	2	7
65	никогда не	3	6
66	можно сказать	2	6
67	всяком случае	5	6
68	в целом	2	6
69	такого рода	2	6
70	того или	2	6
71	и к	5	6
72	о том	3	6
73	все же	7	6
74	в виде	2	6
75	не было	3	5
76	или даже	2	5
77	что они	2	5
78	и сам	3	5
79	хотя и	2	5
80	в ней	4	5
81	другой стороны	4	5
82	все это	5	5
83	в своем	3	5
84	а в	6	5
85	точки зрения	16	5
86	и здесь	3	5
87	этом случае	2	5
88	еще не	4	5
89	за пределы	4	5
90	и о	2	5
91	с ней	2	5
92	в своей	7	5
93	как в	8	5
94	так же	2	5
95	только на	2	5
96	и его	14	5
97	тому что	2	4
98	при этом	6	4
99	время как	2	4
100	совершенно не	2	4
101	языка и	12	4
102	же и	2	4
103	то время	2	4
104	мы уже	2	4
105	а также	2	4
106	в ее	2	4
107	или в	8	4
108	можно было	2	4
109	нас в	2	4
110	как только	3	3
111	же как	2	3
112	формы и	3	3
113	прежде всего	8	3
114	к тому	3	3
115	жизнь в	2	3
116	ни было	2	3
117	для него	3	3
118	кроме того	4	3
119	в самом	5	3
120	с этой	3	3
121	его в	3	3
122	или иного	2	3
123	в условиях	2	3
124	то в	2	3
125	но не	2	3
126	в качестве	3	3
127	здесь в	4	3
128	одно и	2	3
129	она не	3	3
130	ни о	2	3
131	но оно	3	3
132	его как	2	3
133	быть и	4	3
134	из этого	3	3
135	и все	4	3
136	в той	10	3
137	хотя бы	3	3
138	с другими	5	3
139	и ее	3	3
140	как оно	3	3
141	слова и	13	3
142	ничего не	4	3
143	в известном	2	2
144	время и	2	2
145	именно в	3	2
146	в частности	2	2
147	в этих	2	2
148	все они	7	2
149	в отношении	6	2
150	а вовсе	2	2
151	того же	6	2
152	что все	2	2
153	всех этих	4	2
154	в известной	2	2
155	до сих	2	2
156	со своим	5	2
157	у тургенева	7	2
158	и следовательно	7	2
159	от его	3	2
160	в контексте	2	2
161	в котором	2	2
162	с ее	4	2
163	из них	3	2
164	в их	4	2
165	с одной	4	2
166	произведения и	2	2
167	и по	2	2
168	друг друга	3	2
169	широком смысле	2	2
170	в результате	3	2
171	в основе	5	2
172	с этим	3	2
173	зрения на	7	2
174	переходит в	3	2
175	с которыми	2	2
176	свое произведение	2	2
177	поэтому и	3	2
178	а как	2	2
179	нисколько не	2	2
180	и там	3	2
181	для них	2	2
182	и во	3	2
183	по существу	3	2
184	по своему	2	2
185	чем он	2	2
186	но именно	4	2
187	и может	3	2
188	во всех	17	2
189	в слове	7	2
190	дело не	2	2
191	себя в	9	2
192	в процессе	4	2
193	сих пор	2	2
194	слова как	6	2
195	нами в	2	2
196	а с	2	2
197	и у	2	2
198	и для	4	2
199	с точки	8	2
200	у них	2	2
201	почти всегда	3	2
202	от всякого	2	2
203	мы и	2	2
204	он в	5	2
205	могут быть	19	2
206	эти слова	2	2
207	в другом	2	2
208	жизни но	2	2
209	в которой	4	2
210	из него	2	2
