N	2gram	Berdyaev_M_2	Myslijsy
1	потому что	12	52
2	и в	46	39
3	может быть	21	27
4	в том	3	26
5	только в	3	25
6	что в	4	22
7	не может	15	22
8	а не	13	21
9	так как	8	21
10	не только	18	21
11	в нем	22	20
12	но и	15	20
13	и не	18	18
14	том что	4	16
15	так что	2	16
16	не в	9	15
17	в этом	20	15
18	если бы	3	14
19	отношению к	2	13
20	так и	4	13
21	по отношению	2	13
22	в себе	10	13
23	в человеке	2	10
24	по себе	2	10
25	что не	2	10
26	не есть	13	10
27	то что	5	10
28	как в	7	10
29	и что	2	10
30	как и	13	9
31	тем что	3	9
32	тогда когда	2	9
33	но в	10	9
34	вместе с	2	8
35	того что	6	8
36	в мысли	2	8
37	точки зрения	2	8
38	должно быть	2	7
39	в ней	11	7
40	должны быть	4	7
41	это не	5	7
42	духа и	3	7
43	в этих	2	7
44	человеческого духа	5	6
45	как бы	8	6
46	что и	4	6
47	бы не	2	6
48	то же	5	6
49	того как	3	6
50	души и	2	5
51	что человек	2	5
52	но это	8	5
53	то в	2	5
54	и потому	7	5
55	в его	5	5
56	во всех	2	5
57	не имеют	2	5
58	так же	6	5
59	а в	2	5
60	и для	7	5
61	мысль что	4	5
62	не имеет	4	5
63	друг друга	12	5
64	и его	5	5
65	между тем	2	5
66	никогда не	18	4
67	вопрос о	6	4
68	прежде всего	12	4
69	в свою	4	4
70	мы видим	2	4
71	самого себя	4	4
72	для него	18	4
73	в действительности	2	4
74	к тому	5	4
75	от того	3	4
76	увидим что	2	4
77	в своих	3	4
78	в каждом	3	4
79	не было	11	4
80	и других	2	4
81	тому как	2	4
82	в более	2	4
83	во всем	5	4
84	бы в	2	4
85	на деле	4	4
86	с другим	3	3
87	что это	6	3
88	тому что	4	3
89	в них	3	3
90	оно не	2	3
91	и во	3	3
92	и от	3	3
93	и это	5	3
94	в жизни	4	3
95	что все	5	3
96	думать что	4	3
97	есть уже	4	3
98	в этой	7	3
99	в своем	8	3
100	мы увидим	2	3
101	она не	8	3
102	в своей	5	3
103	для того	5	3
104	в мире	7	3
105	связи с	2	3
106	и той	2	3
107	в самом	5	3
108	были бы	2	3
109	одной и	2	3
110	свободы и	4	3
111	не мог	3	3
112	не так	3	3
113	той же	3	3
114	с ним	3	3
115	сказать что	3	3
116	хотя и	2	3
117	он не	10	3
118	подобно тому	2	3
119	человеческой природы	7	3
120	и все	5	3
121	к которому	3	3
122	и с	3	3
123	не существует	3	2
124	что природа	2	2
125	но на	2	2
126	и есть	8	2
127	но он	11	2
128	но с	2	2
129	на все	3	2
130	народной жизни	4	2
131	выйти из	2	2
132	не что	3	2
133	жизни и	6	2
134	уже не	4	2
135	у нас	11	2
136	есть не	5	2
137	не будет	3	2
138	человека не	4	2
139	чем в	2	2
140	все что	4	2
141	того чтобы	4	2
142	мысль о	2	2
143	в сущности	2	2
144	есть явление	2	2
145	вопроса о	4	2
146	и если	2	2
147	к ней	2	2
148	чтобы не	3	2
149	его с	2	2
150	в строении	3	2
151	и человеческого	2	2
152	что же	2	2
153	для человека	3	2
154	для этого	4	2
155	нем есть	6	2
156	в разных	2	2
157	еще более	2	2
158	в народе	6	2
159	хотя бы	7	2
160	и должно	3	2
161	иное как	3	2
162	то он	2	2
163	народа и	4	2
164	что иное	3	2
165	как будто	2	2
166	его на	4	2
167	о том	3	2
168	и всегда	3	2
169	и самое	2	2
170	нет ничего	3	2
171	есть в	3	2
172	эта мысль	2	2
173	из глубины	2	2
174	то все	2	2
175	в которой	2	2
176	природы в	2	2
