N	2gram	Bakhtin_sl_2	Hudozhes
1	том что	5	16
2	и в	39	14
3	так и	15	13
4	а не	14	12
5	в том	5	12
6	не только	24	12
7	при этом	7	12
8	о том	2	12
9	прежде всего	8	11
10	и т	35	11
11	в этом	16	11
12	в себе	2	11
13	для него	7	10
14	у него	3	9
15	что он	2	9
16	как и	6	9
17	то же	4	9
18	как в	13	8
19	то что	2	8
20	же время	4	8
21	отношению к	4	8
22	по отношению	4	8
23	т п	33	8
24	между тем	3	8
25	в то	4	8
26	в его	7	8
27	это не	5	7
28	уже не	5	7
29	не в	9	7
30	еще не	7	7
31	как бы	7	7
32	не может	20	7
33	именно в	2	7
34	а в	4	7
35	никогда не	7	6
36	что в	3	6
37	жизни в	2	6
38	человека в	5	6
39	не менее	4	5
40	перед нами	3	5
41	с его	7	5
42	в этих	7	5
43	может быть	37	5
44	только в	5	5
45	но и	21	5
46	жизни и	6	5
47	одновременно и	3	5
48	и его	33	5
49	ни в	4	5
50	точки зрения	8	5
51	героя и	5	5
52	но в	6	5
53	связи с	3	4
54	в своем	6	4
55	и от	3	4
56	и все	5	4
57	и к	6	4
58	она не	6	4
59	мы уже	2	4
60	в ней	3	4
61	один из	5	4
62	себя в	8	4
63	не было	2	4
64	он не	2	4
65	с ним	7	4
66	и с	9	4
67	но не	6	3
68	но он	2	3
69	с этим	2	3
70	романа в	5	3
71	как мы	7	3
72	говорить о	3	3
73	от него	5	3
74	на этом	3	3
75	в пределах	13	3
76	о нем	2	3
77	даже в	2	3
78	в нем	19	3
79	все же	6	3
80	в связи	2	3
81	т д	2	3
82	и для	5	3
83	этом отношении	3	3
84	все эти	6	3
85	лишь в	3	3
86	того чтобы	2	3
87	и даже	7	3
88	с точки	3	3
89	в таком	4	3
90	и на	4	3
91	как к	3	3
92	его в	4	3
93	а также	3	3
94	может и	2	3
95	ни к	2	2
96	автора и	2	2
97	поэтому и	4	2
98	человек в	6	2
99	себя и	4	2
100	однако в	2	2
101	так в	2	2
102	не столько	3	2
103	установкой на	3	2
104	и потому	7	2
105	на фоне	4	2
106	в себя	2	2
107	по себе	5	2
108	к своему	9	2
109	в другом	2	2
110	в противовес	2	2
111	одна из	4	2
112	до конца	17	2
113	со своим	9	2
114	например в	5	2
115	на его	2	2
116	значительной степени	6	2
117	хотя и	2	2
118	в него	7	2
119	слова как	2	2
120	как он	2	2
121	не знаем	2	2
122	лежит на	2	2
123	сих пор	2	2
124	на него	2	2
125	в форме	2	2
126	в их	2	2
127	все это	16	2
128	влияние на	2	2
129	мышления и	5	2
130	особенно в	2	2
131	не знает	2	2
132	и не	22	2
133	в бытовой	3	2
134	они не	2	2
135	в значительной	6	2
136	героя в	3	2
137	не была	3	2
138	той же	3	2
139	с ними	5	2
140	в результате	2	2
141	действующих лиц	2	2
142	с ее	2	2
143	эти слова	2	2
144	еще раз	3	2
145	слова в	13	2
146	но как	2	2
147	здесь не	4	2
148	так сказать	6	2
149	мы не	2	2
150	оно было	2	2
151	до сих	2	2
