N	2gram	Tiupa_Hudo_1	Problemy
1	и в	19	46
2	то есть	18	40
3	и не	15	27
4	может быть	14	23
5	как бы	9	19
6	не может	7	19
7	в нем	5	17
8	в этом	11	16
9	не только	16	14
10	и т.п	4	14
11	слова в	2	13
12	но и	10	12
13	как и	2	12
14	и на	2	11
15	точки зрения	10	11
16	в одном	2	11
17	а не	9	11
18	не в	7	10
19	в пределах	3	10
20	между ними	4	10
21	прежде всего	4	9
22	в том	18	9
23	в самом	5	9
24	вовсе не	2	9
25	и к	3	9
26	в его	9	9
27	с точки	3	9
28	или в	2	8
29	по себе	2	7
30	еще не	3	7
31	как раз	3	7
32	в себе	9	7
33	слова и	2	7
34	никогда не	2	6
35	ни в	5	6
36	есть в	2	6
37	хотя и	3	6
38	но в	7	6
39	что он	3	6
40	в романе	3	6
41	то же	10	6
42	все это	2	6
43	и его	12	6
44	только в	5	6
45	это не	2	5
46	о себе	2	5
47	с самим	2	5
48	же время	5	5
49	при этом	13	5
50	к нему	3	5
51	по отношению	9	5
52	в самой	2	5
53	в то	6	5
54	в структуре	3	5
55	в жизни	2	5
56	с его	6	5
57	за пределы	2	5
58	о том	2	5
59	отношению к	9	5
60	во всех	3	5
61	если мы	2	5
62	речи и	3	5
63	том числе	2	4
64	что в	6	4
65	в этих	3	4
66	можно сказать	5	4
67	например в	3	4
68	в виду	5	4
69	в их	5	4
70	таким образом	3	4
71	все эти	2	4
72	потому что	3	4
73	не знает	3	4
74	превращается в	2	4
75	как в	2	4
76	этих двух	2	4
77	том что	8	4
78	но не	11	4
79	он не	4	4
80	то что	4	4
81	своего рода	5	4
82	так и	11	4
83	приводит к	5	4
84	в себя	2	4
85	уже не	4	4
86	героя и	5	4
87	здесь не	2	4
88	и другие	2	3
89	себя и	2	3
90	в отношении	3	3
91	с другой	7	3
92	из этих	3	3
93	в мире	21	3
94	в своем	2	3
95	более или	5	3
96	в формах	2	3
97	и для	2	3
98	отношение к	5	3
99	образом и	2	3
100	другой стороны	5	3
101	так же	2	3
102	но он	3	3
103	самим собою	2	3
104	имеем в	3	3
105	их в	3	3
106	мы имеем	6	3
107	если бы	3	3
108	не как	2	3
109	с ее	5	3
110	по своей	7	3
111	того же	2	3
112	в повести	2	3
113	и что	3	3
114	в своей	5	3
115	и о	3	3
116	что и	2	3
117	себя в	7	3
118	или менее	5	3
119	в отличие	7	3
120	в той	3	3
121	отличается от	2	3
122	в слове	3	3
123	слова как	5	3
124	между двумя	2	3
125	в этой	2	3
126	и т.д	3	3
127	далеко не	2	3
128	и это	2	3
129	отличие от	7	3
130	не менее	3	2
131	сама по	2	2
132	и одновременно	5	2
133	для понимания	2	2
134	или иной	7	2
135	к тому	4	2
136	в одно	2	2
137	и как	3	2
138	времени и	2	2
139	для него	4	2
140	к области	3	2
141	той или	4	2
142	и тем	2	2
143	могут оказаться	2	2
144	но она	2	2
145	к жизни	2	2
146	отношения к	2	2
147	лишь в	4	2
148	в системе	2	2
149	и по	2	2
150	а в	12	2
151	не входит	2	2
152	сказать что	4	2
153	в узком	3	2
154	самим собой	4	2
155	языка в	4	2
156	в художественном	4	2
157	в произведении	3	2
158	с ним	2	2
159	между тем	4	2
160	этом смысле	3	2
161	одна из	2	2
162	своей природе	2	2
163	об этом	2	2
164	этого слова	2	2
165	на почве	3	2
166	не могло	2	2
167	так в	4	2
168	высказывания и	2	2
169	в данном	4	2
170	в рассказе	3	2
171	автора и	3	2
172	могут быть	4	2
173	в другом	3	2
174	отношении к	2	2
