N	2gram	Propp_Isto_4	Otkroven
1	у него	5	22
2	и в	26	19
3	но и	12	13
4	и не	9	13
5	в этом	7	12
6	а не	6	11
7	не в	5	11
8	может быть	14	11
9	не только	15	11
10	и все	2	10
11	вопрос о	4	10
12	в нем	2	10
13	никогда не	2	9
14	потому что	6	9
15	и он	3	8
16	он всегда	3	7
17	лишь в	2	7
18	но он	4	7
19	от него	2	7
20	он не	7	7
21	в его	5	7
22	все это	2	6
23	как и	7	6
24	то что	16	5
25	а в	8	5
26	отношение к	2	5
27	в том	3	5
28	в этой	2	5
29	на земле	3	4
30	т е	18	4
31	в самую	2	4
32	и его	10	4
33	все эти	3	4
34	не может	6	4
35	что в	14	4
36	к нему	6	3
37	не могут	2	3
38	в этих	7	3
39	и есть	2	3
40	это не	5	3
41	о природе	3	3
42	и вот	2	3
43	что он	10	3
44	того что	2	3
45	хотя бы	2	3
46	еще не	6	3
47	могут быть	6	3
48	все что	4	3
49	в себе	2	3
50	было бы	2	3
51	когда он	6	3
52	в русской	3	3
53	о том	4	3
54	как бы	3	3
55	в этот	4	2
56	уже в	2	2
57	все же	9	2
58	что и	9	2
59	не есть	2	2
60	он в	4	2
61	с тем	2	2
62	и там	2	2
63	в истории	2	2
64	так и	10	2
65	в своем	2	2
66	что у	3	2
67	что есть	2	2
68	все еще	3	2
69	к этому	5	2
70	по себе	2	2
71	же это	2	2
72	не имеет	3	2
73	в других	2	2
74	их не	2	2
75	том что	3	2
76	так что	2	2
77	в другом	5	2
78	в человеческом	4	2
79	и на	2	2
80	и то	6	2
81	что они	6	2
82	сказать что	2	2
83	и с	5	2
84	тем что	5	2
85	даже и	2	2
86	его в	9	2
87	должен был	3	2
88	в своей	4	2
89	так как	9	2
90	и этим	2	2
91	к этой	3	2
92	ничего не	5	2
93	хотя и	2	2
94	но в	5	2
