N	2gram	Losev_Vesc_1	Literetu
1	и не	29	22
2	и в	21	16
3	не только	36	14
4	но и	18	14
5	в этом	4	14
6	а не	19	12
7	то что	27	12
8	может быть	16	12
9	в том	8	12
10	не в	5	10
11	я и	6	10
12	то же	6	9
13	так и	3	9
14	того что	8	9
15	в то	3	9
16	в жизни	3	8
17	том что	8	8
18	не может	17	8
19	к себе	4	8
20	в этой	3	8
21	как бы	12	8
22	в своей	5	7
23	себя в	10	7
24	со стороны	5	7
25	точки зрения	5	7
26	я в	2	7
27	только в	14	7
28	с другой	6	6
29	к тому	3	6
30	еще не	8	6
31	в его	2	6
32	и его	2	6
33	в себе	14	6
34	в другом	2	6
35	о том	6	6
36	это не	5	5
37	в ее	7	5
38	как и	8	5
39	а в	4	5
40	в основе	3	5
41	что я	24	5
42	но не	5	4
43	никогда не	2	4
44	по существу	2	4
45	одной стороны	3	4
46	и если	2	4
47	и для	9	4
48	хотя и	4	4
49	из них	4	4
50	данном случае	2	4
51	с одной	3	4
52	должно быть	6	4
53	в данном	5	4
54	в одном	2	4
55	отнюдь не	5	3
56	все еще	3	3
57	прежде всего	9	3
58	а затем	2	3
59	и как	8	3
60	то в	4	3
61	совершенно не	5	3
62	в самом	9	3
63	и а	2	3
64	в слове	2	3
65	однако не	2	3
66	и тем	3	3
67	с ее	6	3
68	но уже	3	3
69	жизни и	2	3
70	бы и	5	3
71	уже не	9	3
72	самом деле	4	3
73	с точки	3	3
74	той же	2	3
75	тому как	4	3
76	не случайно	2	3
77	потому что	16	3
78	по своей	2	3
79	как это	2	3
80	но в	5	3
81	ни было	4	2
82	что в	9	2
83	не менее	3	2
84	если бы	5	2
85	так или	4	2
86	то ни	4	2
87	что у	5	2
88	оно не	3	2
89	с этой	4	2
90	в конце	2	2
91	я не	4	2
92	по себе	13	2
93	ни с	6	2
94	стороны и	2	2
95	со всей	2	2
96	на то	4	2
97	в нем	2	2
98	и ее	18	2
99	не я	2	2
100	у нас	7	2
101	так чтобы	2	2
102	знает что	2	2
103	того же	5	2
104	во втором	2	2
105	в свою	4	2
106	для него	4	2
107	можно сказать	6	2
108	было бы	14	2
109	что не	5	2
110	в первой	2	2
111	во всех	2	2
112	той или	2	2
113	себя и	4	2
114	не вполне	2	2
115	для себя	5	2
116	один из	3	2
117	не с	7	2
118	то это	3	2
119	что и	3	2
120	а так	2	2
121	все же	4	2
122	бы то	4	2
123	с ней	2	2
124	но еще	3	2
125	как мы	4	2
126	как раз	9	2
127	а и	9	2
128	и только	3	2
129	быть не	4	2
130	если не	3	2
131	еще и	8	2
132	но с	2	2
133	из того	2	2
134	и вот	2	2
135	для такого	2	2
136	того чтобы	3	2
137	для того	2	2
138	действительности в	2	2
139	о которой	2	2
140	другой стороны	2	2
141	и даже	6	2
142	или иначе	4	2
143	с ними	3	2
144	и с	8	2
145	быть только	3	2
146	тем что	2	2
147	подобно тому	4	2
148	его в	2	2
149	в первом	2	2
150	и потому	5	2
151	это будет	3	2
152	если это	2	2
153	для меня	2	2
154	вне себя	2	2
