N	3gram	Potebnia_M_4	KulturaY
1	и т п	4	41
2	с точки зрения	3	16
3	для того чтобы	4	11
4	тем не менее	4	9
5	в том что	7	8
6	и т д	3	8
7	до сих пор	4	8
8	в данном случае	2	4
9	до тех пор	6	4
10	и в этом	4	4
11	тех пор пока	2	4
12	в том случае	3	4
13	только тогда когда	4	4
14	после того как	2	4
15	в этом случае	5	4
16	сам по себе	4	3
17	не может быть	5	3
18	потому что как	2	3
19	на самом деле	3	3
20	о том что	5	3
21	один и тот	2	2
22	только в том	2	2
23	не в том	2	2
24	в таком случае	2	2
25	потому что в	3	2
26	не могут быть	2	2
27	по отношению к	8	2
28	от того что	3	2
29	и тот же	2	2
30	если бы не	2	2
31	что и в	2	2
