N	2gram	Berdyaev_O_1	Analitik
1	в этом	12	18
2	и в	19	16
3	не только	11	16
4	так и	2	15
5	как и	6	14
6	в том	5	12
7	но и	13	12
8	и не	13	12
9	том что	2	12
10	могут быть	3	10
11	как бы	3	10
12	а не	11	10
13	лишь в	7	9
14	в этой	5	9
15	ничего не	2	9
16	в себе	3	7
17	то что	5	7
18	о том	3	7
19	в самом	5	6
20	и на	2	6
21	может быть	11	6
22	но в	2	6
23	и к	2	5
24	в своем	2	4
25	у него	22	4
26	о его	5	4
27	не в	11	4
28	для него	5	4
29	все это	6	4
30	не может	4	4
31	и его	4	4
32	хотя и	2	4
33	он в	2	4
34	никогда не	9	3
35	прежде всего	9	3
36	так что	2	3
37	было бы	3	3
38	что и	2	3
39	а в	5	3
40	и то	2	3
41	тем что	2	3
42	и все	10	3
43	того что	3	2
44	что все	2	2
45	к этому	2	2
46	по себе	2	2
47	он был	8	2
48	все что	3	2
49	ведь это	2	2
50	что в	4	2
51	еще не	3	2
52	в своей	2	2
53	ни с	7	2
54	это было	3	2
55	не есть	2	2
56	всего в	2	2
57	т е	4	2
58	и он	8	2
59	не имеет	2	2
60	и для	2	2
61	личности и	2	2
62	одно из	2	2
63	он не	7	2
64	в его	7	2
65	его в	2	2
66	в этих	3	2
67	сказать что	2	2
68	с ним	3	2
