N	2gram	Medvedev_F_1	Myslijsy
1	и в	24	24
2	в душе	2	23
3	может быть	14	23
4	то что	8	20
5	и не	20	19
6	а не	10	18
7	в том	6	18
8	что в	4	16
9	по себе	5	15
10	не только	7	15
11	при этом	5	13
12	было бы	6	13
13	не в	8	13
14	но не	3	12
15	не может	16	12
16	то же	10	12
17	если бы	4	11
18	что и	2	11
19	вместе с	2	11
20	мы не	3	11
21	только в	2	11
22	таким образом	13	11
23	для него	3	10
24	в себе	3	10
25	как в	8	10
26	независимо от	4	9
27	вовсе не	10	9
28	в нем	14	9
29	как бы	6	9
30	но и	7	9
31	под влиянием	2	8
32	а только	2	8
33	а в	6	8
34	более или	6	8
35	или менее	6	8
36	и на	8	8
37	в этом	15	8
38	прежде всего	22	7
39	во всяком	4	7
40	всяком случае	4	7
41	сами по	2	7
42	во всех	5	7
43	или же	3	7
44	как и	11	7
45	того что	5	7
46	с этим	2	7
47	связи с	3	6
48	с другой	5	6
49	в одном	2	6
50	не есть	2	6
51	и как	3	6
52	свою очередь	6	6
53	не можем	2	6
54	в свою	8	6
55	только как	2	6
56	в ряду	2	6
57	и т	12	6
58	не было	3	6
59	между тем	2	6
60	в то	9	6
61	этого слова	3	6
62	не менее	11	5
63	с ним	2	5
64	же в	3	5
65	не от	2	5
66	и их	10	5
67	так и	18	5
68	в них	3	5
69	от того	2	5
70	с другими	4	5
71	бы ни	5	5
72	все же	3	5
73	в которой	4	5
74	место в	7	4
75	это последнее	3	4
76	главным образом	4	4
77	никогда не	4	4
78	от их	2	4
79	что он	3	4
80	уже не	2	4
81	одна из	2	4
82	до сих	6	4
83	еще не	6	4
84	и если	2	4
85	должны быть	5	4
86	в самом	5	4
87	определенное место	2	4
88	сих пор	6	4
89	с одной	4	4
90	и что	2	4
91	тем самым	3	4
92	влияние на	3	4
93	они не	3	4
94	одним словом	5	4
95	так сказать	3	4
96	с тем	2	4
97	но в	5	4
98	смысле этого	3	3
99	так например	3	3
100	это не	2	3
101	оно не	4	3
102	не как	4	3
103	и от	7	3
104	и все	6	3
105	на все	3	3
106	мысли об	2	3
107	думать что	3	3
108	ни было	2	3
109	одной стороны	4	3
110	и может	4	3
111	но это	3	3
112	к другим	2	3
113	в самой	2	3
114	в ней	10	3
115	оно должно	3	3
116	его в	3	3
117	не с	2	3
118	в целом	6	3
119	их отношения	3	3
120	на него	2	3
121	со стороны	5	3
122	в создании	2	3
123	т п	4	3
124	т д	8	3
125	если мы	2	3
126	одною из	4	3
127	не так	2	3
128	бы быть	2	3
129	его не	2	3
130	как на	4	3
131	могла бы	2	3
132	мысли в	2	3
133	в эту	2	3
134	самый предмет	2	2
135	в каждом	3	2
136	всех этих	3	2
137	перестает быть	3	2
138	в нашем	2	2
139	и его	10	2
140	хотя бы	5	2
141	и это	2	2
142	в жизни	3	2
143	между ними	3	2
144	этой последней	4	2
145	вопрос о	2	2
146	значение и	3	2
147	с его	4	2
148	не дает	2	2
149	бы в	3	2
150	у нас	5	2
151	за пределы	2	2
152	но все	2	2
153	все эти	6	2
154	так же	4	2
155	же время	8	2
156	в формах	4	2
157	в действительности	2	2
158	в общем	3	2
159	сама по	2	2
160	она есть	2	2
161	к ней	2	2
162	в его	23	2
163	и потому	9	2
164	его с	2	2
165	один из	3	2
166	все это	9	2
167	в связи	4	2
168	и других	3	2
169	на самом	7	2
170	самом деле	6	2
171	что такое	2	2
172	ко всем	2	2
173	должно быть	11	2
174	друг друга	4	2
175	отношения к	6	2
176	как это	6	2
177	по отношению	4	2
178	и здесь	6	2
179	ничем не	3	2
180	не на	2	2
181	даже и	2	2
182	во всем	2	2
183	отношении к	2	2
184	к которому	2	2
185	его содержание	2	2
186	влияния на	2	2
