N	2gram	Tiupa_Disk_2	Vladivir
1	и в	16	40
2	то что	5	28
3	и не	15	25
4	не только	10	25
5	то есть	12	24
6	но и	11	18
7	в том	8	18
8	том что	10	18
9	что в	5	17
10	также и	3	17
11	в этом	16	16
12	в его	3	14
13	не может	9	14
14	точки зрения	4	13
15	только в	3	13
16	никогда не	2	11
17	потому что	4	11
18	о том	4	11
19	прежде всего	7	10
20	ни в	7	10
21	и его	3	10
22	не менее	7	9
23	уже не	3	9
24	и с	2	9
25	и то	4	9
26	в своей	6	9
27	что же	2	9
28	в себе	19	9
29	в своем	5	8
30	в этой	4	8
31	для него	5	8
32	может быть	16	8
33	он не	3	8
34	а также	8	8
35	а не	14	8
36	и как	3	7
37	там же	2	7
38	а в	2	7
39	в своих	6	7
40	в то	5	7
41	что и	2	7
42	вместе с	2	7
43	как и	16	7
44	и на	5	6
45	так и	9	6
46	с точки	2	6
47	но это	3	6
48	и это	2	6
49	содержит в	2	5
50	с другой	5	5
51	должно быть	2	5
52	не было	3	5
53	все эти	3	5
54	в ней	2	5
55	тут же	2	5
56	отнюдь не	6	5
57	же касается	2	5
58	в одном	4	5
59	что он	2	5
60	некоторого рода	2	5
61	еще в	3	5
62	для себя	2	5
63	в данном	7	5
64	дело в	2	5
65	такой же	2	4
66	такого рода	9	4
67	в котором	3	4
68	в результате	2	4
69	и все	3	4
70	не с	2	4
71	но не	7	4
72	здесь в	3	4
73	указать на	2	4
74	еще не	6	4
75	то же	6	4
76	а с	5	4
77	все же	6	4
78	но в	11	4
79	перед нами	3	3
80	же как	2	3
81	в качестве	16	3
82	это не	3	3
83	из этих	3	3
84	является не	2	3
85	одной стороны	4	3
86	при этом	17	3
87	как бы	4	3
88	в нем	7	3
89	с одной	4	3
90	именно в	2	3
91	как на	3	3
92	не столько	3	3
93	сводится к	2	3
94	мы имеем	2	3
95	с их	2	3
96	в отличие	12	3
97	не в	3	3
98	и для	2	3
99	далеко не	2	3
100	здесь не	2	3
101	отличие от	12	3
102	ни к	5	2
103	должна быть	2	2
104	в этих	3	2
105	что на	2	2
106	к своему	2	2
107	же время	5	2
108	жизни а	3	2
109	и наконец	3	2
110	не о	2	2
111	той или	3	2
112	не является	4	2
113	в целом	2	2
114	другой стороны	2	2
115	этом отношении	4	2
116	к его	4	2
117	по своей	6	2
118	его в	3	2
119	с его	6	2
120	которая в	2	2
121	ранний период	2	2
122	бытия и	2	2
123	к этому	4	2
124	с таким	2	2
125	стороны и	2	2
126	на первый	2	2
127	того же	2	2
128	не к	2	2
129	одно и	2	2
130	не нужно	2	2
131	из них	3	2
132	по преимуществу	2	2
133	легко может	2	2
134	на почве	2	2
135	со стороны	10	2
136	но уже	2	2
137	в мире	11	2
138	данном случае	6	2
139	не на	2	2
140	тем самым	6	2
141	роль в	4	2
142	всей своей	3	2
143	в другом	3	2
