N	2gram	Tiupa_Teor_1	Istorich
1	и в	18	26
2	мы имеем	7	14
3	никогда не	4	13
4	потому что	3	13
5	что в	9	12
6	таким образом	3	12
7	в том	16	12
8	в этом	8	12
9	может быть	17	11
10	с другой	7	10
11	том что	9	10
12	и не	13	10
13	не только	16	10
14	еще не	4	9
15	но и	9	9
16	а именно	2	9
17	в нем	4	8
18	вместе с	2	8
19	другой стороны	5	8
20	все эти	2	8
21	и это	2	8
22	превращается в	2	7
23	уже не	4	7
24	с одной	2	7
25	одной стороны	2	7
26	и его	8	7
27	но в	9	7
28	то что	3	6
29	ее в	2	6
30	как в	5	6
31	так в	4	6
32	не может	4	6
33	в русской	6	6
34	у нас	2	5
35	как и	4	5
36	в его	6	5
37	не будет	2	5
38	так и	10	5
39	то же	7	5
40	и что	3	5
41	как это	8	5
42	в то	6	5
43	только в	6	5
44	его в	2	5
45	это не	2	4
46	из этих	3	4
47	имеем в	3	4
48	прежде всего	2	4
49	с его	5	4
50	как бы	5	4
51	и тем	3	4
52	что и	2	4
53	и по	2	4
54	а также	6	4
55	и ее	3	3
56	и другие	2	3
57	если бы	3	3
58	в частности	16	3
59	могут быть	4	3
60	в них	2	3
61	в одном	2	3
62	не в	7	3
63	в качестве	24	3
64	один из	2	3
65	в своей	6	3
66	данном случае	5	3
67	что она	2	3
68	со стороны	2	3
69	а в	13	3
70	при этом	12	3
71	и вот	3	3
72	или в	3	3
73	в данном	8	3
74	и то	2	3
75	их в	3	3
76	сказать что	3	3
77	в себе	9	3
78	как будто	2	3
79	далеко не	2	3
80	перед нами	2	2
81	обращается к	2	2
82	и как	2	2
83	однако в	7	2
84	в этих	3	2
85	в своем	4	2
86	но он	3	2
87	того же	3	2
88	отличается от	2	2
89	вовсе не	3	2
90	можно сказать	3	2
91	к тому	2	2
92	сводится к	5	2
93	по отношению	4	2
94	и некоторые	2	2
95	но не	9	2
96	так же	2	2
97	никто не	2	2
98	даже в	3	2
99	не могло	2	2
100	отношению к	4	2
101	своего рода	7	2
102	ни в	2	2
103	в форме	2	2
104	тогда как	15	2
105	он не	3	2
106	а с	3	2
107	могло быть	2	2
108	в одно	2	2
109	тем самым	4	2
110	а не	9	2
111	того что	4	2
112	и больше	2	2
113	представляет собой	9	2
114	в этой	3	2
115	не вполне	2	2
