N	2gram	Tiupa_Disk_1	Formalny
1	и в	16	38
2	в этом	15	27
3	может быть	17	23
4	и его	2	21
5	таким образом	3	20
6	и не	11	20
7	в самом	3	16
8	прежде всего	11	15
9	не в	7	15
10	не может	9	14
11	в нем	9	13
12	но и	14	13
13	связи с	4	13
14	языка и	2	12
15	в пределах	2	12
16	с его	4	11
17	в том	23	11
18	в его	7	10
19	как и	16	9
20	при этом	13	9
21	в процессе	5	9
22	не только	28	9
23	отнюдь не	8	8
24	что и	3	8
25	все же	3	8
26	так и	8	8
27	тем что	3	8
28	точки зрения	3	8
29	что в	4	7
30	по себе	3	7
31	для него	4	7
32	во втором	4	7
33	в своей	5	7
34	как мы	2	7
35	лишь в	4	7
36	уже не	4	7
37	в первом	3	7
38	не было	7	6
39	то что	5	6
40	в истории	4	6
41	для понимания	2	6
42	и ее	2	6
43	в этой	2	6
44	речевого общения	12	6
45	в их	5	6
46	то же	7	6
47	а не	22	6
48	могут быть	4	6
49	только в	7	6
50	а в	5	6
51	хотя бы	3	6
52	что он	4	5
53	именно в	3	5
54	же время	4	5
55	во всех	5	5
56	что же	2	5
57	с этим	3	5
58	сводится к	5	5
59	более того	2	5
60	в основе	7	5
61	в то	3	5
62	во всяком	2	5
63	оно не	2	4
64	не как	4	4
65	к этому	2	4
66	к тому	5	4
67	чем он	2	4
68	в сторону	4	4
69	в сущности	2	4
70	того или	2	4
71	известной степени	2	4
72	как бы	5	4
73	и к	4	4
74	из них	3	4
75	как в	10	4
76	другой стороны	3	4
77	в особенности	4	4
78	что не	4	4
79	и даже	3	4
80	не следует	2	4
81	они не	2	4
82	но в	8	4
83	одного из	2	3
84	а о	2	3
85	и др	2	3
86	в какой	2	3
87	с другой	10	3
88	не приходится	2	3
89	и как	6	3
90	о литературе	2	3
91	например в	2	3
92	значительной степени	2	3
93	не является	4	3
94	не есть	2	3
95	в целом	4	3
96	литературного произведения	3	3
97	общения в	2	3
98	в значительной	2	3
99	того что	3	3
100	роль в	7	3
101	или в	2	3
102	и на	5	3
103	хотя и	2	3
104	однако и	2	3
105	как к	2	3
106	слова в	2	3
107	и все	2	3
108	так сказать	2	3
109	это было	2	3
110	времени и	3	2
111	уже в	2	2
112	никогда не	2	2
113	состоит в	9	2
114	в качестве	34	2
115	перед нами	3	2
116	столь же	3	2
117	или даже	2	2
118	это не	3	2
119	в одной	3	2
120	в тех	2	2
121	его как	2	2
122	в ее	3	2
123	как его	2	2
124	том что	19	2
125	как их	2	2
126	но не	11	2
127	но как	2	2
128	было в	2	2
129	общения и	2	2
130	к другому	2	2
131	и иные	2	2
132	едва ли	2	2
133	и о	4	2
134	к другим	2	2
135	совпадает с	2	2
136	в котором	5	2
137	сами по	2	2
138	один из	3	2
139	и тем	2	2
140	отношение к	4	2
141	со стороны	7	2
142	приводит к	2	2
143	на этом	2	2
144	этого термина	2	2
145	в эпоху	5	2
146	и по	2	2
147	отличие от	5	2
148	сказать что	3	2
149	между тем	4	2
150	в отличие	5	2
151	к его	2	2
152	потому что	4	2
153	в виду	2	2
