N	2gram	Potebnia_M_1	Hudozhes
1	том что	16	16
2	и в	39	14
3	так и	13	13
4	а не	21	12
5	в том	26	12
6	не только	21	12
7	при этом	6	12
8	о том	2	12
9	прежде всего	4	11
10	и т	6	11
11	в этом	15	11
12	в себе	13	11
13	для него	4	10
14	в своей	3	10
15	как и	9	9
16	то же	6	9
17	как в	10	8
18	то что	10	8
19	же время	4	8
20	отношению к	13	8
21	по отношению	13	8
22	т п	4	8
23	между тем	5	8
24	в этой	3	8
25	в то	4	8
26	в его	5	8
27	это не	7	7
28	к тому	4	7
29	уже не	2	7
30	не в	15	7
31	еще не	6	7
32	как бы	6	7
33	не может	22	7
34	а в	5	7
35	тогда как	2	7
36	никогда не	4	6
37	что в	22	6
38	было бы	12	6
39	в глазах	3	6
40	не менее	6	5
41	в этих	7	5
42	может быть	27	5
43	только в	25	5
44	но и	20	5
45	жизни и	2	5
46	по мнению	3	5
47	друг друга	5	5
48	и его	5	5
49	потому что	52	5
50	точки зрения	8	5
51	но в	9	5
52	связи с	3	4
53	тому что	3	4
54	в своем	3	4
55	столь же	3	4
56	и от	3	4
57	и все	3	4
58	бытия и	3	4
59	на то	2	4
60	а только	4	4
61	т с	25	4
62	тем не	6	4
63	то в	5	4
64	она не	3	4
65	в действительности	4	4
66	несмотря на	5	4
67	в самом	3	4
68	и о	2	4
69	в ней	7	4
70	не было	4	4
71	того что	8	4
72	только что	2	4
73	он не	3	4
74	как будто	2	4
75	и это	3	4
76	с ним	3	4
77	и с	3	4
78	но не	8	3
79	если бы	14	3
80	но он	2	3
81	с этим	7	3
82	же в	2	3
83	в мире	3	3
84	как мы	2	3
85	от него	4	3
86	что при	5	3
87	не имеют	5	3
88	для себя	3	3
89	в нем	20	3
90	все же	6	3
91	со стороны	8	3
92	то и	7	3
93	т д	4	3
94	и для	5	3
95	того чтобы	2	3
96	и даже	4	3
97	к этой	3	3
98	с точки	3	3
99	и по	6	3
100	в таком	5	3
101	в своих	4	3
102	тем что	9	3
103	том как	3	3
104	в человеке	10	2
105	и другое	3	2
106	однако в	4	2
107	мысли о	4	2
108	и потому	5	2
109	вопрос о	4	2
110	по себе	10	2
111	что на	6	2
112	так что	16	2
113	и что	10	2
114	в целом	2	2
115	на себе	2	2
116	только на	3	2
117	в начале	2	2
118	значительной степени	2	2
119	как кажется	3	2
120	а его	3	2
121	никак не	2	2
122	хотя и	3	2
123	для нее	2	2
124	только для	3	2
125	человека не	2	2
126	на него	3	2
127	xviii в	2	2
128	что же	2	2
129	в их	2	2
130	заключает в	2	2
131	влияние на	2	2
132	общей жизни	3	2
133	при котором	2	2
134	не представляется	2	2
135	с и	3	2
136	и не	18	2
137	но с	2	2
138	ключ к	2	2
139	там же	9	2
140	только потому	3	2
141	что не	10	2
142	не имеет	5	2
143	должно быть	7	2
144	той же	3	2
145	с этой	2	2
146	с ее	2	2
147	с другим	3	2
148	за ним	2	2
149	о котором	3	2
150	видно что	2	2
151	слова в	2	2
152	не следует	5	2
153	нет ничего	2	2
154	со мною	2	2
155	но как	3	2
156	так сказать	2	2
157	заметить что	2	2
158	как она	3	2
159	мы не	10	2
