N	2gram	Nazirov_Vr_1	FransuaR
1	и в	8	56
2	в романе	6	21
3	в его	3	18
4	таким образом	2	17
5	в этом	8	14
6	в том	3	13
7	и его	3	12
8	он был	3	12
9	в то	5	12
10	как бы	4	11
11	и т.п	2	11
12	в них	2	11
13	то же	5	11
14	же время	5	10
15	еще не	2	10
16	но и	7	9
17	и не	5	9
18	том что	3	8
19	не только	9	8
20	в нем	6	8
21	все это	4	8
22	и даже	6	8
23	и с	6	8
24	у него	5	7
25	в этой	2	6
26	в той	2	6
27	точки зрения	2	6
28	связи с	3	6
29	и все	7	6
30	но в	6	6
31	с его	3	5
32	никогда не	2	5
33	как и	6	5
34	одним из	3	5
35	он не	3	5
36	что в	7	5
37	не было	5	5
38	во время	2	5
39	и ее	2	4
40	в себе	2	4
41	в ней	4	4
42	при этом	4	4
43	в своих	4	4
44	их в	2	4
45	о том	4	4
46	одна из	2	4
47	в своем	3	3
48	может быть	4	3
49	не мог	2	3
50	и о	3	3
51	а также	2	3
52	то что	7	3
53	в связи	3	3
54	в году	18	3
55	в те	3	3
56	уже не	2	3
57	рядом с	2	3
58	между тем	5	3
59	но он	3	3
60	в известном	2	2
61	о себе	3	2
62	это не	4	2
63	уже в	4	2
64	и во	3	2
65	это в	2	2
66	к этому	3	2
67	что он	4	2
68	и как	3	2
69	но это	2	2
70	этот момент	2	2
71	для него	2	2
72	из них	2	2
73	несмотря на	4	2
74	а в	2	2
75	к ним	2	2
76	в котором	6	2
77	все же	6	2
78	в своей	2	2
79	в мире	2	2
80	вместе с	2	2
81	целый ряд	4	2
82	так же	4	2
83	как раз	2	2
84	не может	2	2
85	с точки	2	2
86	его в	3	2
87	и то	2	2
88	начиная с	2	2
89	далеко не	3	2
90	с ним	4	2
91	в эту	2	2
92	во многом	4	2
