N	2gram	Medvedev_F_2	VrazhdaK
1	не только	9	9
2	в этом	27	8
3	и в	38	8
4	но и	13	7
5	что в	7	7
6	то что	6	7
7	и все	3	7
8	в котором	2	6
9	в нем	13	6
10	все же	8	6
11	и даже	4	6
12	как и	9	6
13	но в	4	6
14	и с	9	6
15	то же	6	5
16	не было	6	5
17	и не	20	5
18	между тем	2	5
19	в то	5	5
20	же время	5	5
21	уже в	2	4
22	как бы	4	4
23	все это	3	4
24	это не	2	4
25	что он	5	4
26	с ним	2	4
27	может быть	23	4
28	при этом	9	4
29	в истории	6	4
30	в ней	6	4
31	в виду	2	4
32	с его	11	3
33	связи с	13	3
34	в связи	10	3
35	в конце	2	3
36	т е	26	3
37	к этому	4	3
38	он был	2	3
39	в том	11	3
40	и его	21	3
41	том что	2	3
42	и как	3	3
43	тем что	8	3
44	в его	10	3
45	его в	3	3
46	и о	2	3
47	в чем	2	3
48	он не	6	3
49	место в	3	2
50	его с	3	2
51	в своей	7	2
52	и это	2	2
53	время и	3	2
54	из них	4	2
55	никогда не	2	2
56	вместе с	6	2
57	отнюдь не	8	2
58	он пишет	2	2
59	столь же	2	2
60	как раз	6	2
61	так в	3	2
62	не может	14	2
63	а в	6	2
64	таким образом	20	2
65	но это	2	2
66	в в	2	2
67	в той	2	2
68	уже не	7	2
69	на первый	2	2
70	мы знаем	3	2
71	с точки	7	2
72	в этой	6	2
73	и то	2	2
74	же как	3	2
75	их в	2	2
76	но как	2	2
77	точки зрения	8	2
78	и ее	6	2
79	отношение к	2	2
80	для него	7	2
81	при помощи	2	2
82	с нею	2	2
