N	2gram	Voloshinov_2	StatiiOP
1	и в	19	44
2	в том	7	36
3	что в	2	30
4	том что	10	29
5	в этом	15	21
6	вовсе не	11	19
7	то что	4	18
8	не только	13	18
9	было бы	4	17
10	а в	3	17
11	о том	3	17
12	и не	19	16
13	а не	9	16
14	может быть	28	15
15	в данном	5	14
16	не в	10	12
17	у нас	3	11
18	в этой	3	11
19	самом деле	9	11
20	того чтобы	6	11
21	точки зрения	17	11
22	для того	6	10
23	что он	4	10
24	но и	10	10
25	но в	7	10
26	только в	8	10
27	в отношении	4	9
28	с другой	3	9
29	если бы	11	9
30	в то	8	9
31	как и	9	9
32	того что	4	9
33	так и	10	9
34	в его	5	9
35	во всех	6	8
36	все же	5	8
37	не может	18	8
38	и его	16	8
39	это не	4	8
40	с точки	13	8
41	но ведь	3	8
42	прежде всего	7	7
43	в самом	6	7
44	сих пор	3	7
45	до сих	3	7
46	таким образом	14	7
47	сказать что	4	7
48	что они	2	7
49	для него	9	6
50	что и	3	6
51	в своей	3	6
52	именно в	2	6
53	на самом	7	6
54	в той	5	6
55	во всяком	3	6
56	хотя бы	6	6
57	всяком случае	2	6
58	никогда не	7	5
59	так же	5	5
60	совершенно не	5	5
61	в котором	3	5
62	в нем	11	5
63	жизни и	2	5
64	той же	3	5
65	то же	16	5
66	и даже	2	5
67	в слове	4	5
68	и то	3	5
69	тем что	2	5
70	могут быть	3	5
71	все эти	3	5
72	так как	3	5
73	там где	2	5
74	что это	2	4
75	столь же	3	4
76	вопрос о	2	4
77	или иного	2	4
78	в ее	3	4
79	же время	8	4
80	тем более	5	4
81	является не	5	4
82	в качестве	3	4
83	того или	2	4
84	как раз	4	4
85	как бы	19	4
86	на то	4	4
87	не было	3	4
88	еще более	2	4
89	не имеет	3	4
90	языка и	15	4
91	в основе	9	3
92	не существует	3	3
93	а с	2	3
94	тому что	4	3
95	поэтому в	2	3
96	точку зрения	2	3
97	для себя	4	3
98	в какой	3	3
99	и с	2	3
100	не является	8	3
101	должна быть	4	3
102	в тех	2	3
103	ни в	6	3
104	он был	2	3
105	да и	3	3
106	в начале	2	3
107	но не	2	3
108	того же	5	3
109	еще не	3	3
110	в чужую	3	3
111	что не	2	3
112	и для	7	3
113	в ней	3	3
114	должен быть	2	3
115	и тем	4	3
116	отношению к	8	3
117	в истории	3	3
118	по отношению	8	3
119	в виде	2	3
120	с одной	3	3
121	что оно	3	3
122	в двух	3	3
123	лишь в	14	3
124	должны быть	2	3
125	тем же	4	3
126	в таком	7	3
127	конечно и	2	3
128	в каком	3	3
129	в другом	3	3
130	ответ на	2	3
131	между тем	6	3
132	с этим	3	3
133	уже в	2	2
134	бы не	2	2
135	а как	4	2
136	одним и	2	2
137	в этих	3	2
138	даже и	2	2
139	в своем	2	2
140	как о	2	2
141	по крайней	2	2
142	иногда и	3	2
143	смысле этого	4	2
144	крайней мере	2	2
145	и более	7	2
146	при этом	9	2
147	быть и	6	2
148	бы это	2	2
149	одной стороны	3	2
150	с нашей	2	2
151	в данной	4	2
152	в сущности	14	2
153	за пределы	3	2
154	но для	2	2
155	и потому	2	2
156	ведь если	4	2
157	этого слова	5	2
158	так называемой	2	2
159	конечно не	4	2
160	отношения к	2	2
161	и их	4	2
162	и речи	2	2
163	допустим что	2	2
164	и тогда	2	2
165	и у	2	2
166	свидетельствует о	2	2
167	мы не	2	2
168	ничего не	4	2
169	не знает	2	2
170	а иногда	3	2
171	языка не	3	2
172	от этого	2	2
173	у него	2	2
174	однако и	2	2
175	он не	3	2
176	в себе	4	2
177	и все	6	2
178	его в	7	2
179	и это	3	2
180	к нему	5	2
181	только с	2	2
182	или же	2	2
183	то есть	2	2
