N	2gram	Bakhtin_fo_2	PoTuStor
1	может быть	7	17
2	и в	46	16
3	и пр	2	12
4	прежде всего	14	9
5	таким образом	3	9
6	в этом	22	9
7	и только	2	9
8	и его	12	8
9	и с	6	8
10	точки зрения	10	8
11	не может	2	8
12	не только	11	7
13	и это	2	6
14	и к	2	6
15	с точки	8	6
16	для него	3	6
17	при этом	6	6
18	конечно не	4	6
19	только для	2	5
20	отношение к	3	5
21	все эти	5	5
22	еще не	6	5
23	как бы	10	5
24	в нем	5	4
25	по ту	2	4
26	и их	4	4
27	отнюдь не	4	4
28	но и	9	4
29	так и	7	4
30	все это	6	4
31	и все	6	4
32	так как	6	4
33	и не	9	4
34	как мы	6	4
35	можно сказать	2	4
36	и наконец	6	4
37	и даже	3	4
38	и на	7	4
39	в этой	2	4
40	все что	2	4
41	только в	11	4
42	его в	6	4
43	но в	10	4
44	в его	8	4
45	во время	10	3
46	в этих	3	3
47	что в	5	3
48	жизни и	8	3
49	и есть	2	3
50	во всех	11	3
51	и др	5	3
52	могут быть	2	3
53	вместе с	9	3
54	сих пор	2	3
55	чем не	2	3
56	в большинстве	3	3
57	отношения к	4	3
58	в одном	7	3
59	к себе	4	3
60	те же	6	3
61	и вот	2	3
62	большинстве случаев	3	3
63	в том	10	3
64	а в	3	3
65	том что	4	3
66	и как	3	3
67	то что	7	3
68	их в	4	3
69	в основе	6	3
70	на этом	2	3
71	и художественного	3	3
72	мира и	9	3
73	как это	2	3
74	во всяком	2	3
75	в основном	8	3
76	и потому	2	3
77	до сих	2	3
78	между ними	2	3
79	ее в	3	2
80	нет и	3	2
81	один из	2	2
82	что и	3	2
83	связанных с	3	2
84	на границе	3	2
85	в частности	5	2
86	никогда не	6	2
87	в них	7	2
88	находится в	2	2
89	того же	3	2
90	с этой	4	2
91	и так	2	2
92	из этих	4	2
93	с этим	5	2
94	то же	8	2
95	по аналогии	2	2
96	к этому	3	2
97	не знает	2	2
98	по всему	3	2
99	и других	2	2
100	с помощью	3	2
101	что он	3	2
102	и т.п	2	2
103	что на	3	2
104	на первый	3	2
105	у него	9	2
106	и по	3	2
107	и для	9	2
108	в этот	3	2
109	как и	8	2
110	на основе	3	2
111	своей жизни	2	2
112	мы видим	2	2
113	так же	2	2
114	но это	2	2
115	друг на	2	2
116	за счет	3	2
117	и всех	2	2
118	мы уже	9	2
119	совсем не	2	2
120	по своему	2	2
121	не на	3	2
122	а на	2	2
123	он не	5	2
124	есть и	4	2
125	говорить о	2	2
126	на друга	2	2
127	на протяжении	3	2
128	в пределах	5	2
129	ту же	2	2
130	было бы	2	2
131	со всеми	2	2
132	связанные с	5	2
133	о том	4	2
134	и о	2	2
135	с ним	4	2
136	к ним	2	2
137	себя и	3	2
