N	3gram	Losev_Vlad_3	Psycholo
1	в том что	10	17
2	с точки зрения	6	10
3	не может быть	6	8
4	на то что	2	6
5	в этом отношении	2	5
6	только в том	3	4
7	в данном случае	2	4
8	так же как	2	4
9	о том что	8	4
10	сам по себе	2	4
11	в том случае	3	4
12	том случае если	2	4
13	тем не менее	9	4
14	в то время	4	3
15	в конце концов	5	3
16	само по себе	3	3
17	точно так же	4	3
18	что и в	3	3
19	то же время	2	2
20	это значит что	6	2
21	к тому что	2	2
22	бы то ни	3	2
23	том что в	3	2
24	и в том	2	2
25	во всяком случае	3	2
26	в согласии с	2	2
27	ни в каком	2	2
28	в то же	3	2
29	и то что	4	2
30	то время как	2	2
31	с другой стороны	2	2
