N	2gram	Bakhtin_Pr_4	OGranits
1	и в	46	13
2	и его	6	12
3	прежде всего	9	9
4	не может	19	8
5	и не	27	8
6	может быть	23	8
7	и их	3	7
8	и т.п	14	7
9	точки зрения	11	7
10	и пр	2	7
11	в его	9	7
12	таким образом	4	6
13	не только	14	6
14	то что	4	6
15	только в	6	6
16	как бы	19	6
17	все же	4	5
18	с точки	9	5
19	языка и	2	5
20	но ведь	2	5
21	хотя бы	2	5
22	в поэзии	2	5
23	и т.д	3	5
24	и наконец	4	5
25	в процессе	4	5
26	то же	6	4
27	в своей	3	4
28	все это	6	4
29	в каждом	6	4
30	еще и	4	4
31	на фоне	6	4
32	только и	2	4
33	лишь в	2	4
34	мы не	4	4
35	мы можем	4	4
36	слов и	3	4
37	было бы	3	4
38	но в	6	4
39	отношению к	5	3
40	что в	4	3
41	никогда не	6	3
42	но и	12	3
43	так и	4	3
44	что же	3	3
45	в их	4	3
46	по отношению	5	3
47	не как	3	3
48	и все	9	3
49	в одном	11	3
50	превращается в	4	3
51	самом деле	4	3
52	к одному	6	3
53	да и	4	3
54	как и	12	3
55	не в	10	3
56	за пределы	5	3
57	в пределах	10	3
58	в себе	7	3
59	с этим	2	3
60	и для	3	3
61	так как	5	3
62	но для	3	3
63	слово в	6	3
64	не менее	2	2
65	себе что	2	2
66	уже в	4	2
67	а как	2	2
68	и тем	2	2
69	в нем	17	2
70	он только	2	2
71	сознания и	2	2
72	своего рода	4	2
73	а не	11	2
74	в отношении	3	2
75	в произведении	2	2
76	может стать	2	2
77	другой стороны	3	2
78	с другой	3	2
79	в языке	2	2
80	а в	2	2
81	все эти	4	2
82	вовсе не	9	2
83	те же	2	2
84	к тому	2	2
85	и к	9	2
86	как в	4	2
87	если бы	3	2
88	в общем	2	2
89	в том	9	2
90	так же	3	2
91	том что	4	2
92	с помощью	3	2
93	в данном	2	2
94	в этом	16	2
95	от этого	2	2
96	тем что	3	2
97	между тем	2	2
98	в структуре	5	2
99	и следовательно	2	2
100	могут быть	2	2
101	при этом	5	2
102	смысле слова	2	2
103	для него	2	2
104	в другом	2	2
105	в руках	2	2
106	во всем	4	2
107	более того	3	2
108	представим себе	2	2
109	кажется что	3	2
110	мы уже	3	2
111	слова и	7	2
112	в самом	9	2
113	героя и	4	2
114	и при	3	2
115	там где	2	2
116	бы в	3	2
117	двух разных	2	2
118	и является	2	2
