N	2gram	Bakhtin_KF_1	PoTuStor
1	может быть	45	17
2	и в	24	16
3	и пр	3	12
4	прежде всего	2	9
5	в этом	14	9
6	и только	6	9
7	совершенно не	6	8
8	и его	17	8
9	точки зрения	12	8
10	не может	27	8
11	не только	5	7
12	и это	12	6
13	с точки	9	6
14	самом деле	3	6
15	для него	8	6
16	при этом	4	6
17	конечно не	7	6
18	я и	2	6
19	отношение к	5	5
20	все эти	10	5
21	в чем	4	5
22	ни в	12	5
23	еще не	4	5
24	как бы	9	5
25	в него	2	5
26	в нем	28	4
27	и их	6	4
28	отнюдь не	6	4
29	но и	9	4
30	так и	2	4
31	все это	10	4
32	хотя бы	4	4
33	и все	7	4
34	и не	26	4
35	на самом	3	4
36	и ее	2	4
37	с ними	3	4
38	и на	3	4
39	в этой	2	4
40	с ее	2	4
41	и может	3	4
42	только в	16	4
43	его в	5	4
44	но в	5	4
45	в его	40	4
46	что в	4	3
47	жизни и	8	3
48	и есть	9	3
49	во всех	11	3
50	могут быть	3	3
51	чем не	4	3
52	в одном	4	3
53	к себе	2	3
54	этом смысле	3	3
55	и она	2	3
56	в том	6	3
57	а в	4	3
58	том что	4	3
59	и как	2	3
60	то что	7	3
61	в основе	5	3
62	только как	4	3
63	едва ли	2	3
64	мира и	4	3
65	на язык	3	3
66	в области	2	3
67	и потому	2	3
68	и этот	3	2
69	не менее	3	2
70	нет и	3	2
71	может иметь	2	2
72	один из	2	2
73	что и	7	2
74	не есть	20	2
75	ни было	4	2
76	моей жизни	4	2
77	не будет	2	2
78	сознания и	3	2
79	никогда не	5	2
80	что не	3	2
81	для этого	2	2
82	во всей	4	2
83	оно не	2	2
84	и содержание	5	2
85	его целом	10	2
86	в жизни	2	2
87	то же	5	2
88	к этому	2	2
89	не знает	5	2
90	и других	2	2
91	сводится к	2	2
92	что он	2	2
93	мы не	3	2
94	и для	9	2
95	войти в	2	2
96	для нас	4	2
97	как и	5	2
98	на основе	7	2
99	но это	6	2
100	совсем не	2	2
101	по своему	3	2
102	он не	6	2
103	и этим	3	2
104	всех его	2	2
105	в каком	4	2
106	момент в	7	2
107	говорить о	2	2
108	было бы	8	2
109	со всеми	2	2
110	что это	3	2
111	кажется что	2	2
112	и мы	2	2
113	но ведь	5	2
114	о том	3	2
115	но как	5	2
116	в своей	10	2
117	т.е не	2	2
118	с ним	5	2
119	к ним	4	2
120	и действительно	6	2
121	для меня	20	2
122	себя и	2	2
