N	2gram	Vygotskiy__1	UchenyiS
1	и в	31	14
2	а не	13	10
3	не только	13	10
4	и не	16	8
5	прежде всего	4	8
6	то что	32	7
7	в этом	12	7
8	не может	17	7
9	в искусстве	4	6
10	может быть	22	6
11	в художественном	3	5
12	художественное произведение	10	5
13	художественного творчества	6	5
14	все это	8	5
15	и только	3	5
16	то же	5	5
17	но и	2	4
18	в этой	3	4
19	конечном счете	3	4
20	с другой	5	4
21	что такое	2	4
22	в конечном	3	4
23	но в	3	3
24	как и	16	3
25	и то	2	3
26	все же	5	3
27	в своей	3	3
28	в частности	3	3
29	очевидно что	6	3
30	формы в	4	3
31	другой стороны	5	3
32	в то	5	3
33	было бы	6	3
34	этой области	2	3
35	в области	11	3
36	у нас	4	3
37	смысле этого	2	2
38	тех или	2	2
39	форму и	2	2
40	том что	16	2
41	но не	3	2
42	в том	30	2
43	как прием	2	2
44	художественной формы	5	2
45	по существу	4	2
46	художественного произведения	17	2
47	мы не	12	2
48	думается что	3	2
49	не есть	3	2
50	не в	11	2
51	и для	5	2
52	но это	3	2
53	бы и	2	2
54	должна была	2	2
55	должна быть	3	2
56	этом смысле	2	2
57	о чем	2	2
58	если бы	6	2
59	нас в	2	2
60	только в	14	2
61	искусства как	4	2
62	и с	2	2
63	но даже	2	2
64	сих пор	3	2
65	могут быть	11	2
66	его и	3	2
67	что он	7	2
68	и у	4	2
69	мы получаем	2	2
70	в себе	4	2
71	как раз	2	2
72	до сих	3	2
73	формы и	5	2
74	что мы	8	2
75	же самое	2	2
76	в конце	3	2
77	что все	3	2
78	этом отношении	2	2
79	в самом	11	2
80	не могут	3	2
81	или иных	2	2
82	по себе	9	2
83	фактов и	2	2
84	ничего не	2	2
85	самом деле	9	2
86	для всех	4	2
87	что она	6	2
88	что и	13	2
89	в его	6	2
90	между тем	4	2
91	конце концов	3	2
92	таким образом	20	2
93	художественном произведении	3	2
