N	3gram	Bakhtin_Pr_2	Vvedenie
1	о том что	3	12
2	в том что	4	12
3	не может быть	6	8
4	в этом смысле	5	8
5	то же время	3	6
6	в самом деле	3	6
7	в то же	3	6
8	до сих пор	2	6
9	по крайней мере	2	4
10	по сравнению с	2	4
11	само по себе	2	4
12	в этом отношении	2	4
13	и в этом	6	4
14	по отношению к	8	4
15	и в том	2	3
16	в свое время	2	3
17	можно сказать что	2	3
18	как мы видели	3	3
19	и в самом	2	3
20	но в то	3	3
21	сама по себе	5	3
22	но все же	2	3
23	смысле этого слова	2	2
24	в конце концов	3	2
25	той или иной	3	2
26	с точки зрения	9	2
27	в целом ряде	2	2
28	хотя бы и	2	2
29	в чем же	2	2
30	подобно тому как	2	2
