N	2gram	Bakhtin_Pr_1	Problema
1	и в	38	30
2	в своей	7	22
3	то есть	46	21
4	то что	8	18
5	не только	9	18
6	том что	3	17
7	в этом	15	17
8	и даже	3	14
9	но и	9	13
10	таким образом	10	13
11	в том	8	12
12	в его	43	12
13	и не	42	12
14	также и	3	12
15	о том	4	12
16	в своем	5	11
17	в виде	2	10
18	точки зрения	8	10
19	все же	6	9
20	сказать что	4	9
21	но в	4	9
22	и вообще	2	9
23	только в	13	9
24	и все	3	9
25	вовсе не	2	8
26	художественного творчества	12	8
27	хотя и	3	8
28	с точки	6	8
29	никогда не	5	7
30	что он	2	7
31	у нас	2	7
32	как и	7	7
33	в дальнейшем	3	7
34	связи с	2	7
35	но не	12	7
36	может быть	26	7
37	так и	5	7
38	в связи	2	7
39	не в	7	7
40	здесь не	4	7
41	с другой	7	6
42	прежде всего	13	6
43	можно сказать	2	6
44	и как	8	6
45	несмотря на	3	6
46	и для	11	6
47	как бы	22	6
48	в нем	15	6
49	что и	2	6
50	другой стороны	4	6
51	и что	2	6
52	а в	6	6
53	и его	16	6
54	и на	3	6
55	его в	9	6
56	не менее	4	5
57	что в	7	5
58	тем не	3	5
59	художественное творчество	7	5
60	в самом	7	5
61	и о	5	5
62	не может	27	5
63	а не	5	5
64	и у	2	5
65	и с	17	5
66	мы можем	6	5
67	в частности	2	4
68	отнюдь не	19	4
69	ни в	11	4
70	ясно что	3	4
71	при этом	5	4
72	было бы	8	4
73	и к	3	4
74	и он	2	4
75	или в	2	4
76	в себе	4	4
77	в то	4	4
78	далеко не	5	4
79	едва ли	3	4
80	в самой	2	3
81	и другие	2	3
82	не всегда	6	3
83	о котором	2	3
84	в ее	4	3
85	в начале	2	3
86	смысле слова	2	3
87	еще не	7	3
88	одной стороны	3	3
89	для того	2	3
90	он не	3	3
91	и тем	3	3
92	бы не	2	3
93	с одной	3	3
94	того что	2	3
95	к нему	10	3
96	есть только	2	3
97	в других	4	3
98	быть только	5	3
99	в ней	4	3
100	в другом	2	3
101	этом смысле	3	3
102	с ним	5	3
103	в виду	4	3
104	я не	2	2
105	не могут	2	2
106	мы будем	3	2
107	и более	2	2
108	в них	5	2
109	в какой	2	2
110	хотя бы	4	2
111	как в	4	2
112	это не	5	2
113	раз и	2	2
114	не все	2	2
115	была бы	2	2
116	к этому	2	2
117	здесь в	2	2
118	на то	2	2
119	от них	2	2
120	то же	5	2
121	как мы	7	2
122	да и	3	2
123	по существу	2	2
124	в свою	2	2
125	кроме того	3	2
126	в нашей	2	2
127	со всеми	3	2
128	по поводу	2	2
129	в данном	4	2
130	что не	4	2
131	мы имеем	2	2
132	конечно не	5	2
133	в котором	2	2
134	отношению к	19	2
135	бы то	3	2
136	не к	6	2
137	на него	3	2
138	себя самого	4	2
139	все что	3	2
140	данном случае	4	2
141	отношение к	10	2
142	по отношению	21	2
143	и только	4	2
144	не больше	3	2
145	то ни	3	2
146	все эти	5	2
147	с помощью	7	2
148	они не	3	2
149	самом деле	6	2
150	в значительной	2	2
151	того чтобы	2	2
152	в таком	3	2
153	форму и	2	2
154	его не	2	2
155	не входит	10	2
156	можно было	4	2
157	между тем	7	2
158	тем что	2	2
159	в м	6	2
160	в таких	2	2
161	дело в	2	2
162	тем как	5	2
163	в чем	2	2
164	в области	11	2
165	ничего не	6	2
166	и которые	2	2
