N	2gram	Bakhtin_Fr_5	Problema
1	то есть	25	39
2	то что	2	38
3	и не	15	37
4	вовсе не	8	37
5	и в	45	35
6	сказать что	4	24
7	не только	14	24
8	том что	7	19
9	о том	4	18
10	может быть	2	18
11	в этом	14	17
12	но и	10	16
13	и вообще	2	16
14	только в	4	14
15	не менее	3	13
16	и что	2	13
17	потому что	7	13
18	не может	5	13
19	в том	10	12
20	того что	3	12
21	также и	7	12
22	хотя бы	2	12
23	что в	12	11
24	прежде всего	10	11
25	и даже	4	11
26	и с	10	10
27	говорить о	2	10
28	а не	4	10
29	в данном	2	10
30	ничего не	4	10
31	если мы	2	9
32	в этой	6	9
33	было бы	2	8
34	значение и	2	8
35	как раз	5	8
36	все же	2	8
37	тут же	2	8
38	в конце	7	7
39	все эти	5	7
40	не имеет	3	7
41	в его	13	7
42	так и	6	7
43	так как	6	7
44	мы не	4	7
45	что все	2	6
46	можно сказать	2	6
47	ни в	3	6
48	но это	5	6
49	о чем	3	6
50	а именно	2	6
51	в то	11	6
52	же самое	2	6
53	относится к	2	6
54	и для	3	6
55	мы можем	2	6
56	но в	14	6
57	и без	2	5
58	кроме того	4	5
59	в самом	4	5
60	данном случае	2	5
61	в связи	5	5
62	с этим	4	5
63	так же	8	5
64	и на	5	5
65	и все	7	5
66	как и	10	5
67	связи с	6	5
68	по своему	4	5
69	то же	11	5
70	как мы	8	5
71	можно было	4	5
72	еще и	3	5
73	и это	4	5
74	не могут	2	4
75	и есть	2	4
76	в своем	11	4
77	в отношении	2	4
78	что на	3	4
79	и как	5	4
80	есть в	3	4
81	в общем	4	4
82	между собою	4	4
83	как бы	12	4
84	что она	3	4
85	все это	7	4
86	и только	2	4
87	таким образом	8	4
88	всякого рода	2	4
89	а в	4	4
90	вообще не	3	4
91	и здесь	4	4
92	всех этих	6	4
93	что он	6	4
94	но не	4	4
95	до сих	3	4
96	но именно	2	4
97	и о	4	4
98	не будем	2	4
99	сих пор	3	4
100	на самом	5	4
101	самом деле	5	4
102	слова и	2	4
103	и от	4	3
104	из этих	3	3
105	к тому	2	3
106	но эта	2	3
107	несмотря на	2	3
108	и если	2	3
109	мы еще	2	3
110	хотя и	5	3
111	мы уже	4	3
112	один из	2	3
113	но мы	2	3
114	в целом	2	3
115	и их	5	3
116	в их	4	3
117	не было	3	3
118	одновременно и	2	3
119	при этом	2	3
120	лишь в	2	3
121	и наконец	2	3
122	в основе	4	3
123	в истории	2	3
124	его в	5	3
125	здесь только	2	3
126	и ни	3	3
127	бы в	4	3
128	с которой	2	3
129	с тем	2	3
130	уже и	2	3
131	для них	2	3
132	перестает быть	2	3
133	и к	5	3
134	ли он	2	3
135	это и	5	3
136	нельзя было	2	3
137	на том	2	3
138	нет и	2	3
139	можно говорить	2	3
140	в значительной	2	3
141	в свете	2	3
142	для того	6	3
143	и притом	2	3
144	нас в	2	3
145	том числе	4	2
146	перед нами	4	2
147	по тому	2	2
148	не в	7	2
149	независимо от	2	2
150	числе и	2	2
151	по поводу	4	2
152	как они	3	2
153	и др	8	2
154	к нему	2	2
155	даже в	2	2
156	в одно	2	2
157	эта связь	4	2
158	в системе	2	2
159	как на	4	2
160	в ней	8	2
161	она и	2	2
162	точки зрения	4	2
163	ведь и	3	2
164	во все	2	2
165	это в	2	2
166	для всех	3	2
167	в них	6	2
168	в условиях	2	2
169	об этом	4	2
170	в качестве	2	2
171	ведь это	2	2
172	конечно не	2	2
173	в заключение	3	2
174	он не	6	2
175	а также	4	2
176	еще в	2	2
177	что и	7	2
178	во всех	13	2
179	вместе с	3	2
180	на него	2	2
181	мысли и	6	2
182	и прежде	3	2
183	чтобы не	2	2
184	того чтобы	6	2
185	той же	4	2
186	роль в	2	2
187	от его	3	2
188	на эту	2	2
189	здесь не	6	2
190	здесь как	4	2
191	это было	4	2
