N	3gram	Nazirov_Tv_2	Problemy
1	в то же	7	12
2	то же время	7	12
3	и т п	2	6
4	не может быть	3	6
5	во всяком случае	2	5
6	и в то	2	5
7	по отношению к	3	5
8	по крайней мере	2	3
9	в творчестве достоевского	4	3
10	в самом деле	2	3
11	в романах достоевского	12	3
12	с другой стороны	2	3
13	в братьях карамазовых	6	3
14	у достоевского нет	2	2
15	записках из подполья	3	2
16	не в силах	2	2
17	о том что	2	2
18	так и в	2	2
19	что у достоевского	2	2
20	и т д	11	2
21	в произведениях достоевского	2	2
22	в отличие от	2	2
23	и не может	2	2
24	в записках из	3	2
