N	3gram	Vygotskiy__4	VerxiiNi
1	вместе с тем	3	8
2	с одной стороны	9	7
3	во всяком случае	3	6
4	с точки зрения	11	6
5	в том числе	2	5
6	а с другой	2	5
7	для того чтобы	5	5
8	друг с другом	7	5
9	том числе и	2	4
10	о том что	3	4
11	точно так же	3	3
12	так же как	5	3
13	в связи с	3	3
14	в том что	31	3
15	на то что	4	2
16	друг на друга	5	2
17	по сравнению с	3	2
18	те и другие	9	2
19	в том виде	2	2
20	в этом отношении	7	2
21	с этой точки	4	2
22	но вместе с	2	2
23	этой точки зрения	4	2
24	то же самое	7	2
25	между этими двумя	2	2
