N	2gram	Vygotskiy__2	Sovremen
1	не может	17	17
2	точки зрения	17	12
3	может быть	18	12
4	таким образом	21	11
5	мы не	3	9
6	в каждом	2	8
7	в этом	13	7
8	и в	32	7
9	и не	10	6
10	как и	10	6
11	мы можем	3	6
12	ничего не	4	6
13	что же	3	5
14	все эти	7	5
15	с точки	10	5
16	как бы	6	4
17	если мы	12	4
18	в целом	4	4
19	жизни и	4	4
20	вместе с	2	4
21	это не	2	4
22	а в	4	4
23	не только	12	4
24	в том	37	4
25	их в	2	4
26	из них	4	4
27	мы должны	3	4
28	так как	12	4
29	состоит из	2	3
30	все же	4	3
31	мы получим	2	3
32	отнюдь не	5	3
33	при таком	4	3
34	все это	5	3
35	отличается от	2	3
36	в конце	3	3
37	то же	13	3
38	у всех	2	3
39	ясно что	7	3
40	мы получаем	2	3
41	в нем	4	3
42	а не	7	3
43	и к	3	3
44	для нас	2	3
45	когда мы	2	3
46	не в	8	3
47	в этой	6	3
48	еще не	2	3
49	он в	3	3
50	при этом	13	3
51	было бы	11	3
52	и мы	6	3
53	в одном	2	3
54	и все	4	3
55	как он	2	3
56	в себе	2	3
57	что она	16	3
58	но в	3	3
59	совершенно не	4	2
60	же мы	3	2
61	этих двух	2	2
62	не могут	3	2
63	что это	8	2
64	не менее	8	2
65	значение в	2	2
66	или же	3	2
67	что все	9	2
68	еще более	3	2
69	в свою	3	2
70	самом деле	16	2
71	и что	22	2
72	абсолютной величины	3	2
73	роль в	2	2
74	что при	9	2
75	из которых	2	2
76	на этот	2	2
77	и даже	5	2
78	и по	4	2
79	тем не	4	2
80	мы знаем	7	2
81	той же	8	2
82	то ни	2	2
83	мы видим	4	2
84	в таком	2	2
85	такой же	7	2
86	во всяком	2	2
87	свою очередь	2	2
88	на этом	3	2
89	знаем что	4	2
90	а на	4	2
91	могут быть	4	2
92	с этим	4	2
93	что в	20	2
94	такие же	2	2
95	тот же	6	2
96	же самое	6	2
97	если же	4	2
98	на его	2	2
99	в самом	12	2
100	форма в	2	2
101	в которой	2	2
102	отличие от	2	2
103	в его	2	2
104	всяком случае	2	2
105	все те	2	2
