N	2gram	Propp_Isto_7	StatiiOP
1	и в	24	29
2	том что	10	27
3	в том	7	27
4	в этом	12	21
5	но и	11	19
6	что в	13	19
7	не только	21	19
8	о том	9	17
9	что он	21	13
10	между прочим	3	12
11	то что	7	11
12	все это	8	11
13	в которой	2	11
14	таким образом	7	10
15	т е	16	10
16	и т	17	9
17	так и	5	9
18	и не	4	9
19	потому что	9	9
20	он не	6	9
21	но в	5	8
22	но все	4	7
23	так например	2	7
24	в самом	2	7
25	в котором	2	7
26	вместе с	7	7
27	тому что	2	7
28	того как	3	7
29	не столько	3	7
30	об этом	6	6
31	вовсе не	4	6
32	вопрос о	3	6
33	до сих	2	6
34	все же	9	6
35	т д	16	6
36	и что	10	6
37	и его	3	6
38	и на	2	6
39	прежде всего	2	5
40	в качестве	3	5
41	было бы	2	5
42	как бы	4	5
43	своего рода	4	5
44	сих пор	3	5
45	а не	8	5
46	того что	6	5
47	точки зрения	4	5
48	в русской	5	5
49	должен был	2	4
50	что у	4	4
51	с другой	9	4
52	раньше чем	3	4
53	к этому	2	4
54	не в	9	4
55	после того	4	4
56	кроме того	3	4
57	и о	2	4
58	хотя и	3	4
59	в нем	6	4
60	ничего не	5	4
61	при помощи	3	4
62	связи с	3	4
63	не менее	5	3
64	на вопрос	4	3
65	же как	4	3
66	что это	6	3
67	в этих	13	3
68	но он	2	3
69	вообще не	2	3
70	с этим	2	3
71	на себя	2	3
72	в образе	3	3
73	ни в	2	3
74	так что	3	3
75	но это	3	3
76	но не	6	3
77	кажется что	3	3
78	одной из	4	3
79	например в	3	3
80	должно было	2	3
81	никогда не	4	3
82	и даже	3	3
83	из них	2	3
84	другой стороны	8	3
85	по его	2	3
86	как в	12	3
87	в их	4	3
88	тем что	6	3
89	и он	3	3
90	и по	3	3
91	так же	6	3
92	его не	2	3
93	и здесь	12	3
94	которые не	2	3
95	но они	3	2
96	во время	6	2
97	есть еще	2	2
98	с его	3	2
99	и другие	9	2
100	и др	2	2
101	по этому	2	2
102	в них	3	2
103	с этой	6	2
104	в одной	2	2
105	что собственно	2	2
106	если не	4	2
107	в конце	3	2
108	связь с	2	2
109	в тех	5	2
110	что и	8	2
111	тем не	4	2
112	в ее	2	2
113	нас не	2	2
114	говорит о	2	2
115	по существу	4	2
116	как и	6	2
117	такое же	2	2
118	только о	2	2
119	что они	3	2
120	в то	2	2
121	на его	2	2
122	может быть	14	2
123	не по	2	2
124	на то	3	2
125	только в	6	2
126	ее в	3	2
127	ни с	2	2
128	за него	4	2
129	дело не	5	2
130	со стороны	2	2
131	не может	14	2
132	тогда как	3	2
133	в особенности	2	2
134	что за	3	2
135	то же	8	2
136	все эти	2	2
137	при этом	4	2
138	там где	5	2
139	они не	2	2
140	что такое	2	2
141	на этот	2	2
142	не имеет	4	2
143	ли и	2	2
144	что этот	2	2
145	в данном	4	2
146	сказать что	2	2
147	этот вопрос	2	2
148	и дело	2	2
149	в один	2	2
150	его в	3	2
151	как он	6	2
152	и это	2	2
153	так как	8	2
154	как это	2	2
155	того же	2	2
