N	2gram	Propp_Isto_6	Psycholo
1	в том	12	37
2	и в	26	32
3	и что	5	22
4	том что	10	21
5	то что	6	21
6	таким образом	12	21
7	потому что	13	21
8	что в	12	20
9	так же	2	18
10	может быть	11	18
11	что и	4	17
12	не может	6	17
13	что она	3	16
14	что он	9	13
15	при этом	3	13
16	то же	5	13
17	в этом	12	13
18	не только	10	12
19	так как	18	12
20	на то	2	11
21	с тем	4	11
22	было бы	2	11
23	при помощи	3	10
24	как и	5	10
25	и т	10	10
26	когда он	3	10
27	но и	9	10
28	и не	10	10
29	никогда не	13	9
30	что при	2	9
31	как в	6	9
32	в своих	3	9
33	тем что	5	9
34	что это	2	8
35	не в	3	8
36	того что	2	8
37	к тому	2	7
38	мы знаем	2	7
39	и как	2	7
40	такой же	3	7
41	а не	2	7
42	все эти	8	7
43	совершенно ясно	4	7
44	можно было	2	7
45	и его	7	7
46	сказать что	3	7
47	как будто	3	7
48	только в	5	7
49	что они	2	7
50	все время	2	6
51	в этой	2	6
52	он не	2	6
53	как бы	4	6
54	целый ряд	2	6
55	о том	7	6
56	если бы	3	6
57	что у	2	5
58	в ней	5	5
59	далеко не	3	5
60	до сих	4	5
61	сих пор	4	5
62	как на	3	5
63	и на	12	5
64	в то	5	5
65	же как	3	4
66	от того	3	4
67	с этой	2	4
68	утверждать что	2	4
69	как это	5	4
70	и сам	2	4
71	из этого	3	4
72	и по	4	4
73	и тем	4	4
74	в нем	8	4
75	все же	8	4
76	жизни и	2	4
77	наряду с	3	4
78	и до	2	4
79	образом и	2	4
80	данном случае	3	4
81	а в	3	4
82	мы имеем	14	4
83	мы видим	5	4
84	не имеет	2	4
85	и те	2	4
86	в данном	3	4
87	и с	6	4
88	говорит он	2	4
89	знаем что	2	4
90	могут быть	3	4
91	с этим	2	4
92	ту же	2	4
93	и это	8	4
94	которые в	2	4
95	ничего не	2	4
96	того как	3	4
97	главным образом	3	3
98	в частности	3	3
99	но он	2	3
100	с другой	10	3
101	точно так	2	3
102	представление о	9	3
103	показывает что	3	3
104	так что	3	3
105	но как	4	3
106	например в	7	3
107	в своей	3	3
108	относится к	2	3
109	один из	3	3
110	то это	5	3
111	человеком и	2	3
112	так и	5	3
113	и ее	3	3
114	же мы	5	3
115	что же	2	3
116	и других	3	3
117	и вот	3	3
118	и сейчас	2	3
119	время как	3	3
120	что не	2	3
121	должны быть	2	3
122	и он	4	3
123	приходит к	3	3
124	то время	3	3
125	в которых	2	3
126	и то	3	3
127	мы должны	2	3
128	или же	2	3
129	та же	3	3
130	но в	7	3
131	мы не	6	3
132	значит что	2	3
133	мы можем	7	3
134	как только	3	2
135	зависит от	4	2
136	с его	4	2
137	в них	3	2
138	все что	4	2
139	но так	3	2
140	это не	4	2
141	и от	3	2
142	это то	2	2
143	во сне	3	2
144	в одном	3	2
145	это означает	2	2
146	во всяком	2	2
147	и эти	5	2
148	сводится к	2	2
149	ни в	2	2
150	еще не	9	2
151	но не	2	2
152	того же	2	2
153	она не	3	2
154	из которых	3	2
155	вовсе не	2	2
156	на его	4	2
157	в его	5	2
158	не вполне	2	2
159	в него	3	2
160	всяком случае	2	2
161	его с	3	2
162	том как	3	2
163	не так	2	2
164	как он	6	2
165	в этих	2	2
166	для нас	2	2
167	на том	8	2
168	вместе с	8	2
169	отличается от	2	2
170	на него	2	2
171	так в	6	2
172	другой стороны	8	2
173	показывают что	5	2
174	т д	8	2
175	а с	2	2
176	не было	3	2
177	что оно	4	2
178	после того	2	2
179	мы находим	2	2
180	к своему	3	2
181	здесь мы	4	2
182	именно на	2	2
183	и другое	2	2
184	то или	2	2
185	в очень	4	2
186	в других	4	2
187	увидим что	2	2
188	у них	4	2
189	что этот	2	2
190	но это	4	2
191	их в	3	2
192	и далее	2	2
193	имеем в	4	2
194	в себе	3	2
195	и только	3	2
196	в свое	2	2
197	там где	5	2
198	когда мы	2	2
199	не потому	3	2
