N	2gram	Bakhtin_sl_2	KFilosof
1	может быть	37	43
2	в его	7	39
3	в нем	19	31
4	не может	20	27
5	и не	22	26
6	по отношению	4	25
7	и в	39	22
8	отношению к	4	21
9	в себе	2	21
10	а не	14	17
11	и его	33	17
12	только в	5	16
13	точки зрения	8	13
14	в этом	16	13
15	ни в	4	12
16	для него	7	12
17	но не	6	12
18	и единственного	2	11
19	все эти	6	11
20	не в	9	11
21	к нему	3	11
22	из себя	3	10
23	в своем	6	10
24	это не	5	10
25	все это	16	10
26	во всех	12	10
27	с точки	3	10
28	но и	21	9
29	в их	2	9
30	как бы	7	9
31	и все	5	9
32	и для	5	9
33	не было	2	8
34	лишь в	3	8
35	единого и	2	8
36	жизни и	6	8
37	и здесь	2	7
38	во всем	4	7
39	вовсе не	10	7
40	конечно не	5	7
41	должен быть	2	7
42	что и	3	7
43	то что	2	7
44	себя в	8	7
45	в себя	2	7
46	в смысле	4	6
47	в том	5	6
48	но это	3	6
49	отношение к	4	6
50	смысл и	2	6
51	но лишь	2	6
52	и их	5	6
53	он не	2	6
54	уже не	5	6
55	менее всего	2	6
56	никогда не	7	5
57	хотя бы	3	5
58	но эта	2	5
59	то же	4	5
60	его как	2	5
61	но все	5	5
62	и единственный	2	5
63	в контексте	3	5
64	именно в	2	5
65	в основе	4	5
66	но как	2	5
67	его в	4	5
68	с ним	7	5
69	но в	6	5
70	не знает	2	5
71	жизни в	2	5
72	как и	6	5
73	не только	24	5
74	все же	6	5
75	там где	6	5
76	что в	3	4
77	входит в	4	4
78	для нас	5	4
79	при этом	7	4
80	чем не	2	4
81	с ними	5	4
82	между тем	3	4
83	проникает в	2	4
84	в одном	2	4
85	мира и	5	4
86	том что	5	4
87	о нем	2	4
88	а в	4	4
89	в чем	3	4
90	а лишь	2	3
91	бы и	3	3
92	независимо от	2	3
93	должна быть	3	3
94	не менее	4	3
95	единый и	3	3
96	из него	2	3
97	лишь при	2	3
98	в свою	3	3
99	до конца	17	3
100	нем и	2	3
101	рядом с	3	3
102	всем его	2	3
103	и на	4	3
104	людей и	2	3
105	в ней	3	3
106	в то	4	3
107	о том	2	3
108	и ни	2	3
109	но здесь	4	3
110	мы не	2	3
111	всех этих	4	3
112	тогда когда	2	3
113	от него	5	3
114	еще не	7	3
115	ним и	2	3
116	быть и	3	3
117	субъективный процесс	2	3
118	для того	2	3
119	только с	2	3
120	могут быть	7	3
121	в другом	2	3
122	здесь не	4	3
123	слова в	13	2
124	может не	2	2
125	смысла и	3	2
126	его и	2	2
127	прежде всего	8	2
128	или иной	5	2
129	и как	3	2
130	на нем	2	2
131	есть на	2	2
132	же время	4	2
133	и само	2	2
134	вокруг него	2	2
135	себя и	4	2
136	в него	7	2
137	по себе	5	2
138	для этого	4	2
139	как к	3	2
140	мышления и	5	2
141	и других	4	2
142	именно на	2	2
143	предмет как	2	2
144	может иметь	3	2
145	той или	5	2
146	говорить о	3	2
147	контекста в	2	2
148	в единое	2	2
149	ни к	2	2
150	с его	7	2
151	что он	2	2
152	конечно в	2	2
153	всех его	3	2
154	себе как	2	2
155	со всеми	2	2
156	как предмет	4	2
157	и потому	7	2
158	оно не	8	2
159	в процессе	13	2
160	так и	15	2
161	как в	13	2
162	дело с	4	2
163	в контекст	2	2
164	в виде	2	2
165	еще более	2	2
166	это и	2	2
167	того чтобы	2	2
168	в данном	2	2
169	человек и	14	2
170	отношении к	4	2
171	дело в	2	2
172	или как	4	2
173	в области	2	2
174	как предмета	2	2
