N	2gram	Losev_Vesc_1	UchenyiS
1	и в	21	14
2	а не	19	10
3	не только	36	10
4	и не	29	8
5	прежде всего	9	8
6	то что	27	7
7	в этом	4	7
8	вот почему	3	7
9	не может	17	7
10	может быть	16	6
11	хотя бы	6	5
12	перестает быть	3	5
13	все это	5	5
14	и только	3	5
15	то же	6	5
16	но и	18	4
17	в этой	3	4
18	в россии	2	4
19	с другой	6	4
20	что такое	12	4
21	только к	2	3
22	но в	5	3
23	как и	8	3
24	и то	10	3
25	все же	4	3
26	в своей	5	3
27	и формы	2	3
28	бы то	4	3
29	для этого	4	3
30	то ни	4	3
31	другой стороны	2	3
32	для него	4	3
33	это не	5	3
34	в то	3	3
35	было бы	14	3
36	ни было	4	3
37	у нас	7	3
38	тех или	5	2
39	том что	8	2
40	но не	5	2
41	в том	8	2
42	является в	2	2
43	по существу	2	2
44	мы не	6	2
45	не есть	49	2
46	крайней мере	4	2
47	не в	5	2
48	и для	9	2
49	но это	10	2
50	бы и	5	2
51	должна быть	4	2
52	если бы	5	2
53	не случайно	2	2
54	нас в	3	2
55	только в	14	2
56	и с	8	2
57	но даже	3	2
58	тем что	2	2
59	его и	2	2
60	даже и	4	2
61	конечно нет	2	2
62	и у	3	2
63	в себе	14	2
64	как раз	9	2
65	что мы	14	2
66	в конце	2	2
67	что все	2	2
68	если не	3	2
69	ни от	5	2
70	в самом	9	2
71	по себе	13	2
72	сводится к	2	2
73	ничего не	3	2
74	самом деле	4	2
75	по крайней	4	2
76	что она	15	2
77	что и	3	2
78	в его	2	2
79	конце концов	2	2
80	таким образом	8	2
