N	2gram	Vinokur_Vv_1	Literetu
1	не только	21	24
2	при этом	3	19
3	в качестве	7	17
4	но и	5	17
5	а не	3	16
6	в том	31	16
7	в частности	3	15
8	том что	26	14
9	может быть	24	13
10	тогда как	2	13
11	и не	13	12
12	в этом	34	12
13	состоит в	2	11
14	прежде всего	8	11
15	в своем	3	11
16	своего рода	3	11
17	такого рода	2	10
18	то что	17	10
19	или иначе	4	9
20	так или	4	8
21	не в	8	8
22	в целом	5	8
23	и в	27	8
24	в тексте	4	8
25	только в	13	8
26	как это	5	8
27	не менее	8	7
28	в его	10	7
29	как бы	5	7
30	уже не	5	7
31	в себе	4	7
32	как и	5	6
33	и сам	2	6
34	связи с	3	6
35	себя в	2	6
36	того что	12	6
37	точки зрения	7	6
38	казалось бы	2	5
39	с этой	4	5
40	что он	4	5
41	же время	5	5
42	а также	3	5
43	не может	13	5
44	то же	8	5
45	в отличие	3	5
46	уже в	5	5
47	одним из	5	5
48	в данном	11	5
49	не столько	2	5
50	в то	5	5
51	отличие от	3	5
52	для этого	3	4
53	это не	8	4
54	в конце	3	4
55	в силу	3	4
56	представляет собой	12	4
57	но не	7	4
58	культуры в	5	4
59	еще не	4	4
60	и тем	5	4
61	все же	8	4
62	из них	3	4
63	в своей	4	4
64	данном случае	5	4
65	со стороны	12	4
66	никогда не	3	4
67	в связи	2	4
68	духовной жизни	3	4
69	и его	5	4
70	как раз	4	4
71	в своих	2	4
72	не как	3	4
73	в этой	3	4
74	на рубеже	2	3
75	что в	11	3
76	и есть	3	3
77	с другой	8	3
78	да и	4	3
79	одна из	2	3
80	с их	5	3
81	например в	2	3
82	в самом	12	3
83	несмотря на	2	3
84	не мог	2	3
85	как совокупность	2	3
86	том же	2	3
87	один из	6	3
88	и др	2	3
89	жизни и	2	3
90	в их	11	3
91	по отношению	4	3
92	а в	5	3
93	таким образом	19	3
94	еще и	3	3
95	в принципе	2	3
96	и даже	5	3
97	той же	4	3
98	потому что	14	3
99	во всяком	3	3
100	одно из	5	3
101	нуждается в	2	3
102	он и	2	3
103	но в	10	3
104	также и	16	3
105	его в	6	3
106	дело в	3	3
107	в области	4	3
108	в виду	4	3
109	на этом	3	2
110	этого не	2	2
111	а как	3	2
112	с чем	2	2
113	должна быть	2	2
114	все более	3	2
115	по этому	2	2
116	однако в	3	2
117	так называемых	4	2
118	дело не	3	2
119	из этих	5	2
120	а потому	3	2
121	же это	2	2
122	к тому	4	2
123	а только	8	2
124	тем не	8	2
125	и того	2	2
126	из его	2	2
127	в другом	3	2
128	особого рода	4	2
129	того же	3	2
130	одной стороны	4	2
131	было бы	5	2
132	и ранее	2	2
133	всяком случае	3	2
134	на почве	5	2
135	должен быть	4	2
136	говоря уже	2	2
137	из наиболее	4	2
138	в нем	13	2
139	то это	3	2
140	не есть	4	2
141	отношению к	4	2
142	не к	2	2
143	на том	3	2
144	в сущности	3	2
145	как сказано	2	2
146	только на	3	2
147	не говоря	2	2
148	этом отношении	3	2
149	с одной	4	2
150	все эти	3	2
151	из того	2	2
152	от себя	3	2
153	самом деле	6	2
154	во втором	2	2
155	что не	5	2
156	что такое	10	2
157	хотя бы	5	2
158	с точки	2	2
159	можно было	7	2
160	и то	5	2
161	между тем	8	2
162	тем более	2	2
163	тем что	6	2
164	могут быть	4	2
165	этого рода	8	2
166	как будто	3	2
167	о том	15	2
168	как он	6	2
169	нашего времени	2	2
