N	3gram	Losev_Dial_1	Psycholo
1	в том что	7	17
2	с точки зрения	12	10
3	не может быть	3	8
4	и т п	2	8
5	на то что	4	6
6	в этом отношении	2	5
7	до сих пор	2	5
8	на самом деле	2	5
9	о том что	2	4
10	сам по себе	6	4
11	можно было бы	4	4
12	в конце концов	3	3
13	никогда не может	2	3
14	само по себе	5	3
15	точно так же	2	3
16	по сравнению с	2	2
17	только потому что	3	2
18	то же время	4	2
19	это значит что	9	2
20	к тому что	2	2
21	во всяком случае	2	2
22	ни в каком	8	2
23	в то же	4	2
24	было бы и	2	2
25	и т д	19	2
26	что он не	2	2
27	с другой стороны	4	2
