N	2gram	Tiupa_Disk_2	Myshleni
1	в том	8	28
2	и в	16	28
3	то что	5	28
4	в этом	16	27
5	потому что	4	22
6	не может	9	19
7	том что	10	19
8	что он	2	18
9	только в	3	18
10	что в	5	17
11	не только	10	16
12	может быть	16	13
13	точки зрения	4	13
14	и не	15	11
15	как бы	4	11
16	но и	11	10
17	по отношению	4	10
18	но не	7	10
19	отношению к	4	10
20	с точки	2	10
21	никогда не	2	8
22	еще не	6	8
23	тем самым	6	8
24	того же	2	7
25	в нем	7	7
26	в своем	5	7
27	отношение к	2	7
28	он не	3	7
29	вместе с	2	7
30	то же	6	7
31	же как	2	6
32	и как	3	6
33	для него	5	6
34	в то	5	6
35	его в	3	6
36	как и	16	6
37	можно сказать	3	6
38	так и	9	6
39	приводит к	3	6
40	в области	2	6
41	это не	3	5
42	в пределах	4	5
43	и на	5	5
44	и все	3	5
45	но в	11	5
46	переходе от	2	5
47	могут быть	3	5
48	в этой	4	5
49	именно в	2	4
50	в частности	12	4
51	что на	2	4
52	не в	3	4
53	отношения между	2	4
54	например в	3	4
55	совпадает с	2	4
56	к жизни	3	4
57	мы имеем	2	4
58	в качестве	16	4
59	одного и	3	4
60	что и	2	4
61	и того	3	4
62	в той	2	4
63	той же	2	4
64	и то	4	4
65	в себе	19	4
66	из этих	3	3
67	в ходе	2	3
68	всякий раз	2	3
69	есть в	2	3
70	при этом	17	3
71	в первую	2	3
72	в целом	2	3
73	как на	3	3
74	этом отношении	4	3
75	в своих	6	3
76	в основе	4	3
77	по своей	6	3
78	на примере	2	3
79	с его	6	3
80	в них	3	3
81	первую очередь	2	3
82	иначе говоря	3	3
83	в его	3	3
84	с ней	2	3
85	для данного	3	3
86	как в	8	3
87	в себя	2	3
88	а не	14	3
89	и его	3	3
90	представляет собой	11	3
91	не знает	3	3
92	чего не	3	3
93	не менее	7	2
94	в этих	3	2
95	с другой	5	2
96	это в	2	2
97	прежде всего	7	2
98	к которой	2	2
99	но это	3	2
100	является не	2	2
101	в котором	3	2
102	из них	3	2
103	все это	2	2
104	другой стороны	2	2
105	принадлежит к	3	2
106	все эти	3	2
107	и наконец	3	2
108	об одном	3	2
109	к его	4	2
110	состоит в	16	2
111	в одном	4	2
112	не с	2	2
113	интерес к	2	2
114	этом случае	2	2
115	в ряду	2	2
116	в своей	6	2
117	еще в	3	2
118	все же	6	2
119	не на	2	2
120	речи в	2	2
121	а в	2	2
122	в данном	7	2
123	оказывается не	2	2
124	в другом	3	2
125	при котором	2	2
