N	2gram	Vinokur_Vv_1	UchenyiS
1	и в	27	14
2	а не	3	10
3	не только	21	10
4	и не	13	8
5	прежде всего	8	8
6	то что	17	7
7	в этом	34	7
8	вот почему	3	7
9	не может	13	7
10	может быть	24	6
11	хотя бы	5	5
12	все это	6	5
13	то же	8	5
14	но и	5	4
15	в этой	3	4
16	в их	11	4
17	с другой	8	4
18	что такое	10	4
19	как такового	2	3
20	но в	10	3
21	как и	5	3
22	и то	5	3
23	все же	8	3
24	истории литературы	3	3
25	не следует	2	3
26	в своей	4	3
27	в частности	3	3
28	для этого	3	3
29	же время	5	3
30	другой стороны	5	3
31	это не	8	3
32	вряд ли	2	3
33	в то	5	3
34	не как	3	3
35	было бы	5	3
36	и т.д	4	3
37	этой области	3	3
38	в области	4	3
39	у нас	2	3
40	смысле этого	8	2
41	тех или	3	2
42	том что	26	2
43	но не	7	2
44	в том	31	2
45	в широком	7	2
46	по существу	2	2
47	мы не	2	2
48	не есть	4	2
49	крайней мере	4	2
50	не в	8	2
51	и для	4	2
52	бы и	2	2
53	должна была	2	2
54	должна быть	2	2
55	этом смысле	11	2
56	не столько	2	2
57	о чем	4	2
58	если бы	2	2
59	только в	13	2
60	и с	2	2
61	тем что	6	2
62	сих пор	5	2
63	могут быть	4	2
64	даже и	3	2
65	именно как	3	2
66	что он	4	2
67	в себе	4	2
68	как раз	4	2
69	до сих	5	2
70	что мы	2	2
71	же самое	2	2
72	в конце	3	2
73	этого термина	2	2
74	этом отношении	3	2
75	в самом	12	2
76	не могут	5	2
77	художественных произведений	2	2
78	или иных	3	2
79	по себе	9	2
80	одним из	5	2
81	надо было	2	2
82	ничего не	2	2
83	самом деле	6	2
84	а как	3	2
85	по крайней	4	2
86	что она	3	2
87	что и	3	2
88	в его	10	2
89	между тем	8	2
90	конце концов	2	2
91	таким образом	19	2
92	материал для	3	2
