N	2gram	Tiupa_Hudo_2	Marksizm
1	точки зрения	2	34
2	может быть	8	26
3	и не	18	26
4	не может	4	24
5	с точки	2	20
6	и в	28	19
7	и его	5	19
8	в этом	13	16
9	как бы	5	15
10	прежде всего	3	13
11	как мы	2	13
12	как и	11	12
13	так и	8	11
14	и для	2	11
15	в самом	5	10
16	в нем	3	10
17	самом деле	3	10
18	для него	5	9
19	лишь в	2	9
20	только в	4	9
21	при этом	11	8
22	в контексте	2	8
23	но и	9	8
24	до сих	2	8
25	не только	11	8
26	все же	2	8
27	то что	6	8
28	сих пор	2	8
29	так же	3	7
30	но в	2	7
31	в ее	18	7
32	то же	6	7
33	а не	14	7
34	в том	15	6
35	отнюдь не	2	6
36	в его	11	6
37	ничего не	5	6
38	с другой	3	5
39	именно в	2	5
40	мы знаем	2	5
41	не в	13	5
42	те же	2	5
43	рядом с	5	5
44	и все	7	5
45	вовсе не	2	5
46	по преимуществу	3	5
47	того чтобы	4	5
48	хотя бы	2	5
49	что в	5	4
50	не менее	5	4
51	как же	2	4
52	в ней	3	4
53	не является	2	4
54	не столько	2	4
55	а в	6	4
56	и на	3	4
57	сказать что	2	4
58	жизни в	7	4
59	еще не	3	4
60	было бы	3	4
61	не будет	2	4
62	что же	2	4
63	как в	5	4
64	мысли и	2	4
65	только на	5	4
66	для того	4	4
67	и эта	2	4
68	между ними	2	4
69	в данном	2	4
70	внутренней жизни	4	4
71	место в	2	3
72	и от	2	3
73	а как	2	3
74	или иной	2	3
75	можно сказать	6	3
76	но именно	2	3
77	же время	4	3
78	в котором	6	3
79	из них	2	3
80	все это	3	3
81	по отношению	7	3
82	не было	6	3
83	с другими	3	3
84	между тем	8	3
85	нуждается в	2	3
86	в то	6	3
87	же самое	3	3
88	его в	2	3
89	нет ничего	2	3
90	и к	2	3
91	она может	2	3
92	том что	19	3
93	одной из	3	3
94	он не	4	3
95	в первом	2	3
96	в своей	6	3
97	сводится к	6	3
98	и ее	3	3
99	и это	3	3
100	же как	2	2
101	в частности	7	2
102	никогда не	5	2
103	тому что	4	2
104	в своем	5	2
105	они все	2	2
106	что все	3	2
107	тем не	4	2
108	противоречие между	2	2
109	в нашем	2	2
110	с ее	5	2
111	точкой зрения	2	2
112	жизни и	6	2
113	и только	2	2
114	именно на	2	2
115	во втором	2	2
116	можно было	3	2
117	для других	3	2
118	же и	2	2
119	из этих	2	2
120	о том	12	2
121	как он	3	2
122	и с	6	2
123	в основе	2	2
124	если бы	6	2
125	не как	2	2
126	но при	3	2
127	что он	8	2
128	в себе	9	2
129	то в	4	2
130	одна из	2	2
131	они и	2	2
132	в качестве	4	2
133	она не	5	2
134	мы уже	3	2
135	к тому	7	2
136	ни о	3	2
137	говорили о	2	2
138	не все	3	2
139	что и	4	2
140	отношению к	7	2
141	бы и	4	2
142	и сама	4	2
143	как раз	4	2
144	в двух	2	2
145	человека в	4	2
146	что не	2	2
147	и он	3	2
148	той же	2	2
149	или в	3	2
150	тем что	6	2
151	в другом	2	2
152	могла бы	2	2
153	и т.д	2	2
