N	2gram	Propp_Morf_1	Problemy
1	и в	13	43
2	и не	12	29
3	т е	21	26
4	может быть	52	23
5	как бы	3	22
6	не может	14	18
7	в пределах	3	16
8	но и	4	14
9	как и	3	14
10	и т	41	13
11	точки зрения	2	13
12	в этом	14	13
13	что он	4	13
14	не в	3	11
15	не только	4	11
16	прежде всего	9	10
17	но в	2	10
18	как мы	6	10
19	в большинстве	3	9
20	еще не	3	9
21	в сущности	3	9
22	он не	3	9
23	большинстве случаев	3	8
24	то же	7	8
25	с точки	2	8
26	или в	4	8
27	перед нами	10	7
28	в то	3	7
29	то что	8	7
30	что же	2	7
31	а не	11	7
32	в другом	2	7
33	в этих	13	6
34	в том	6	6
35	то перед	5	6
36	приводит к	2	6
37	здесь не	2	6
38	на то	2	5
39	хотя и	3	5
40	к нему	3	5
41	по отношению	4	5
42	таким образом	21	5
43	все эти	2	5
44	а в	7	5
45	вовсе не	4	5
46	о том	2	5
47	но не	4	5
48	было бы	3	5
49	мы увидим	8	5
50	и что	2	5
51	отношению к	4	5
52	самом деле	4	5
53	не могут	4	4
54	что в	8	4
55	с другой	8	4
56	к тому	4	4
57	но это	6	4
58	между собою	2	4
59	т д	39	4
60	в результате	7	4
61	во время	6	4
62	так как	16	4
63	с его	2	4
64	с собой	3	4
65	если же	5	4
66	во всех	4	4
67	не на	2	4
68	там где	5	4
69	мы не	8	4
70	этот вопрос	2	4
71	только в	2	4
72	далеко не	5	4
73	не менее	5	3
74	мы будем	3	3
75	себя и	2	3
76	это не	6	3
77	есть и	4	3
78	более или	2	3
79	в последнем	2	3
80	но для	2	3
81	и их	2	3
82	героя в	4	3
83	и здесь	5	3
84	его в	2	3
85	между тем	5	3
86	если бы	2	3
87	в различных	2	3
88	и к	4	3
89	герой и	3	3
90	по существу	12	3
91	она не	2	3
92	что и	7	3
93	все же	7	3
94	на него	3	3
95	так и	6	3
96	или менее	2	3
97	уже не	2	3
98	другой стороны	4	3
99	также и	4	3
100	и для	2	3
101	можно было	2	3
102	ничего не	4	3
103	тем что	4	3
104	в виде	2	3
105	могут быть	16	3
106	и ее	3	3
107	и этим	5	3
108	его и	2	2
109	та же	2	2
110	в образе	4	2
111	вопрос о	7	2
112	тем не	5	2
113	к различным	2	2
114	как же	2	2
115	для нас	2	2
116	без всякого	2	2
117	и как	5	2
118	но все	3	2
119	из его	2	2
120	этого нельзя	2	2
121	в глаза	2	2
122	например в	2	2
123	что такое	3	2
124	ту же	2	2
125	время как	3	2
126	в настоящее	3	2
127	и др	10	2
128	то это	3	2
129	в целом	3	2
130	сказать о	2	2
131	иногда же	2	2
132	в форме	6	2
133	целый ряд	3	2
134	здесь мы	3	2
135	того что	3	2
136	этих случаях	11	2
137	так же	3	2
138	реагирует на	3	2
139	друг на	2	2
140	в которых	2	2
141	а то	3	2
142	сказать что	2	2
143	на друга	2	2
144	настоящее время	3	2
145	из них	3	2
146	в первом	3	2
147	герой не	2	2
148	лишь на	2	2
149	во всяком	2	2
150	ни было	2	2
151	друг к	2	2
152	между собой	4	2
153	с этим	11	2
154	же она	2	2
155	об этом	4	2
156	а затем	4	2
157	у нас	2	2
158	одна из	4	2
159	по своему	2	2
160	то время	3	2
161	с теми	4	2
162	и пр	37	2
163	к другу	2	2
164	быть и	2	2
165	как в	3	2
166	входит в	2	2
167	нами в	2	2
168	а с	2	2
169	если мы	5	2
170	том что	4	2
171	хотя бы	4	2
172	нашей работы	2	2
173	мы можем	2	2
174	того как	2	2
