N	2gram	Medvedev_V_1	RusskieA
1	и в	26	29
2	т е	18	24
3	что в	10	22
4	том что	8	22
5	в том	15	22
6	как бы	5	18
7	может быть	22	13
8	во время	3	12
9	п в	3	12
10	как и	7	11
11	одна из	4	11
12	в этом	26	11
13	все это	10	10
14	е в	2	10
15	не только	25	10
16	о том	10	9
17	а в	3	9
18	но и	10	8
19	ее в	4	8
20	его в	3	8
21	мы видели	3	7
22	или в	3	7
23	с тем	3	6
24	же в	6	6
25	еще не	2	6
26	для того	3	6
27	вместе с	7	6
28	таким образом	31	6
29	того чтобы	3	6
30	мы имеем	3	6
31	это не	7	5
32	к этому	9	5
33	то что	6	5
34	но не	2	5
35	и т	23	5
36	не может	17	5
37	т д	14	5
38	следующим образом	3	5
39	будто бы	2	5
40	но в	2	5
41	видели что	3	4
42	именно в	2	4
43	о чем	2	4
44	в них	4	4
45	эта теория	2	4
46	тогда когда	2	4
47	а затем	2	4
48	по существу	3	4
49	не в	6	4
50	из них	9	4
51	же как	2	4
52	том же	6	4
53	так же	3	4
54	то же	10	4
55	у нас	2	4
56	а не	7	4
57	в которых	3	4
58	их в	6	4
59	далеко не	2	4
60	как это	12	4
61	в качестве	11	3
62	и от	3	3
63	в году	6	3
64	главным образом	7	3
65	как например	2	3
66	в ее	4	3
67	она не	3	3
68	того что	3	3
69	было бы	7	3
70	что она	2	3
71	в котором	3	3
72	с другими	2	3
73	во всех	6	3
74	что для	3	3
75	и через	2	3
76	все эти	6	3
77	пишет в	3	3
78	и по	3	3
79	тому как	2	3
80	между тем	5	3
81	подобно тому	2	3
82	в этой	4	3
83	не менее	2	2
84	начиная с	2	2
85	связи с	4	2
86	об этом	9	2
87	могут быть	5	2
88	никогда не	4	2
89	по этому	9	2
90	с другой	11	2
91	не столько	2	2
92	из этих	7	2
93	в образе	2	2
94	прежде всего	13	2
95	нет никаких	2	2
96	что и	3	2
97	в целях	2	2
98	говорит о	7	2
99	это и	6	2
100	и как	3	2
101	одним из	5	2
102	и при	5	2
103	у них	2	2
104	представления об	2	2
105	очевидно что	7	2
106	одной стороны	2	2
107	в виду	4	2
108	один из	5	2
109	должен быть	4	2
110	н ф	2	2
111	все же	5	2
112	в своей	4	2
113	этом и	2	2
114	после этого	2	2
115	том чтобы	2	2
116	в форме	3	2
117	что при	2	2
118	в их	5	2
119	этому поводу	7	2
120	у некоторых	2	2
121	не было	7	2
122	с одной	2	2
123	в течение	2	2
124	образом в	3	2
125	этот вопрос	3	2
126	из которых	2	2
127	и для	2	2
128	должно быть	2	2
129	можно было	2	2
130	в своих	2	2
131	пока еще	2	2
132	также что	2	2
133	с этим	3	2
134	моментов в	3	2
135	и ее	4	2
136	в то	6	2
137	в которой	2	2
