N	2gram	Propp_Isto_1	TeoriaLi
1	не только	12	18
2	в качестве	5	17
3	и не	9	16
4	а в	7	14
5	в частности	2	13
6	и в	28	13
7	может быть	25	12
8	так и	9	12
9	представляет собой	4	11
10	при этом	3	11
11	в этом	8	11
12	в том	9	11
13	но не	5	10
14	а не	15	10
15	и его	3	10
16	в его	5	9
17	то же	12	9
18	что в	12	8
19	отношению к	3	8
20	но и	10	8
21	по отношению	3	8
22	себя в	2	7
23	в себе	2	7
24	том что	7	7
25	в отличие	2	7
26	по своей	2	7
27	в то	3	7
28	только в	11	7
29	как это	3	7
30	отличие от	2	7
31	еще не	7	6
32	как бы	2	6
33	в русской	2	6
34	но в	8	6
35	в рамках	2	5
36	однако в	2	5
37	в своем	5	5
38	в ее	2	5
39	как и	4	5
40	не в	9	5
41	в пределах	4	5
42	между ними	2	5
43	в нем	2	5
44	как в	2	5
45	он не	2	5
46	уже не	3	5
47	с другой	6	5
48	между тем	2	5
49	мы имеем	13	5
50	не менее	6	4
51	более или	5	4
52	в конечном	2	4
53	то что	9	4
54	в форме	3	4
55	или менее	5	4
56	в их	3	4
57	приводит к	2	4
58	не может	15	4
59	сказать что	5	4
60	не знает	5	4
61	как правило	4	4
62	ни к	2	3
63	перед нами	3	3
64	и др	7	3
65	никогда не	14	3
66	в этих	7	3
67	он должен	2	3
68	прежде всего	10	3
69	а только	2	3
70	тем не	6	3
71	для него	2	3
72	того что	4	3
73	например в	5	3
74	и потому	2	3
75	не все	4	3
76	другой стороны	5	3
77	как раз	2	3
78	так в	4	3
79	таким образом	8	3
80	а с	2	3
81	именно в	3	3
82	в другом	3	3
83	и вот	2	3
84	и что	10	3
85	и по	3	3
86	или в	5	3
87	потому что	4	3
88	в основе	4	3
89	в этой	6	3
90	его в	6	3
91	все эти	4	3
92	к которому	5	3
93	я не	3	2
94	если бы	8	2
95	была бы	2	2
96	могут быть	4	2
97	восходит к	5	2
98	между собой	4	2
99	это не	7	2
100	вовсе не	2	2
101	по себе	3	2
102	что он	10	2
103	к тому	6	2
104	об этом	4	2
105	это тоже	6	2
106	и как	2	2
107	что они	5	2
108	говорит в	2	2
109	одной стороны	4	2
110	в большинстве	4	2
111	одной из	2	2
112	мы в	2	2
113	из которых	3	2
114	вслед за	6	2
115	здесь мы	7	2
116	чем это	4	2
117	даже в	4	2
118	в сказании	2	2
119	и тем	2	2
120	не с	3	2
121	в целом	2	2
122	во всех	2	2
123	вместе с	6	2
124	дело не	5	2
125	со стороны	2	2
126	а именно	4	2
127	не на	2	2
128	здесь не	4	2
129	и для	4	2
130	с одной	4	2
131	и даже	4	2
132	во всей	2	2
133	так же	7	2
134	право на	2	2
135	их в	5	2
136	и здесь	7	2
137	как будто	4	2
138	о том	9	2
139	отношения к	2	2
140	в области	2	2
141	это было	2	2
