N	2gram	Bakhtin_KF_1	Vvedenie
1	и в	24	32
2	в том	6	31
3	в этом	14	30
4	может быть	45	26
5	том что	4	26
6	не только	5	22
7	для того	3	21
8	того чтобы	2	20
9	то что	7	16
10	потому что	2	15
11	не может	27	14
12	в нем	28	13
13	о том	3	13
14	со стороны	7	13
15	того что	3	12
16	в их	8	12
17	и не	26	12
18	в его	40	12
19	только в	16	12
20	ясно что	3	11
21	и именно	2	11
22	в ее	16	11
23	в данном	2	11
24	что в	4	10
25	но в	5	9
26	и как	2	9
27	между тем	4	9
28	этом смысле	3	9
29	по себе	2	9
30	то же	5	9
31	не менее	3	8
32	это не	10	8
33	тем не	2	8
34	не в	12	8
35	именно в	5	8
36	прежде всего	2	7
37	вопрос о	2	7
38	точки зрения	12	7
39	но не	12	7
40	было бы	8	7
41	все же	5	7
42	дело с	2	7
43	самом деле	3	7
44	только как	4	7
45	же время	2	6
46	один из	2	6
47	но и	9	6
48	все это	10	6
49	в то	3	6
50	его в	5	6
51	с тем	2	6
52	вовсе не	7	6
53	как и	5	6
54	в качестве	2	6
55	хотя бы	4	6
56	и его	17	6
57	тем что	3	6
58	и это	12	6
59	как бы	9	5
60	и тем	3	5
61	в целом	10	5
62	а как	2	5
63	быть в	4	5
64	по своему	3	5
65	не есть	20	5
66	а не	17	5
67	что не	3	5
68	могут быть	3	5
69	независимо от	3	4
70	в каждом	3	4
71	времени и	4	4
72	в котором	24	4
73	здесь нет	2	4
74	по отношению	26	4
75	не имеет	5	4
76	а в	4	4
77	но ведь	5	4
78	мы имеем	5	4
79	от этого	2	4
80	что он	2	4
81	еще не	4	4
82	отношению к	22	4
83	в своей	10	4
84	это только	2	4
85	в виде	2	4
86	уже не	7	4
87	и для	9	4
88	и то	2	4
89	и ее	2	4
90	в себе	21	4
91	и т.д	2	4
92	только с	3	4
93	совсем не	2	3
94	что это	3	3
95	и есть	9	3
96	бы и	3	3
97	только по	2	3
98	но все	5	3
99	в этой	2	3
100	до конца	3	3
101	при этом	4	3
102	от себя	10	3
103	в ней	3	3
104	в виду	3	3
105	к нему	12	3
106	отношение к	5	3
107	дело не	2	3
108	в своем	16	3
109	все эти	10	3
110	и других	2	3
111	и на	3	3
112	говорить о	2	3
113	тогда когда	3	3
114	нисколько не	4	3
115	если бы	8	3
116	не как	4	3
117	к этому	2	3
118	в чем	4	3
119	в одном	4	3
120	как оно	2	3
121	должен быть	7	3
122	что и	7	3
123	дело в	2	3
124	в каком	4	3
125	или как	2	3
126	в области	2	3
127	должна быть	4	2
128	это уже	2	2
129	никогда не	5	2
130	тому что	2	2
131	для этого	2	2
132	или иной	2	2
133	не нужно	2	2
134	из его	3	2
135	это есть	2	2
136	но это	6	2
137	соответствии с	2	2
138	жизни как	5	2
139	от того	3	2
140	смысле и	2	2
141	не было	8	2
142	именно на	2	2
143	действительности в	2	2
144	в принципе	2	2
145	должно быть	6	2
146	рядом с	3	2
147	и совершенно	3	2
148	он и	2	2
149	той или	3	2
150	и здесь	7	2
151	единого и	9	2
152	так и	2	2
153	могло бы	4	2
154	ни к	2	2
155	в соответствии	2	2
156	его к	2	2
157	во всех	11	2
158	ближе к	3	2
159	или иным	2	2
160	отсюда и	3	2
161	жизни и	8	2
162	себе и	3	2
163	ни одна	2	2
164	этого слова	2	2
165	для нее	7	2
166	быть и	3	2
167	входит в	3	2
168	котором он	3	2
169	деятельности и	2	2
170	из которых	2	2
171	с точки	9	2
172	другое дело	2	2
173	мы не	3	2
174	есть лишь	5	2
175	в другом	3	2
176	познания и	4	2
177	здесь не	3	2
178	ничего не	3	2
