N	2gram	Vygotskiy__3	Tragedij
1	и в	25	18
2	в этом	14	9
3	не только	6	8
4	и не	10	7
5	и на	6	7
6	может быть	13	7
7	как бы	10	7
8	что он	6	6
9	и его	2	6
10	все же	6	5
11	к жизни	2	5
12	что это	5	5
13	так и	5	5
14	не может	6	5
15	то же	2	5
16	как и	15	5
17	в то	4	5
18	но и	4	4
19	то что	15	4
20	в целом	13	4
21	что в	17	4
22	все это	6	4
23	прежде всего	4	4
24	и все	4	4
25	в нем	2	4
26	так же	17	4
27	том что	20	4
28	но это	5	4
29	в этой	5	4
30	и что	10	4
31	в себе	2	4
32	еще не	4	4
33	об этом	2	4
34	уже в	7	3
35	один из	6	3
36	с ее	5	3
37	отнюдь не	4	3
38	в своем	4	3
39	как в	9	3
40	все эти	7	3
41	тем самым	2	3
42	и как	5	3
43	в основном	6	3
44	должно быть	2	3
45	в его	15	3
46	что с	4	3
47	для него	5	3
48	при этом	5	3
49	и сам	3	3
50	мог бы	4	3
51	в мире	2	3
52	как это	7	3
53	с ним	4	3
54	еще в	2	2
55	перед нами	10	2
56	ребенка в	12	2
57	не могут	4	2
58	но они	2	2
59	что и	10	2
60	как говорит	5	2
61	в частности	4	2
62	в отличие	6	2
63	который в	3	2
64	то и	4	2
65	а как	2	2
66	уже не	2	2
67	с его	2	2
68	к тому	4	2
69	столь же	7	2
70	и здесь	2	2
71	ни в	9	2
72	ребенка и	17	2
73	в том	23	2
74	друг друга	4	2
75	отличие от	6	2
76	но все	2	2
77	так что	2	2
78	в таком	2	2
79	не в	6	2
80	и то	2	2
81	одна из	2	2
82	потому что	6	2
83	с тем	16	2
84	тем что	8	2
85	в виде	3	2
86	к области	2	2
87	о том	5	2
88	его в	3	2
89	что эти	3	2
90	и это	4	2
91	в самом	3	2
92	не мог	4	2
93	что говорит	2	2
94	он не	4	2
95	в одном	2	2
96	что она	5	2
97	никогда не	4	2
