N	2gram	Vinokur_Ku_1	Marksizm
1	может быть	13	28
2	и пр	15	25
3	и в	24	19
4	как бы	7	19
5	и не	12	19
6	не может	7	18
7	точки зрения	14	17
8	то же	8	16
9	и его	5	16
10	языка и	8	15
11	в этом	14	15
12	таким образом	12	14
13	лишь в	2	14
14	в сущности	3	14
15	так сказать	5	14
16	не только	10	13
17	с точки	9	13
18	речи и	5	13
19	связи с	7	13
20	в нем	4	11
21	если бы	9	11
22	вовсе не	10	11
23	не в	11	10
24	в пределах	4	10
25	но и	6	10
26	том что	21	10
27	так и	7	10
28	речи в	4	10
29	при этом	6	9
30	языка как	5	9
31	как и	2	9
32	самом деле	9	9
33	а не	8	9
34	же время	2	8
35	не является	2	8
36	по отношению	8	8
37	в то	2	8
38	с его	4	8
39	отношению к	9	8
40	только в	11	8
41	никогда не	2	7
42	в связи	3	7
43	в том	30	7
44	но в	2	7
45	и более	2	7
46	прежде всего	9	7
47	в языке	8	7
48	на самом	2	7
49	и для	2	7
50	в таком	3	7
51	язык как	9	6
52	в смысле	2	6
53	к тому	5	6
54	ни в	2	6
55	и как	2	6
56	в свою	3	6
57	того чтобы	17	6
58	в самом	10	6
59	и значение	2	6
60	с помощью	7	6
61	и все	2	6
62	между тем	5	6
63	слова и	4	6
64	если мы	2	6
65	для того	16	6
66	хотя бы	10	6
67	свою очередь	3	5
68	в большинстве	2	5
69	или иной	3	5
70	в контексте	2	5
71	в их	3	5
72	так же	4	5
73	и на	4	5
74	и здесь	3	5
75	и того	2	5
76	того же	4	5
77	в его	12	5
78	этого слова	3	5
79	все же	12	5
80	форм языка	2	5
81	значения в	2	5
82	в той	5	5
83	в данном	4	5
84	тем более	2	5
85	должна быть	3	4
86	тому что	3	4
87	это не	7	4
88	одного и	2	4
89	на то	4	4
90	все те	2	4
91	по мере	3	4
92	то что	9	4
93	и тем	2	4
94	того что	9	4
95	с ними	4	4
96	бы в	7	4
97	в русском	4	4
98	как раз	8	4
99	смысле этого	3	4
100	следует что	4	4
101	из одного	3	4
102	что он	6	4
103	было бы	15	4
104	конечно не	2	4
105	русском языке	4	4
106	речь в	4	4
107	в слове	2	4
108	в себе	3	4
109	ничего не	2	4
110	учение о	4	3
111	в этих	4	3
112	в какой	6	3
113	с другой	7	3
114	в этой	3	3
115	не имеют	3	3
116	в ней	6	3
117	если б	2	3
118	в котором	3	3
119	истории языка	5	3
120	в каком	2	3
121	а в	5	3
122	с этим	4	3
123	что оно	3	3
124	все эти	6	3
125	социального общения	3	3
126	не имеет	2	3
127	должно быть	3	3
128	языка в	12	3
129	не было	3	3
130	в истории	3	3
131	но ведь	2	3
132	о том	9	3
133	так как	9	3
134	отсюда следует	2	3
135	по себе	2	3
136	у нас	10	3
137	в качестве	7	3
138	связано с	3	3
139	до сих	4	3
140	еще не	5	3
141	он не	2	3
142	относится к	2	3
143	что и	4	3
144	не есть	4	3
145	в своей	2	3
146	той же	3	3
147	и то	3	3
148	языка не	3	3
149	во всяком	5	3
150	языковых форм	2	3
151	сих пор	4	3
152	уже в	3	2
153	для лингвиста	2	2
154	что в	17	2
155	что это	5	2
156	иное как	2	2
157	вопрос о	2	2
158	в собственном	2	2
159	его к	3	2
160	в тех	4	2
161	лишь как	2	2
162	что они	4	2
163	более или	3	2
164	как о	2	2
165	до конца	2	2
166	о чем	2	2
167	общения и	2	2
168	одним из	2	2
169	всяком случае	5	2
170	эти категории	2	2
171	в зависимости	5	2
172	себя самого	2	2
173	в своем	3	2
174	в особенности	3	2
175	языке как	3	2
176	именно в	6	2
177	история языка	7	2
178	они не	3	2
179	в системе	3	2
180	и даже	3	2
181	как на	3	2
182	рядом с	5	2
183	в более	2	2
184	и с	5	2
185	по крайней	5	2
186	даже и	3	2
187	к формам	3	2
188	xix века	5	2
189	и является	4	2
190	того или	4	2
191	от этого	2	2
192	речи можно	4	2
193	так называемой	2	2
194	или иного	3	2
195	значение и	2	2
196	не с	3	2
197	зависимости от	6	2
198	но не	5	2
199	ли это	2	2
200	мы увидим	3	2
201	и потому	4	2
202	самого языка	2	2
203	науки о	3	2
204	должен быть	4	2
205	крайней мере	5	2
206	и именно	2	2
207	или менее	3	2
208	и тогда	4	2
209	не на	4	2
210	а с	3	2
211	сводится к	3	2
212	здесь как	2	2
213	что не	5	2
214	должны быть	2	2
215	в речи	3	2
216	и он	3	2
217	между ними	2	2
218	или в	2	2
219	свидетельствует о	2	2
220	слова как	3	2
221	то мы	3	2
222	тем что	8	2
223	там где	4	2
224	в определенных	2	2
225	это было	2	2
226	вместе с	7	2
