N	2gram	Vygotskiy__3	Narrotol
1	не только	12	26
2	а не	7	17
3	представляет собой	2	16
4	но и	5	15
5	в том	25	14
6	при этом	4	14
7	в качестве	2	14
8	и не	10	14
9	том что	14	13
10	и в	38	13
11	в этом	13	13
12	состоит в	3	12
13	только в	4	11
14	может быть	19	10
15	в данном	2	10
16	к тому	6	9
17	а в	7	9
18	то есть	15	9
19	то что	35	8
20	в себе	4	8
21	не может	7	8
22	не в	12	8
23	иначе говоря	5	7
24	к себе	2	7
25	никогда не	4	6
26	в своем	5	6
27	и к	3	6
28	того что	4	6
29	в его	5	6
30	данном случае	2	6
31	со стороны	2	6
32	все же	8	6
33	у него	4	6
34	как бы	14	6
35	ничего не	2	6
36	но в	3	6
37	место в	3	5
38	точки зрения	16	5
39	что он	11	5
40	одной стороны	5	5
41	он не	6	5
42	в котором	6	5
43	я не	5	5
44	и тем	3	5
45	в нем	4	5
46	как в	4	5
47	таким образом	12	5
48	с одной	6	5
49	в той	5	5
50	с другой	7	5
51	в то	3	5
52	далеко не	3	5
53	о том	6	5
54	перед нами	8	4
55	что это	10	4
56	если бы	14	4
57	отнюдь не	2	4
58	в конце	2	4
59	же в	2	4
60	как и	8	4
61	что в	20	4
62	для него	2	4
63	и уже	2	4
64	не к	3	4
65	в своей	5	4
66	в ее	7	4
67	то же	10	4
68	в какой	5	4
69	уже не	2	4
70	в силу	2	4
71	в другом	5	4
72	в этой	13	4
73	и все	10	4
74	как это	6	4
75	с ним	2	4
76	тому что	6	3
77	что они	4	3
78	одна из	4	3
79	о котором	5	3
80	к его	2	3
81	к ней	2	3
82	как раз	8	3
83	и когда	5	3
84	один из	6	3
85	в целом	4	3
86	между собой	2	3
87	внимание на	2	3
88	то и	3	3
89	как к	2	3
90	все эти	4	3
91	самом деле	21	3
92	того чтобы	9	3
93	и даже	4	3
94	и по	2	3
95	и для	4	3
96	нам в	2	3
97	и его	6	3
98	в таком	3	3
99	с этой	2	3
100	никак не	7	3
101	сказать что	4	3
102	между тем	7	3
103	действующих лиц	5	3
104	так сказать	5	3
105	едва ли	3	3
106	можно назвать	2	2
107	должен был	2	2
108	одно из	2	2
109	что у	7	2
110	хотя бы	2	2
111	столь же	2	2
112	из этих	3	2
113	обратиться к	4	2
114	своих героев	2	2
115	вовсе не	8	2
116	и здесь	6	2
117	в свою	4	2
118	на то	16	2
119	к своему	2	2
120	для нас	8	2
121	говорит о	2	2
122	этого рассказа	2	2
123	и т	14	2
124	эти два	3	2
125	и более	2	2
126	по своему	4	2
127	должна быть	5	2
128	что с	4	2
129	было бы	12	2
130	со всеми	2	2
131	со своей	2	2
132	в самом	25	2
133	несмотря на	5	2
134	не могу	2	2
135	может служить	7	2
136	имеет место	2	2
137	что она	16	2
138	все то	7	2
139	все те	2	2
140	что и	4	2
141	раз в	4	2
142	он может	2	2
143	второй план	6	2
144	узнаем что	2	2
145	а с	2	2
146	у нас	2	2
147	в течение	4	2
148	на самом	2	2
149	они не	2	2
150	и что	18	2
151	только что	2	2
152	с точки	9	2
153	не имеет	6	2
154	по его	3	2
155	так же	2	2
156	всякий раз	3	2
157	как на	3	2
158	той же	2	2
159	мы не	5	2
160	это был	2	2
161	но это	3	2
162	в ней	15	2
163	в виде	2	2
164	но он	2	2
165	в своих	4	2
166	т п	5	2
167	могли бы	5	2
168	представляют собой	2	2
169	здесь не	3	2
170	бы в	3	2
171	потому что	14	2
172	могло бы	2	2
173	том как	2	2
