N	2gram	Berdyaev_M_2	Marksizm
1	точки зрения	2	34
2	может быть	21	26
3	и не	18	26
4	не может	15	24
5	и в	46	19
6	и его	5	19
7	в этом	20	16
8	как бы	8	15
9	прежде всего	12	13
10	как и	13	12
11	так и	4	11
12	и для	7	11
13	связи с	2	11
14	в самом	5	10
15	в нем	22	10
16	– в	2	10
17	для него	18	9
18	лишь в	2	9
19	только в	3	9
20	но и	15	8
21	друг друга	12	8
22	до сих	3	8
23	не только	18	8
24	то что	5	8
25	– это	2	8
26	сих пор	3	8
27	в каждом	3	7
28	так же	6	7
29	и те	2	7
30	но в	10	7
31	во всех	2	7
32	то же	5	7
33	а не	13	7
34	в том	3	6
35	– не	3	6
36	и здесь	6	6
37	в его	5	6
38	на почве	3	6
39	ничего не	2	6
40	в конце	5	5
41	не в	9	5
42	до конца	4	5
43	те же	5	5
44	и потому	7	5
45	и все	5	5
46	по преимуществу	5	5
47	как ее	2	5
48	того чтобы	4	5
49	хотя бы	7	5
50	одни и	2	5
51	что в	4	4
52	в отношении	5	4
53	вопрос о	6	4
54	в ней	11	4
55	– его	2	4
56	это –	22	4
57	от того	3	4
58	а в	2	4
59	и на	3	4
60	тот же	2	4
61	сказать что	3	4
62	жизни в	3	4
63	по себе	2	4
64	– говорит	4	4
65	и тот	2	4
66	не будет	3	4
67	что же	2	4
68	как в	7	4
69	для того	5	4
70	и эта	2	4
71	отношении к	3	4
72	место в	2	3
73	и есть	8	3
74	и от	3	3
75	или иной	2	3
76	высшей степени	3	3
77	момент в	3	3
78	он –	8	3
79	не имеют	2	3
80	этот процесс	2	3
81	по отношению	2	3
82	не было	11	3
83	того что	6	3
84	не имеет	4	3
85	между тем	2	3
86	его в	3	3
87	в высшей	3	3
88	нет ничего	3	3
89	не существует	3	3
90	сознания и	2	3
91	к другому	3	3
92	и к	7	3
93	том что	4	3
94	в сущности	2	3
95	он не	10	3
96	не есть	13	3
97	в своей	5	3
98	– то	2	3
99	быть и	2	3
100	– все	2	3
101	это и	3	3
102	должны быть	4	3
103	и это	5	3
104	в которой	2	3
105	же как	3	2
106	никогда не	18	2
107	тому что	4	2
108	в своем	8	2
109	что все	5	2
110	одной и	2	2
111	ни в	3	2
112	в свою	4	2
113	в действительности	2	2
114	и той	2	2
115	но для	2	2
116	себе и	2	2
117	в нашем	7	2
118	жизни и	6	2
119	как к	2	2
120	и других	2	2
121	должно быть	2	2
122	можно было	2	2
123	в своих	3	2
124	же и	2	2
125	о том	3	2
126	как он	3	2
127	эта мысль	2	2
128	так как	8	2
129	бы в	2	2
130	нет ни	2	2
131	и с	3	2
132	от этого	2	2
133	в основе	2	2
134	если бы	3	2
135	и та	2	2
136	и во	3	2
137	если он	2	2
138	что он	7	2
139	в себе	10	2
140	для нашей	2	2
141	у нас	11	2
142	то в	2	2
143	они и	4	2
144	там и	6	2
145	она не	8	2
146	есть лишь	17	2
147	к тому	5	2
148	что и	4	2
149	отношению к	2	2
150	нем нет	2	2
151	бы и	5	2
152	человека в	14	2
153	к своему	2	2
154	что не	2	2
155	и он	11	2
156	менее всего	3	2
157	на смену	3	2
158	той же	3	2
159	образ и	5	2
160	связана с	7	2
161	тем что	3	2
162	не знает	9	2
163	в русской	6	2
164	в чем	3	2
