N	2gram	Losev_Prob_2	EvropaiC
1	таким образом	4	32
2	в том	12	31
3	и в	35	24
4	том что	19	20
5	все эти	7	19
6	не может	13	18
7	то что	38	17
8	может быть	18	15
9	все же	8	15
10	точки зрения	2	13
11	в своем	4	12
12	до сих	4	12
13	сих пор	4	12
14	самом деле	4	12
15	в этом	17	12
16	все это	4	11
17	с этим	5	11
18	как бы	4	10
19	все что	3	10
20	во всех	2	10
21	так и	7	10
22	на то	6	9
23	при этом	3	9
24	в результате	4	9
25	как и	5	9
26	что в	11	9
27	не в	2	8
28	в самом	5	8
29	так же	5	8
30	если бы	4	8
31	и все	5	8
32	ясно что	8	8
33	идет речь	2	8
34	не менее	13	7
35	для этого	3	7
36	к тому	3	7
37	но и	16	7
38	и не	37	7
39	и что	13	7
40	из этих	3	7
41	о котором	3	7
42	о том	18	7
43	что он	4	7
44	о которых	3	7
45	или менее	4	7
46	на самом	4	7
47	того чтобы	2	7
48	для того	3	7
49	из этого	2	7
50	более или	4	7
51	с другой	6	6
52	так что	11	6
53	в этой	9	6
54	в общем	4	6
55	несмотря на	3	6
56	друг от	2	6
57	от друга	2	6
58	отличается от	2	6
59	того что	12	6
60	как на	2	6
61	и на	5	6
62	так как	7	6
63	и при	2	6
64	еще не	10	6
65	что и	2	6
66	мы можем	6	6
67	только в	14	6
68	вместе с	2	6
69	и без	5	5
70	случае если	2	5
71	и от	3	5
72	что все	6	5
73	что с	2	5
74	в целом	3	5
75	и их	3	5
76	другой стороны	5	5
77	и с	10	5
78	потому что	13	5
79	его в	3	5
80	между собою	4	5
81	но в	6	5
82	ничем не	2	5
83	и к	3	5
84	в то	6	5
85	по своему	5	5
86	что при	4	5
87	и если	3	5
88	в его	7	5
89	не только	24	5
90	не будет	11	5
91	быть и	2	5
92	и для	6	5
93	но все	2	5
94	лишь в	3	5
95	в себе	5	5
96	как будто	6	5
97	далеко не	4	5
98	не могут	4	4
99	самого себя	2	4
100	в конце	7	4
101	в такой	2	4
102	этом случае	7	4
103	тем не	12	4
104	хотя и	3	4
105	в их	3	4
106	не так	2	4
107	должно быть	2	4
108	без того	2	4
109	и то	10	4
110	том случае	2	4
111	всех этих	4	4
112	между собой	5	4
113	в состоянии	2	4
114	связи с	5	4
115	мы должны	3	4
116	мы уже	3	4
117	он не	2	4
118	конце концов	7	4
119	не есть	33	4
120	оказывается что	3	4
121	совершенно не	2	4
122	то же	5	4
123	этой области	3	4
124	если мы	9	4
125	в в	2	4
126	из которых	2	4
127	хотя бы	12	4
128	в таком	11	4
129	в виде	6	4
130	состоит из	2	4
131	в области	6	4
132	что их	2	3
133	с одной	5	3
134	но даже	3	3
135	в нашем	3	3
136	в этих	4	3
137	эти элементы	2	3
138	представление о	5	3
139	вопрос о	3	3
140	в тех	2	3
141	для нас	9	3
142	уже и	3	3
143	не вполне	4	3
144	в настоящее	16	3
145	так или	6	3
146	на этой	2	3
147	данном случае	5	3
148	то ни	3	3
149	что оно	2	3
150	заключается в	4	3
151	и наконец	3	3
152	и по	3	3
153	а в	4	3
154	каждый из	2	3
155	в истории	3	3
156	настоящее время	16	3
157	что мы	14	3
158	при помощи	8	3
159	бы в	3	3
160	с тем	3	3
161	прежде всего	11	3
162	и того	3	3
163	у нас	18	3
164	тот же	4	3
165	конечно не	2	3
166	что если	4	3
167	даже в	2	3
168	в с	2	3
169	или иначе	6	3
170	в данном	10	3
171	которые не	2	3
172	тем более	10	3
173	в связи	5	3
174	и вообще	16	3
175	ничего общего	3	3
176	и это	5	3
177	не то	2	3
178	сказали что	2	3
179	независимо от	2	2
180	в частности	5	2
181	можно ли	6	2
182	тому что	3	2
183	о них	2	2
184	что на	4	2
185	как мы	5	2
186	сводится к	2	2
187	мы и	6	2
188	что они	3	2
189	одной стороны	5	2
190	и сам	2	2
191	к нему	2	2
192	в ней	2	2
193	но если	4	2
194	в виду	8	2
195	всяком случае	10	2
196	только один	3	2
197	бы то	2	2
198	другими словами	6	2
199	на том	3	2
200	он тоже	2	2
201	что она	4	2
202	то и	4	2
203	что для	3	2
204	в одно	2	2
205	между этими	2	2
206	а будет	2	2
207	только при	2	2
208	но как	6	2
209	говорить о	10	2
210	не было	3	2
211	также и	12	2
212	а это	3	2
213	во всяком	13	2
214	то есть	39	2
215	однако это	2	2
216	в основе	3	2
217	и более	5	2
218	только не	3	2
219	отнюдь не	5	2
220	друг к	2	2
221	при таком	2	2
222	до тех	4	2
223	в них	2	2
224	гораздо более	4	2
225	только мы	2	2
226	тогда когда	3	2
227	представить себе	4	2
228	вовсе не	37	2
229	на первый	4	2
230	при условии	6	2
231	только тогда	3	2
232	что до	2	2
233	одна из	3	2
234	но не	4	2
235	не очень	2	2
236	только то	3	2
237	она не	3	2
238	было бы	8	2
239	никто не	3	2
240	общего с	2	2
241	входящих в	2	2
242	и особенно	2	2
243	к другу	2	2
244	будет иметь	3	2
245	на него	2	2
246	что же	9	2
247	что под	2	2
248	одной и	2	2
249	тем самым	7	2
250	это обстоятельство	2	2
251	мы все	3	2
252	и ее	2	2
253	не знает	3	2
254	если это	2	2
255	если же	3	2
256	есть в	4	2
257	и только	4	2
258	и поэтому	2	2
