N	3gram	Vinokur_Ku_3	Myslijsy
1	в том что	8	16
2	только тогда когда	4	7
3	смысле этого слова	2	7
4	от того что	2	5
5	сам по себе	3	5
6	не в том	2	5
7	по отношению к	2	5
8	с другой стороны	3	4
9	не только в	3	4
10	и тем же	2	3
11	тем не менее	9	3
12	до сих пор	8	3
13	одним и тем	2	3
14	более или менее	2	3
15	и т д	8	3
16	с одной стороны	4	3
17	не может быть	3	3
18	что и в	2	3
19	только в том	2	3
20	для того чтобы	11	3
21	и в самом	4	2
22	так и в	3	2
23	в первом случае	2	2
24	в таком случае	2	2
25	сама по себе	2	2
26	в том чтобы	3	2
27	не могут быть	2	2
28	и т п	41	2
