N	2gram	Tiupa_Anal_3	Komedia
1	и в	18	22
2	том что	12	12
3	в том	9	11
4	но и	13	11
5	не только	22	10
6	в то	3	10
7	как и	14	9
8	может быть	9	9
9	в одном	4	8
10	таким образом	4	8
11	и не	12	8
12	и его	13	8
13	о том	6	8
14	едва ли	3	7
15	в этой	6	7
16	что в	9	6
17	в конце	5	6
18	что он	4	6
19	к тому	6	6
20	тому же	3	6
21	такого рода	5	6
22	и по	2	6
23	то же	3	6
24	не в	6	6
25	а в	10	6
26	уже в	3	5
27	с другой	7	5
28	прежде всего	5	5
29	о которых	2	5
30	при этом	11	5
31	в его	7	5
32	один из	2	5
33	на его	2	5
34	так и	14	5
35	как в	3	5
36	все это	3	5
37	другой стороны	5	5
38	и даже	8	5
39	между тем	5	5
40	именно в	3	4
41	в их	6	4
42	к этому	3	4
43	по поводу	3	4
44	несмотря на	2	4
45	же в	2	4
46	что они	3	4
47	в качестве	12	4
48	же время	3	4
49	а также	2	4
50	в нем	2	4
51	что и	5	4
52	так в	3	4
53	тем что	2	4
54	и вот	2	4
55	в результате	5	4
56	точки зрения	3	4
57	ли не	4	4
58	но в	2	4
59	мы можем	2	4
60	не менее	4	3
61	однако в	5	3
62	в них	2	3
63	в тех	2	3
64	и как	4	3
65	по своему	2	3
66	одной стороны	2	3
67	и сам	4	3
68	во второй	7	3
69	в начале	6	3
70	в частности	12	3
71	да и	2	3
72	хотя и	2	3
73	он не	6	3
74	даже в	2	3
75	все же	4	3
76	отношению к	7	3
77	в целом	3	3
78	по отношению	7	3
79	этом отношении	3	3
80	с одной	2	3
81	в году	3	3
82	не мог	2	3
83	мы не	3	3
84	как раз	7	3
85	и на	4	3
86	в этом	14	3
87	могут быть	2	3
88	и ее	2	3
89	только в	2	3
90	как правило	5	3
91	и все	2	3
92	его в	3	3
93	как это	3	3
94	ничего не	3	3
95	в противоположность	2	2
96	и здесь	2	2
97	в рамках	3	2
98	еще и	3	2
99	для всех	2	2
100	и без	3	2
101	столь же	4	2
102	здесь и	3	2
103	указывает на	3	2
104	в свою	5	2
105	тем не	2	2
106	одна из	2	2
107	но не	7	2
108	того же	5	2
109	в себя	2	2
110	еще не	6	2
111	было бы	3	2
112	со своей	8	2
113	в самом	5	2
114	в стихе	2	2
115	и самого	6	2
116	всяком случае	2	2
117	к числу	2	2
118	с ее	3	2
119	видеть в	2	2
120	то что	2	2
121	в первой	8	2
122	вместе с	2	2
123	судя по	2	2
124	со стороны	9	2
125	который в	3	2
126	в сущности	5	2
127	не может	2	2
128	принадлежит к	4	2
129	в форме	2	2
130	в принципе	2	2
131	путь к	3	2
132	во всяком	2	2
133	одну из	2	2
134	что касается	3	2
135	на себя	2	2
136	в себе	2	2
137	в финале	3	2
138	по своей	2	2
139	отличие от	2	2
140	что по	4	2
