N	2gram	Vinokur_Ku_1	Narrotol
1	не только	10	32
2	может быть	13	25
3	но и	6	23
4	в качестве	7	21
5	и не	12	20
6	и в	24	19
7	в том	30	18
8	в этом	14	17
9	в частности	4	14
10	том что	21	14
11	не в	11	14
12	состоит в	3	13
13	в рамках	4	12
14	а не	8	12
15	тогда как	2	12
16	то что	9	11
17	а в	5	11
18	не может	7	10
19	точки зрения	14	10
20	при этом	6	9
21	со стороны	4	9
22	так и	7	9
23	в его	12	9
24	с другой	7	8
25	не является	2	8
26	в себе	3	8
27	как и	2	7
28	еще не	5	7
29	к тому	5	7
30	все же	12	7
31	как в	4	7
32	по отношению	8	7
33	с его	4	6
34	что он	6	6
35	отношению к	9	6
36	но не	5	6
37	именно в	6	6
38	в той	5	6
39	тем самым	4	6
40	как это	3	6
41	иначе говоря	2	6
42	о том	9	6
43	но в	2	6
44	и как	2	5
45	нуждается в	3	5
46	по себе	2	5
47	или иной	3	5
48	можно сказать	3	5
49	не все	2	5
50	уже не	8	5
51	и его	5	5
52	в данном	4	5
53	к себе	4	5
54	в этой	3	5
55	переход от	4	4
56	во втором	2	4
57	прежде всего	9	4
58	в нем	4	4
59	что не	5	4
60	то же	8	4
61	же в	4	4
62	но все	2	4
63	в силу	10	4
64	в противовес	3	4
65	если не	3	4
66	же время	2	4
67	было бы	15	4
68	связи с	7	4
69	как бы	7	4
70	о нем	2	4
71	все те	2	4
72	речь идет	2	4
73	и тем	2	4
74	хотя бы	10	4
75	другой стороны	6	4
76	в особенности	3	4
77	не мог	2	4
78	не столько	2	4
79	только в	11	4
80	здесь не	3	4
81	и с	5	4
82	не менее	7	3
83	а с	3	3
84	что в	17	3
85	никогда не	2	3
86	уже в	3	3
87	из этих	4	3
88	в свою	3	3
89	тем не	4	3
90	ни в	2	3
91	это и	4	3
92	что они	4	3
93	свою очередь	3	3
94	в сущности	3	3
95	на том	3	3
96	хотя и	3	3
97	в ней	6	3
98	он не	2	3
99	и даже	3	3
100	если в	2	3
101	один из	4	3
102	не с	3	3
103	не есть	4	3
104	в первом	3	3
105	из них	4	3
106	когда он	3	3
107	а именно	2	3
108	этом отношении	5	3
109	сводится к	3	3
110	и он	3	3
111	или иначе	2	3
112	и на	4	3
113	между тем	5	3
114	тем что	8	3
115	на себя	3	3
116	в то	2	3
117	что это	5	3
118	должна быть	3	2
119	в своем	3	2
120	в какой	6	2
121	оно не	3	2
122	не всегда	2	2
123	или иного	3	2
124	в собственном	2	2
125	идет о	2	2
126	по существу	4	2
127	есть в	4	2
128	более или	3	2
129	между ними	2	2
130	языка и	8	2
131	в пределах	4	2
132	было в	2	2
133	несмотря на	3	2
134	например в	5	2
135	и потому	4	2
136	так или	2	2
137	даже в	3	2
138	не имеет	2	2
139	или менее	3	2
140	так же	4	2
141	как раз	8	2
142	не на	4	2
143	в связи	3	2
144	не было	3	2
145	все эти	6	2
146	этой точки	2	2
147	они не	3	2
148	самом деле	9	2
149	того или	4	2
150	одним из	2	2
151	и для	2	2
152	с точки	9	2
153	это не	7	2
154	роль в	4	2
155	поскольку оно	2	2
156	в таком	3	2
157	или в	2	2
158	можно было	6	2
159	не случайно	6	2
160	в результате	5	2
161	тем более	2	2
162	одно из	2	2
163	что касается	2	2
164	в структуре	2	2
165	этого слова	3	2
166	и все	2	2
167	когда мы	2	2
168	а если	3	2
169	ничего не	2	2
170	мы имеем	6	2
171	иное как	2	2
172	к которому	3	2
173	о чем	2	2
