N	2gram	Losev_Vesc_1	Formalny
1	и в	21	38
2	в этом	4	27
3	т е	55	26
4	может быть	16	23
5	и пр	6	21
6	и его	2	21
7	таким образом	8	20
8	и не	29	20
9	в самом	9	16
10	прежде всего	9	15
11	не в	5	15
12	и т	19	14
13	не может	17	14
14	в нем	2	13
15	но и	18	13
16	с тем	5	11
17	языка как	2	11
18	в том	8	11
19	вовсе не	10	11
20	в его	2	10
21	с другими	8	10
22	и с	8	9
23	как и	8	9
24	не только	36	9
25	отнюдь не	5	8
26	что и	3	8
27	все же	4	8
28	так и	3	8
29	самом деле	4	8
30	тем что	2	8
31	точки зрения	5	8
32	что в	9	7
33	по себе	13	7
34	для него	4	7
35	по существу	2	7
36	во втором	2	7
37	слова и	5	7
38	в своей	5	7
39	как мы	4	7
40	уже не	9	7
41	с точки	3	7
42	в первом	2	7
43	в результате	3	6
44	то что	27	6
45	и ее	18	6
46	в ней	12	6
47	в этой	3	6
48	было бы	14	6
49	то же	6	6
50	все эти	3	6
51	а не	19	6
52	как раз	9	6
53	только в	14	6
54	а в	4	6
55	хотя бы	6	6
56	должна быть	4	5
57	если бы	5	5
58	это и	6	5
59	в слове	2	5
60	по преимуществу	2	5
61	во всех	2	5
62	если мы	8	5
63	что же	8	5
64	с этим	3	5
65	и только	3	5
66	т д	19	5
67	и для	9	5
68	еще более	2	5
69	сводится к	2	5
70	в основе	3	5
71	говорить о	6	5
72	в то	3	5
73	бы в	5	5
74	во всяком	3	5
75	всяком случае	2	5
76	независимо от	5	4
77	оно не	3	4
78	к тому	3	4
79	что они	6	4
80	совершенно не	5	4
81	в сущности	4	4
82	как бы	12	4
83	из них	4	4
84	другой стороны	2	4
85	мы говорим	5	4
86	что оно	8	4
87	что не	5	4
88	и даже	6	4
89	даже и	4	4
90	от нее	2	4
91	ничего не	3	4
92	так как	7	4
93	но в	5	4
94	была бы	2	3
95	к действительности	2	3
96	и может	2	3
97	с другой	6	3
98	можно и	2	3
99	и здесь	4	3
100	и как	8	3
101	как ее	2	3
102	но именно	2	3
103	однако не	2	3
104	то это	3	3
105	не есть	49	3
106	жизни и	2	3
107	и их	7	3
108	только на	3	3
109	все это	5	3
110	то и	4	3
111	только и	2	3
112	того что	8	3
113	того чтобы	3	3
114	для того	2	3
115	мы не	6	3
116	или в	2	3
117	сам по	3	3
118	хотя и	4	3
119	чем же	3	3
120	понятий и	2	3
121	как к	4	3
122	слова в	2	3
123	но ведь	2	3
124	и все	5	3
125	его в	2	3
126	что это	13	3
127	не то	4	3
128	от этого	2	3
129	смысла и	5	2
130	для определения	2	2
131	никогда не	2	2
132	тому что	2	2
133	для этого	4	2
134	перед нами	2	2
135	от его	2	2
136	это не	5	2
137	в конце	2	2
138	в понятии	4	2
139	этих двух	2	2
140	с нею	18	2
141	не просто	19	2
142	между ними	3	2
143	как таковая	2	2
144	же это	4	2
145	а только	3	2
146	в ее	7	2
147	было и	2	2
148	том что	8	2
149	но это	10	2
150	то в	4	2
151	но не	5	2
152	и другое	4	2
153	кроме того	4	2
154	в работах	2	2
155	она не	4	2
156	ни на	3	2
157	общения и	2	2
158	что на	2	2
159	ее как	2	2
160	и о	3	2
161	конце концов	2	2
162	но совершенно	2	2
163	в котором	3	2
164	для нее	2	2
165	сами по	3	2
166	один из	3	2
167	и тем	3	2
168	есть только	7	2
169	не будет	12	2
170	от всех	4	2
171	со стороны	5	2
172	даже не	7	2
173	как она	4	2
174	слово и	4	2
175	смысл и	9	2
176	равно как	2	2
177	на этом	2	2
178	то ни	4	2
179	находится в	3	2
180	в в	2	2
181	в той	3	2
182	можно говорить	2	2
183	применении к	2	2
184	ясности и	2	2
185	должно быть	6	2
186	смысла т	2	2
187	есть лишь	2	2
188	с ними	3	2
189	и то	10	2
190	их в	3	2
191	сказать что	17	2
192	ничем не	3	2
193	является в	2	2
194	и от	3	2
195	ее с	5	2
196	нужно было	2	2
197	при помощи	2	2
198	и это	14	2
199	в чем	6	2
200	потому что	16	2
201	от всякого	4	2
202	как это	2	2
203	с ним	8	2
204	слово в	2	2
205	если это	2	2
206	в виду	2	2
