N	2gram	Tiupa_Vved_1	Dialekti
1	и не	12	30
2	по себе	2	25
3	и в	13	18
4	может быть	18	17
5	в нем	5	16
6	не имеет	2	15
7	а не	15	14
8	потому что	5	14
9	что в	3	13
10	то что	6	13
11	не только	20	13
12	если бы	7	12
13	было бы	4	12
14	в этом	21	12
15	не может	7	12
16	как бы	4	11
17	в себе	5	11
18	прежде всего	7	10
19	то же	5	10
20	что такое	18	10
21	никогда не	4	9
22	отнюдь не	7	9
23	это не	6	9
24	в том	10	9
25	так и	8	9
26	том что	7	9
27	стало быть	7	9
28	но это	3	8
29	не существует	2	7
30	но и	19	7
31	также и	4	7
32	той или	3	7
33	с другой	5	6
34	можно сказать	4	6
35	никак не	2	6
36	не было	2	6
37	не в	6	6
38	в то	4	6
39	с ним	3	6
40	но в	6	6
41	в этих	3	5
42	в своем	5	5
43	не с	3	5
44	все же	6	5
45	отношение к	2	5
46	а в	6	5
47	можно было	2	5
48	и с	2	5
49	говорить о	2	5
50	или не	2	5
51	и более	3	4
52	к тому	6	4
53	об этом	4	4
54	но не	5	4
55	же время	3	4
56	хотя и	7	4
57	не о	2	4
58	в котором	8	4
59	быть и	2	4
60	другой стороны	2	4
61	как раз	2	4
62	как мы	3	4
63	мы можем	2	4
64	о том	5	4
65	как он	2	4
66	если она	2	3
67	а лишь	2	3
68	в них	2	3
69	все равно	2	3
70	должна быть	2	3
71	не является	3	3
72	или иной	3	3
73	что и	2	3
74	точек зрения	2	3
75	более или	2	3
76	ли это	2	3
77	не хотят	2	3
78	он не	3	3
79	в его	4	3
80	если в	2	3
81	его с	2	3
82	один из	3	3
83	жизни и	7	3
84	или менее	2	3
85	что же	3	3
86	в самом	2	3
87	на самом	4	3
88	самом деле	3	3
89	в данном	13	3
90	в основе	3	3
91	в ней	4	3
92	могут быть	4	3
93	только в	6	3
94	и все	4	3
95	бы в	3	3
96	в сознании	4	3
97	не менее	4	2
98	но они	2	2
99	того что	6	2
100	бы и	4	2
101	в частности	13	2
102	человеческого сознания	2	2
103	в качестве	8	2
104	как в	4	2
105	не как	2	2
106	и от	2	2
107	точка зрения	3	2
108	из этих	3	2
109	к этому	2	2
110	тот кто	2	2
111	в мире	8	2
112	как и	11	2
113	мы и	2	2
114	как о	2	2
115	тому же	4	2
116	для него	3	2
117	еще не	7	2
118	одной стороны	5	2
119	о чем	2	2
120	вслед за	2	2
121	к ним	2	2
122	в своей	5	2
123	в современной	3	2
124	со стороны	5	2
125	а с	2	2
126	этом отношении	4	2
127	с одной	5	2
128	мы имеем	5	2
129	уже не	5	2
130	и для	3	2
131	то он	2	2
132	то и	2	2
133	что касается	5	2
134	он и	2	2
135	могла бы	3	2
136	ни от	2	2
137	которая не	2	2
138	тоже не	2	2
