N	2gram	Bakhtin_Pr_3	Dialekti
1	и не	29	30
2	по себе	3	25
3	т е	12	25
4	и т	8	21
5	т д	2	19
6	и в	34	18
7	ничего не	4	17
8	может быть	19	17
9	точки зрения	8	17
10	в нем	19	16
11	ни в	4	15
12	так что	5	15
13	а не	9	14
14	потому что	12	14
15	что в	7	13
16	то что	11	13
17	не только	10	13
18	и даже	7	13
19	если бы	4	12
20	было бы	2	12
21	и что	5	12
22	с точки	4	12
23	в этом	16	12
24	не может	19	12
25	что это	5	11
26	что он	23	11
27	как бы	27	11
28	все это	16	11
29	в себе	6	11
30	так как	4	11
31	прежде всего	15	10
32	то же	14	10
33	что такое	2	10
34	сказать что	2	10
35	никогда не	8	9
36	отнюдь не	2	9
37	это не	5	9
38	в том	3	9
39	внутреннего и	2	9
40	так и	6	9
41	том что	3	9
42	и то	3	9
43	сама по	2	8
44	но это	4	8
45	к нему	14	8
46	вовсе не	11	7
47	и как	3	7
48	то в	2	7
49	но и	12	7
50	что не	7	7
51	той или	2	7
52	как она	2	7
53	и внешнего	2	6
54	с другой	4	6
55	да и	4	6
56	хотя бы	5	6
57	не было	2	6
58	и вот	5	6
59	не в	9	6
60	в то	12	6
61	в чем	5	6
62	с ним	8	6
63	не то	2	6
64	но в	16	6
65	я не	7	5
66	он сам	5	5
67	в своем	2	5
68	говорит о	2	5
69	не с	2	5
70	все же	7	5
71	отношение к	6	5
72	в отношении	9	5
73	что оно	2	5
74	и он	2	5
75	есть только	3	5
76	а в	5	5
77	и с	15	5
78	говорить о	3	5
79	мы должны	5	5
80	в виду	3	5
81	нисколько не	2	4
82	и об	2	4
83	по крайней	3	4
84	в конце	5	4
85	к тому	5	4
86	во всяком	5	4
87	крайней мере	3	4
88	это и	2	4
89	но не	4	4
90	от него	6	4
91	же время	12	4
92	тут не	3	4
93	не могу	3	4
94	это я	5	4
95	на всю	2	4
96	хотя и	3	4
97	не о	4	4
98	в котором	3	4
99	быть и	2	4
100	так же	8	4
101	другой стороны	3	4
102	как раз	4	4
103	как мы	7	4
104	к ней	2	4
105	он есть	2	4
106	и вообще	2	4
107	о том	2	4
108	как он	3	4
109	и почти	2	3
110	всех этих	2	3
111	сознания и	3	3
112	тому что	2	3
113	в них	2	3
114	все равно	4	3
115	та же	2	3
116	этом смысле	4	3
117	не является	2	3
118	или иной	2	3
119	что и	5	3
120	точек зрения	2	3
121	что я	15	3
122	что они	6	3
123	ли это	2	3
124	конечно не	2	3
125	отношении к	7	3
126	он не	15	3
127	только с	3	3
128	в его	22	3
129	и потому	2	3
130	даже в	5	3
131	его с	4	3
132	один из	2	3
133	друг другу	4	3
134	жизни и	3	3
135	но только	2	3
136	что же	8	3
137	только на	4	3
138	в самом	8	3
139	еще более	2	3
140	но все	5	3
141	но с	2	3
142	на самом	11	3
143	самом деле	13	3
144	только что	3	3
145	и тут	2	3
146	должно быть	3	3
147	жизнь и	2	3
148	конце концов	3	3
149	в ней	3	3
150	даже и	4	3
151	нуждается в	3	3
152	и вы	4	3
153	только в	6	3
154	и все	19	3
155	бы в	3	3
156	на этом	4	2
157	не менее	3	2
158	того что	5	2
159	бы и	4	2
160	в виде	4	2
161	не знает	6	2
162	были бы	2	2
163	как в	4	2
164	но так	3	2
165	с этой	2	2
166	не как	3	2
167	эти последние	2	2
168	и от	5	2
169	раз и	3	2
170	и другого	3	2
171	с другими	4	2
172	а просто	2	2
173	в каждом	3	2
174	вопрос о	2	2
175	себе самом	5	2
176	в мире	4	2
177	ни было	4	2
178	как и	18	2
179	мы и	2	2
180	такой же	3	2
181	тому же	2	2
182	для него	13	2
183	еще не	4	2
184	мы увидим	2	2
185	о чем	2	2
186	себе и	5	2
187	же он	2	2
188	в него	3	2
189	всяком случае	5	2
190	мог бы	2	2
191	как можно	3	2
192	из них	5	2
193	в своей	3	2
194	к самому	3	2
195	для этого	3	2
196	что даже	2	2
197	т п	6	2
198	с этим	2	2
199	а с	3	2
200	все эти	4	2
201	уже не	2	2
202	и у	5	2
203	и для	8	2
204	стремится к	6	2
205	отличается от	2	2
206	с ними	6	2
207	и так	5	2
208	же и	2	2
209	он и	5	2
210	в которых	2	2
211	но как	4	2
212	в другом	8	2
213	во всем	3	2
214	я в	4	2
215	и это	4	2
216	мне не	2	2
217	почти все	2	2
218	нет ни	2	2
219	если и	2	2
220	это было	3	2
