N	2gram	Propp_Isto_1	DiskursI
1	в качестве	5	34
2	не только	12	28
3	в том	9	23
4	а не	15	22
5	том что	7	19
6	может быть	25	17
7	представляет собой	4	17
8	и в	28	16
9	как и	4	16
10	в этом	8	15
11	еще не	7	14
12	но и	10	14
13	при этом	3	13
14	прежде всего	10	11
15	но не	5	11
16	и не	9	11
17	по своей	2	11
18	с другой	6	10
19	как в	2	10
20	в частности	2	9
21	в нем	2	9
22	отношению к	3	9
23	одной стороны	4	9
24	по отношению	3	9
25	не может	15	9
26	с одной	4	9
27	так и	9	8
28	о том	9	8
29	но в	8	8
30	в основе	4	7
31	в его	5	7
32	со стороны	2	7
33	то же	12	7
34	в себе	2	7
35	только в	11	7
36	не в	9	7
37	в своем	5	6
38	и как	2	6
39	ни к	2	6
40	в рамках	2	5
41	к тому	6	5
42	в силу	5	5
43	как бы	2	5
44	в котором	3	5
45	то что	9	5
46	во всех	2	5
47	в отличие	2	5
48	а с	2	5
49	а в	7	5
50	в их	3	5
51	в эпоху	2	5
52	отличие от	2	5
53	и на	4	5
54	что в	12	4
55	не как	3	4
56	что он	10	4
57	уже не	3	4
58	для него	2	4
59	в целом	2	4
60	одной из	2	4
61	связи с	4	4
62	в особенности	2	4
63	что не	2	4
64	потому что	4	4
65	между тем	2	4
66	могут быть	4	4
67	как правило	4	4
68	перед нами	3	3
69	в сказке	44	3
70	однако в	2	3
71	столь же	2	3
72	это не	7	3
73	вследствие этого	2	3
74	как уже	2	3
75	по себе	3	3
76	что и	6	3
77	в ее	2	3
78	с этим	4	3
79	в действительности	2	3
80	в данной	2	3
81	к ним	4	3
82	еще в	2	3
83	или на	3	3
84	один из	4	3
85	в сказании	2	3
86	не с	3	3
87	хотя бы	4	3
88	все же	10	3
89	из них	3	3
90	бы быть	3	3
91	таким образом	8	3
92	именно в	3	3
93	того что	4	3
94	должны быть	4	3
95	другой стороны	5	3
96	и даже	4	3
97	ведет к	2	3
98	сказать что	5	3
99	тем что	3	3
100	в то	3	3
101	также и	3	3
102	и потому	2	3
103	но они	2	2
104	зависит от	2	2
105	сказки и	6	2
106	по мере	2	2
107	не менее	6	2
108	никогда не	14	2
109	между собой	4	2
110	в какой	3	2
111	или даже	3	2
112	а сам	2	2
113	представления о	3	2
114	или меньшей	2	2
115	в одном	5	2
116	к этому	2	2
117	не всегда	8	2
118	однако это	3	2
119	не более	2	2
120	в тех	2	2
121	ему в	3	2
122	об этом	4	2
123	его как	2	2
124	в пределах	4	2
125	исторические корни	2	2
126	более или	5	2
127	на этом	3	2
128	большей или	2	2
129	указывает на	2	2
130	так например	6	2
131	в начале	3	2
132	одним из	2	2
133	о нем	2	2
134	и др	7	2
135	будто бы	3	2
136	например в	5	2
137	точка зрения	2	2
138	и тем	2	2
139	не есть	2	2
140	а по	2	2
141	себя в	2	2
142	когда он	6	2
143	дело не	5	2
144	в форме	3	2
145	или менее	5	2
146	что же	3	2
147	приводит к	2	2
148	дело с	2	2
149	отношения к	2	2
150	как мы	3	2
151	и что	10	2
152	том чтобы	2	2
153	и он	3	2
154	и по	3	2
155	и его	3	2
156	или в	5	2
157	здесь в	2	2
158	мы имеем	13	2
159	героя в	5	2
160	к которому	5	2
161	в другом	3	2
162	же самое	3	2
163	в этой	6	2
164	рассматривать как	2	2
165	они не	4	2
166	это было	2	2
