N	2gram	Tiupa_Anal_1	Sovremen
1	не может	22	17
2	точки зрения	6	12
3	может быть	29	12
4	таким образом	3	11
5	в этом	13	7
6	и в	18	7
7	и не	21	6
8	как и	13	6
9	что же	2	5
10	прежде всего	6	5
11	все эти	2	5
12	с точки	4	5
13	как бы	5	4
14	нет и	2	4
15	в целом	5	4
16	вместе с	4	4
17	это не	6	4
18	а в	9	4
19	вопрос о	2	4
20	не только	15	4
21	в том	27	4
22	из них	2	4
23	так как	2	4
24	все же	4	3
25	отнюдь не	15	3
26	он может	2	3
27	между собой	2	3
28	отличается от	2	3
29	то же	9	3
30	в нем	3	3
31	а не	17	3
32	и к	3	3
33	не в	14	3
34	в этой	5	3
35	еще не	3	3
36	при этом	12	3
37	было бы	2	3
38	и все	3	3
39	как он	3	3
40	в первом	2	3
41	в себе	11	3
42	в области	4	3
43	но в	8	3
44	и потому	2	3
45	может иметь	2	2
46	не могут	3	2
47	и есть	3	2
48	в нашем	3	2
49	принципиально не	3	2
50	в отличие	6	2
51	из этих	2	2
52	своего предмета	3	2
53	с одной	3	2
54	как мы	2	2
55	уже не	4	2
56	или иной	6	2
57	самом деле	2	2
58	роль в	2	2
59	из которых	4	2
60	и по	2	2
61	она может	3	2
62	той же	2	2
63	то ни	3	2
64	в таком	3	2
65	из четырех	2	2
66	такой же	2	2
67	на этом	2	2
68	времени и	6	2
69	могут быть	4	2
70	как известно	3	2
71	что в	5	2
72	же самое	2	2
73	на его	2	2
74	такого рода	5	2
75	в самом	6	2
76	в которой	2	2
77	отличие от	6	2
78	в его	13	2
