N	2gram	Bakhtin_Pr_2	NovoeSre
1	а не	10	17
2	не может	24	16
3	и в	45	16
4	нового времени	3	12
5	и не	42	11
6	что в	6	9
7	жизни и	15	8
8	как не	5	8
9	он не	9	8
10	в том	8	8
11	как и	14	7
12	в этом	20	7
13	может быть	18	7
14	с его	8	6
15	никогда не	17	6
16	не знает	4	6
17	не в	8	6
18	лишь в	2	6
19	но это	2	6
20	ни в	2	6
21	в нем	20	5
22	все это	5	5
23	в жизни	3	5
24	с ее	3	5
25	и к	2	5
26	в ней	7	5
27	не только	16	5
28	не менее	2	4
29	то что	5	4
30	перестает быть	3	4
31	в них	4	4
32	это не	3	4
33	не было	2	4
34	не имеет	3	4
35	и для	2	4
36	должно быть	4	4
37	потому что	8	4
38	прежде всего	11	4
39	о том	3	4
40	и потому	6	4
41	но и	15	3
42	не есть	2	3
43	должна быть	3	3
44	в своей	6	3
45	в истории	2	3
46	жизни в	2	3
47	человека и	2	3
48	во всех	4	3
49	и пр	2	3
50	в мире	3	3
51	в ее	3	3
52	в основе	2	3
53	подобно тому	2	3
54	конечно не	6	3
55	как в	4	3
56	она не	5	3
57	еще не	9	3
58	тому как	2	3
59	за пределы	5	3
60	сказать что	5	3
61	к ним	3	3
62	не значит	2	3
63	это было	2	3
64	что все	3	2
65	я не	6	2
66	на протяжении	3	2
67	все время	3	2
68	себя в	2	2
69	у него	6	2
70	если нет	2	2
71	бытия в	2	2
72	все они	4	2
73	так и	3	2
74	что она	4	2
75	для этого	3	2
76	мысли и	3	2
77	и т.п	6	2
78	и от	3	2
79	а в	3	2
80	этом смысле	5	2
81	все эти	4	2
82	быть в	2	2
83	уже не	6	2
84	нет и	3	2
85	и даже	3	2
86	хотя бы	5	2
87	но не	6	2
88	вот почему	3	2
89	так же	5	2
90	том что	7	2
91	в смысле	2	2
92	можно было	2	2
93	есть в	8	2
94	же как	4	2
95	одна из	3	2
96	и с	7	2
97	и что	2	2
98	могут быть	4	2
99	и на	7	2
100	в себе	5	2
101	с их	4	2
102	в то	5	2
103	как это	2	2
104	хотя и	2	2
105	но в	6	2
