N	2gram	Medvedev_U_1	Istorich
1	и в	14	26
2	то что	7	16
3	не только	10	15
4	может быть	6	14
5	но и	4	12
6	что он	2	10
7	таким образом	2	10
8	что и	2	9
9	все же	3	9
10	и не	8	9
11	то же	5	8
12	превращается в	2	7
13	как и	3	7
14	в этом	7	7
15	не может	7	6
16	а не	10	6
17	и то	3	6
18	могут быть	2	6
19	это не	3	5
20	но не	2	5
21	и только	5	5
22	ничего не	2	5
23	в его	2	5
24	и у	2	5
25	до сих	2	5
26	сих пор	2	5
27	в некоторых	2	5
28	не в	2	5
29	и с	2	5
30	тем что	2	5
31	но в	3	5
32	с другой	4	4
33	в своей	3	4
34	другой стороны	3	4
35	в том	2	3
36	по существу	2	3
37	том что	2	3
38	но это	2	3
39	что она	2	3
40	что мы	2	3
41	только в	2	3
42	о чем	2	3
43	не могут	2	2
44	должна быть	2	2
45	это уже	2	2
46	смысле этого	2	2
47	его и	2	2
48	формы и	2	2
49	а как	2	2
50	по себе	2	2
51	было бы	3	2
52	если бы	2	2
53	конечно не	4	2
54	у нас	3	2
55	в частности	3	2
56	хотя бы	5	2
57	не есть	2	2
58	все это	5	2
59	не случайно	2	2
60	даже и	2	2
61	в себе	2	2
62	же самое	2	2
63	в этой	4	2
64	в области	3	2
