N	2gram	Voloshinov_1	EvropaiE
1	и в	19	37
2	в отношении	4	32
3	в пределах	6	25
4	точки зрения	34	23
5	что в	4	21
6	не только	8	18
7	с точки	20	17
8	в то	3	16
9	хотя бы	5	15
10	то же	7	15
11	отношении к	4	15
12	в своем	2	14
13	в качестве	2	14
14	же время	3	14
15	но и	8	14
16	и не	26	14
17	но в	7	14
18	в этом	16	12
19	в том	6	11
20	в области	3	11
21	так и	11	10
22	отнюдь не	6	9
23	прежде всего	13	9
24	в смысле	6	9
25	не может	24	9
26	в себе	2	9
27	только в	9	9
28	так же	7	9
29	к тому	2	8
30	в ее	7	8
31	было бы	4	8
32	в своей	3	8
33	между тем	3	8
34	как и	12	7
35	того что	3	7
36	с другой	5	7
37	так как	2	7
38	эти области	2	6
39	с этой	2	6
40	вовсе не	5	6
41	том что	3	6
42	может быть	26	6
43	для того	4	6
44	как бы	15	6
45	то что	8	6
46	во всех	7	6
47	того чтобы	5	6
48	и даже	2	6
49	и на	4	6
50	же как	2	5
51	в частности	2	5
52	не в	5	5
53	одной из	3	5
54	но если	2	5
55	как мы	13	5
56	от этого	2	5
57	и потому	5	5
58	ни было	10	4
59	независимо от	2	4
60	то ни	8	4
61	именно в	5	4
62	вопрос о	4	4
63	или иной	3	4
64	можно сказать	3	4
65	иными словами	2	4
66	бы то	8	4
67	в самом	10	4
68	то в	2	4
69	в ней	4	4
70	в процессе	14	4
71	по себе	4	4
72	мы не	6	4
73	в направлении	7	4
74	не имеет	3	4
75	сказать что	4	4
76	в каком	3	4
77	место в	3	3
78	и к	3	3
79	этом отношении	3	3
80	никогда не	2	3
81	жизни в	4	3
82	и от	3	3
83	этом смысле	2	3
84	это так	2	3
85	мы можем	2	3
86	в свою	2	3
87	того же	6	3
88	не дает	3	3
89	в данной	2	3
90	из них	3	3
91	всяком случае	2	3
92	не является	4	3
93	что и	2	3
94	не будет	4	3
95	бы и	2	3
96	как в	4	3
97	и только	2	3
98	и для	11	3
99	и прежде	2	3
100	в таком	2	3
101	можно было	2	3
102	в результате	9	3
103	во всяком	5	3
104	тем что	2	3
105	в данном	4	3
106	во все	2	3
107	о том	2	3
108	там где	2	3
109	большинстве случаев	3	3
110	мира и	2	3
111	в процессах	2	2
112	что все	2	2
113	не могут	3	2
114	или хотя	2	2
115	и более	2	2
116	для них	2	2
117	а не	7	2
118	значения для	2	2
119	в какой	3	2
120	во втором	2	2
121	и во	2	2
122	с этим	4	2
123	в большинстве	3	2
124	и все	5	2
125	и ту	3	2
126	и эта	4	2
127	как же	4	2
128	и того	6	2
129	и как	3	2
130	свою очередь	2	2
131	между ними	4	2
132	должна быть	2	2
133	но именно	3	2
134	она не	2	2
135	имеет место	2	2
136	по преимуществу	5	2
137	дело идет	4	2
138	на язык	3	2
139	он не	3	2
140	в его	6	2
141	мог бы	2	2
142	и этот	2	2
143	в котором	3	2
144	точка зрения	7	2
145	каких бы	3	2
146	не есть	3	2
147	жизни и	2	2
148	целый ряд	3	2
149	что же	4	2
150	а в	4	2
151	таким образом	17	2
152	если бы	2	2
153	в идеологическом	4	2
154	и других	2	2
155	культуры и	2	2
156	на этот	3	2
157	другой стороны	6	2
158	этот процесс	3	2
159	с другими	3	2
160	или в	2	2
161	в своих	2	2
162	этот вопрос	5	2
163	и та	2	2
164	и с	2	2
165	могут быть	2	2
166	в истории	3	2
167	мы должны	3	2
168	далеко не	4	2
169	как оно	2	2
170	между собой	2	2
171	бы в	2	2
