N	2gram	Potebnia_M_2	SlovoVZh
1	не может	12	16
2	может быть	23	14
3	и его	2	13
4	как бы	9	13
5	таким образом	11	12
6	и в	24	12
7	в нашем	2	11
8	по отношению	2	11
9	и не	19	10
10	если бы	11	9
11	так как	10	9
12	прежде всего	7	8
13	для нас	31	7
14	сказать что	2	7
15	в нем	9	6
16	при этом	13	6
17	в том	18	6
18	только в	11	6
19	слова и	3	6
20	в ней	3	6
21	в жизни	2	5
22	то что	20	5
23	никогда не	4	5
24	а не	18	5
25	то же	12	5
26	хотя бы	2	5
27	как и	7	5
28	том что	8	5
29	как в	10	5
30	что мы	11	5
31	и следовательно	2	5
32	но в	4	5
33	ни было	3	4
34	все же	5	4
35	так и	5	4
36	от того	5	4
37	с другой	6	4
38	на самом	2	4
39	уже не	4	4
40	что не	5	4
41	не в	13	4
42	в этом	8	4
43	и на	8	4
44	его в	3	4
45	в самом	4	4
46	за пределы	2	4
47	не только	15	4
48	в котором	4	3
49	в них	5	3
50	отношении к	2	3
51	и уже	5	3
52	не менее	5	3
53	в некоторых	4	3
54	сих пор	4	3
55	все это	2	3
56	и по	2	3
57	и вообще	3	3
58	все эти	2	3
59	по себе	15	3
60	но и	9	3
61	того что	7	3
62	и проч	10	3
63	или не	5	3
64	тем не	6	3
65	так же	2	3
66	самом деле	2	3
67	мы не	11	3
68	о том	5	3
69	в каком	3	3
70	в себе	10	3
71	для него	10	3
72	до сих	4	3
73	еще не	4	3
74	и для	3	3
75	с ним	5	3
76	между тем	6	3
77	место в	4	2
78	перестает быть	2	2
79	уже в	5	2
80	зависит от	2	2
81	но мы	3	2
82	с его	2	2
83	что и	11	2
84	в душе	23	2
85	независимо от	9	2
86	но все	2	2
87	что в	16	2
88	на все	3	2
89	как не	3	2
90	вместе с	11	2
91	себя и	2	2
92	остаются вне	2	2
93	общего с	2	2
94	а к	2	2
95	в этих	3	2
96	на него	3	2
97	в какой	2	2
98	допустим что	2	2
99	другой стороны	2	2
100	что слово	2	2
101	это не	3	2
102	влияние на	4	2
103	и все	3	2
104	бы не	5	2
105	тогда когда	10	2
106	с одной	4	2
107	к этому	2	2
108	те же	3	2
109	в себя	2	2
110	вместе со	2	2
111	и что	4	2
112	ко всем	2	2
113	слова но	2	2
114	не есть	6	2
115	не так	3	2
116	и здесь	2	2
117	как на	3	2
118	и притом	3	2
119	с другими	5	2
120	но это	3	2
121	такой же	4	2
122	и то	3	2
123	тем как	2	2
124	мы можем	12	2
125	но не	12	2
126	быть только	2	2
127	могут быть	8	2
128	но тем	3	2
129	но что	2	2
130	одно и	2	2
131	в формах	2	2
132	в то	6	2
133	одной стороны	3	2
134	может стать	2	2
135	мы в	3	2
136	слова так	2	2
137	имеет место	2	2
138	там где	4	2
139	которые мы	3	2
140	оно не	3	2
141	в чем	7	2
142	как это	2	2
143	в его	2	2
144	и потому	2	2
145	относится к	3	2
146	между ними	2	2
