N	3gram	Vygotskiy__4	Psycholo
1	в том что	31	17
2	для того чтобы	5	13
3	в самом деле	6	11
4	с точки зрения	11	10
5	заключается в том	14	10
6	с таким образом	3	8
7	то же самое	7	6
8	на то что	4	6
9	в этом отношении	7	5
10	только в том	2	4
11	в данном случае	2	4
12	что в основе	6	4
13	так же как	5	4
14	о том что	3	4
15	и той же	4	4
16	можно было бы	5	4
17	одной и той	4	4
18	в том виде	2	3
19	в том чтобы	2	3
20	точно так же	3	3
21	с тем что	3	3
22	по сравнению с	3	2
23	более и более	2	2
24	этой точки зрения	4	2
25	в свою очередь	2	2
26	все более и	2	2
27	так как в	2	2
28	это значит что	2	2
29	и те же	3	2
30	тому или иному	2	2
31	мы видим что	2	2
32	состоит в том	3	2
33	во всяком случае	3	2
34	подобно тому как	2	2
35	и то что	4	2
36	в этой области	2	2
37	и что в	2	2
38	но так как	2	2
39	одни и те	3	2
40	с другой стороны	8	2
