N	2gram	Bakhtin_Fr_8	PoTuStor
1	может быть	3	17
2	и в	56	16
3	прежде всего	6	9
4	таким образом	17	9
5	в этом	14	9
6	и его	12	8
7	и с	8	8
8	точки зрения	6	8
9	не может	2	8
10	с его	5	7
11	сказать что	3	7
12	не только	8	7
13	и к	4	6
14	с точки	2	6
15	самом деле	2	6
16	для него	2	6
17	при этом	4	6
18	конечно не	4	6
19	все эти	15	5
20	ни в	2	5
21	еще не	10	5
22	как бы	11	5
23	в нем	8	4
24	и их	8	4
25	но и	9	4
26	так и	13	4
27	все это	8	4
28	и все	6	4
29	так как	4	4
30	и не	9	4
31	на самом	2	4
32	как мы	7	4
33	и ее	4	4
34	можно сказать	2	4
35	и наконец	3	4
36	и даже	8	4
37	и на	7	4
38	в этой	6	4
39	с ее	5	4
40	только в	9	4
41	его в	2	4
42	но в	6	4
43	в его	18	4
44	во время	5	3
45	на две	2	3
46	в этих	11	3
47	что в	5	3
48	во всех	8	3
49	и др	8	3
50	вместе с	2	3
51	сих пор	8	3
52	в большинстве	7	3
53	в одном	2	3
54	большинстве случаев	6	3
55	в том	13	3
56	а в	2	3
57	том что	8	3
58	и как	2	3
59	с их	2	3
60	то что	3	3
61	их в	4	3
62	в основе	4	3
63	только на	2	3
64	мира и	2	3
65	в области	5	3
66	и потому	4	3
67	до сих	8	3
68	между ними	2	3
69	не стали	2	2
70	один из	5	2
71	что и	3	2
72	в развитии	2	2
73	ни было	2	2
74	в частности	7	2
75	никогда не	5	2
76	в них	11	2
77	во всей	2	2
78	с этой	2	2
79	то же	11	2
80	к этому	2	2
81	по всему	2	2
82	на них	3	2
83	и других	4	2
84	с помощью	3	2
85	что он	2	2
86	мы не	2	2
87	в систему	3	2
88	и т.п	11	2
89	что на	2	2
90	у него	7	2
91	и для	2	2
92	все остальные	2	2
93	как и	5	2
94	они не	5	2
95	мы видим	6	2
96	так же	2	2
97	но это	2	2
98	мы уже	10	2
99	совсем не	2	2
100	по своему	8	2
101	не на	3	2
102	а на	2	2
103	он не	5	2
104	есть и	5	2
105	между собою	2	2
106	в каком	2	2
107	момент в	2	2
108	в пределах	5	2
109	ту же	4	2
110	было бы	2	2
111	что это	4	2
112	о том	4	2
113	в самом	9	2
114	за пределы	4	2
115	в своей	2	2
116	и о	3	2
117	с ним	2	2
118	к ним	2	2
