N	2gram	Medvedev_V_1	Problemy
1	и в	26	35
2	как бы	5	31
3	и не	19	27
4	что он	4	24
5	в его	14	21
6	но в	2	19
7	не может	17	18
8	как и	7	18
9	в нем	6	16
10	то же	10	15
11	но и	10	14
12	для него	8	14
13	может быть	22	14
14	все это	10	14
15	и его	6	14
16	в этом	26	14
17	он не	2	13
18	прежде всего	13	12
19	и к	3	12
20	в другом	2	12
21	в пределах	5	11
22	в то	6	11
23	не в	6	10
24	же время	5	10
25	не только	25	10
26	то что	6	10
27	ни одного	2	9
28	так и	5	8
29	все же	5	8
30	и для	2	8
31	лишь в	2	7
32	так же	3	7
33	а в	3	7
34	и наконец	2	7
35	точки зрения	3	7
36	с его	3	7
37	вовсе не	3	7
38	еще не	2	7
39	себе и	2	7
40	отношению к	7	7
41	таким образом	31	7
42	он сам	2	6
43	что в	10	6
44	в каждом	2	6
45	к тому	4	6
46	что они	3	6
47	в самом	4	6
48	что у	2	6
49	в одном	4	6
50	но не	2	6
51	в слове	3	6
52	по отношению	7	6
53	в плане	5	6
54	только в	7	6
55	в конце	3	5
56	в том	15	5
57	и даже	2	5
58	с ними	4	5
59	во время	3	5
60	он и	2	5
61	даже в	5	5
62	в себе	6	5
63	никогда не	4	4
64	с другой	11	4
65	или иной	2	4
66	не о	2	4
67	же и	2	4
68	вот как	4	4
69	между тем	5	4
70	но как	3	4
71	его в	3	4
72	бы в	3	4
73	я бы	2	4
74	у него	6	4
75	как раз	3	4
76	в них	4	4
77	по себе	2	4
78	нет и	3	4
79	в своей	4	4
80	а не	7	4
81	что не	3	4
82	и у	2	4
83	в творчестве	3	4
84	в чем	2	4
85	все его	2	4
86	и от	3	3
87	из рассказа	2	3
88	в общем	2	3
89	в виду	4	3
90	в целом	4	3
91	из них	9	3
92	другой стороны	8	3
93	в форме	3	3
94	ее как	2	3
95	все эти	6	3
96	того что	3	3
97	должно быть	2	3
98	это не	7	3
99	сказать что	5	3
100	даже и	3	3
101	говорить о	2	3
102	в котором	3	3
103	с тем	3	3
104	с этим	3	3
105	в ее	4	3
106	это и	6	3
107	том что	8	3
108	было бы	7	3
109	во всех	6	3
110	конце концов	2	3
111	что и	3	3
112	когда он	3	3
113	только что	4	3
114	сводится к	3	3
115	только с	2	3
116	так сказать	2	2
117	не менее	2	2
118	на вопрос	2	2
119	тому что	6	2
120	и мир	3	2
121	что все	3	2
122	мы знаем	3	2
123	что его	2	2
124	из его	3	2
125	в последнем	2	2
126	было в	2	2
127	со своим	2	2
128	например в	3	2
129	хотя и	2	2
130	мы видели	3	2
131	в своем	8	2
132	что оно	3	2
133	достоевского и	2	2
134	и по	3	2
135	чего бы	2	2
136	тому как	2	2
137	но для	2	2
138	в которых	3	2
139	их в	6	2
140	в ней	2	2
141	что даже	2	2
142	о том	10	2
143	как он	2	2
144	нет ни	2	2
145	а как	2	2
146	всех этих	2	2
147	для его	4	2
148	будто бы	2	2
149	в жизни	2	2
150	а затем	2	2
151	ли это	2	2
152	и этот	2	2
153	вместе с	7	2
154	этот процесс	2	2
155	бы и	6	2
156	говорит о	7	2
157	приводит к	5	2
158	бы не	2	2
159	чтобы не	2	2
160	и он	2	2
161	и как	3	2
162	хотя бы	19	2
163	в которой	2	2
164	или в	3	2
165	можно было	2	2
166	с другими	2	2
167	пока еще	2	2
168	подобно тому	2	2
169	братьев карамазовых	2	2
