N	2gram	Tiupa_Lite_2	Analitik
1	тогда как	9	19
2	в этом	9	18
3	в частности	4	16
4	и в	19	16
5	не только	8	16
6	так и	7	15
7	как и	10	14
8	в том	10	12
9	своего рода	13	12
10	но и	10	12
11	и не	11	12
12	том что	7	12
13	в качестве	5	11
14	могут быть	2	10
15	как бы	2	10
16	при этом	6	10
17	а не	20	10
18	и даже	8	9
19	в этой	3	9
20	ничего не	3	9
21	то есть	5	9
22	в данном	3	8
23	отнюдь не	4	8
24	состоит в	9	8
25	уединенного сознания	5	8
26	в целом	2	8
27	и т.п	10	8
28	не случайно	4	8
29	представляет собой	2	8
30	всего лишь	3	8
31	в себе	6	7
32	то что	7	7
33	о том	2	7
34	а также	2	7
35	с другой	8	6
36	в мире	9	6
37	и на	6	6
38	может быть	17	6
39	как это	2	6
40	но в	2	6
41	и к	2	5
42	данном случае	3	5
43	с одной	7	5
44	на себя	2	5
45	лирического героя	4	5
46	не менее	6	4
47	столь же	5	4
48	в конце	2	4
49	у него	2	4
50	этом случае	2	4
51	уже не	2	4
52	не в	4	4
53	но не	5	4
54	того же	4	4
55	тем самым	3	4
56	для него	4	4
57	одной стороны	6	4
58	как правило	3	4
59	в сущности	3	4
60	по преимуществу	2	4
61	не с	3	4
62	отношению к	3	4
63	во всех	3	4
64	как раз	2	4
65	по отношению	4	4
66	не может	9	4
67	на этом	2	4
68	и его	3	4
69	то же	12	4
70	коммуникативного события	2	4
71	не так	2	4
72	точки зрения	4	4
73	в себя	3	4
74	в рамках	4	3
75	никогда не	3	3
76	в нашем	2	3
77	не столько	3	3
78	по крайней	2	3
79	на фоне	5	3
80	прежде всего	4	3
81	как уже	2	3
82	при всей	2	3
83	одной из	2	3
84	тем не	2	3
85	так что	4	3
86	в ситуации	2	3
87	было бы	2	3
88	и сам	2	3
89	крайней мере	2	3
90	и за	2	3
91	что и	2	3
92	из них	2	3
93	со стороны	3	3
94	в их	3	3
95	и одновременно	2	3
96	и читателя	2	3
97	авторитарного сознания	12	3
98	этом отношении	3	3
99	не знает	2	3
100	а в	3	3
101	тому как	2	3
102	являет собой	2	3
103	и то	3	3
104	в результате	2	3
105	тем что	4	3
106	подобно тому	2	3
107	я в	7	3
108	и т.д	7	3
109	едва ли	4	3
110	я и	4	3
111	в конечном	5	3
112	в противоположность	2	2
113	того что	5	2
114	речь идет	3	2
115	обращаясь к	3	2
116	для всех	5	2
117	как писал	2	2
118	в одном	2	2
119	вовсе не	2	2
120	из своих	2	2
121	к своему	2	2
122	конечном счете	5	2
123	а затем	2	2
124	по существу	3	2
125	соответствии с	2	2
126	присутствия в	2	2
127	все что	2	2
128	же время	9	2
129	ведь это	2	2
130	что в	4	2
131	еще не	2	2
132	такого рода	9	2
133	в роли	2	2
134	еще в	4	2
135	себе не	2	2
136	даже в	4	2
137	один из	4	2
138	с ее	2	2
139	себя в	6	2
140	вместе с	5	2
141	ли не	4	2
142	другой стороны	4	2
143	своего другого	3	2
144	той же	2	2
145	свидетельствует о	2	2
146	и он	3	2
147	и для	3	2
148	с точки	3	2
149	художественного мира	2	2
150	и до	2	2
151	одно из	2	2
152	он не	5	2
153	он и	2	2
154	о себе	3	2
155	в то	9	2
156	в его	4	2
157	в поэзии	3	2
158	с ним	2	2
