N	2gram	Propp_Russ_2	Analitik
1	в качестве	3	31
2	может быть	13	29
3	в том	22	27
4	не может	5	22
5	и в	29	18
6	а не	4	17
7	но и	8	17
8	представляет собой	2	16
9	не только	10	15
10	тогда как	2	14
11	не в	4	14
12	как и	11	13
13	в этом	11	13
14	том что	22	12
15	при этом	6	12
16	состоит в	15	11
17	но не	5	10
18	то же	4	9
19	а в	9	9
20	в то	2	9
21	но в	5	8
22	том чтобы	2	7
23	это не	5	6
24	прежде всего	2	6
25	далеко не	4	6
26	должен быть	2	6
27	то что	5	6
28	в своей	2	6
29	в отличие	3	6
30	отличие от	3	6
31	мы имеем	6	6
32	и как	2	5
33	в этой	3	5
34	что в	22	5
35	как бы	18	5
36	в их	2	5
37	между тем	3	5
38	и на	6	5
39	что иное	2	5
40	о том	9	5
41	иное как	2	5
42	того что	3	4
43	могут быть	2	4
44	с другой	2	4
45	не всегда	3	4
46	не что	2	4
47	для того	6	4
48	не с	2	4
49	все же	2	4
50	вместе с	6	4
51	именно в	4	4
52	уже не	4	4
53	из которых	2	4
54	с другими	3	4
55	с другим	2	4
56	и все	4	3
57	и т	5	3
58	при рассмотрении	2	3
59	еще не	6	3
60	одной стороны	2	3
61	одним из	2	3
62	в котором	3	3
63	дело не	2	3
64	что и	2	3
65	а именно	3	3
66	таким образом	6	3
67	а с	2	3
68	с одной	2	3
69	того чтобы	6	3
70	к нему	4	3
71	в таком	4	3
72	тому как	3	3
73	подобно тому	3	3
74	будто бы	5	3
75	а также	4	3
76	в состав	2	3
77	и то	2	2
78	никогда не	2	2
79	все эти	3	2
80	между собой	2	2
81	для этого	5	2
82	не столько	2	2
83	из этих	2	2
84	и п	13	2
85	тогда когда	4	2
86	вопрос о	4	2
87	как уже	2	2
88	должно быть	2	2
89	было бы	3	2
90	и о	3	2
91	за пределами	2	2
92	еще в	2	2
93	не все	4	2
94	один из	2	2
95	представляют собой	7	2
96	не к	2	2
97	из них	4	2
98	данном случае	7	2
99	на этом	3	2
100	на самом	2	2
101	и по	3	2
102	как мы	3	2
103	на себя	2	2
104	каждый из	2	2
105	в данном	6	2
106	так как	13	2
107	потому что	5	2
108	в которой	2	2
109	и с	10	2
