N	2gram	Bakhtin_Pr_3	Psycholo
1	то что	11	32
2	и в	34	31
3	в том	3	30
4	и т	8	26
5	что в	7	23
6	может быть	19	22
7	таким образом	5	20
8	при этом	4	19
9	так как	4	18
10	не может	19	17
11	как и	18	16
12	том что	3	16
13	и не	29	16
14	т п	6	16
15	точки зрения	8	15
16	только в	6	14
17	а не	9	13
18	не только	10	13
19	что и	5	13
20	так же	8	12
21	в этом	16	12
22	в самом	8	11
23	с таким	4	11
24	не в	9	11
25	в сущности	11	10
26	того что	5	10
27	потому что	12	10
28	по себе	3	9
29	ни в	4	9
30	как в	4	9
31	самом деле	13	9
32	никогда не	8	8
33	вместе с	4	8
34	все это	16	8
35	показать что	2	8
36	т д	2	8
37	и что	5	8
38	во всяком	5	8
39	что он	23	7
40	и его	16	7
41	тому как	2	7
42	сказать что	2	7
43	о том	2	7
44	что это	5	6
45	вовсе не	11	6
46	до конца	3	6
47	было бы	2	6
48	если бы	4	6
49	всяком случае	5	6
50	отнюдь не	2	6
51	а в	5	6
52	и даже	7	6
53	в его	22	6
54	и все	19	5
55	не является	2	5
56	в ее	3	5
57	все же	7	5
58	так что	5	5
59	как бы	27	5
60	был бы	2	5
61	в целом	5	5
62	другой стороны	3	5
63	и для	8	5
64	то же	14	5
65	с другой	4	5
66	подобно тому	2	5
67	в то	12	5
68	как будто	7	5
69	к тому	5	4
70	в которой	2	4
71	в котором	3	4
72	все время	5	4
73	в виду	3	4
74	прежде всего	15	4
75	тому что	2	4
76	столь же	2	4
77	и так	5	4
78	очень часто	2	4
79	в себе	6	4
80	отличие от	2	4
81	что я	15	4
82	мы увидим	2	4
83	у него	4	4
84	со всеми	2	4
85	и если	2	4
86	от себя	6	4
87	один из	2	4
88	те же	2	4
89	и у	5	4
90	совпадает с	2	4
91	с этой	2	4
92	этого слова	7	4
93	там где	7	4
94	между тем	3	4
95	под влиянием	3	3
96	уже в	3	3
97	совсем не	3	3
98	как на	2	3
99	с тем	5	3
100	его и	3	3
101	в своем	2	3
102	что у	6	3
103	та же	2	3
104	что все	4	3
105	в каждом	3	3
106	вопрос о	2	3
107	и к	12	3
108	точек зрения	2	3
109	мы знаем	2	3
110	тому же	2	3
111	мысль что	2	3
112	это и	2	3
113	но это	4	3
114	но не	4	3
115	из его	4	3
116	например в	2	3
117	хотя и	3	3
118	в слове	5	3
119	он не	15	3
120	жизни и	3	3
121	в своей	3	3
122	так и	6	3
123	только на	4	3
124	тому чтобы	2	3
125	в отличие	2	3
126	не было	2	3
127	что оно	2	3
128	и вот	5	3
129	но только	2	3
130	той же	2	3
131	в которых	2	3
132	в одной	3	3
133	и только	2	3
134	с этим	2	3
135	нуждается в	3	3
136	слова в	7	3
137	у меня	6	3
138	во всем	3	3
139	в конце	5	3
140	и это	4	3
141	конце концов	3	3
142	но в	16	3
143	т е	12	3
144	не менее	3	2
145	на вопрос	4	2
146	такой же	3	2
147	сама по	2	2
148	этом смысле	4	2
149	в другой	2	2
150	и как	3	2
151	и без	2	2
152	в них	2	2
153	и во	3	2
154	и от	5	2
155	и другого	3	2
156	в жизни	2	2
157	это в	2	2
158	в такой	3	2
159	с ним	8	2
160	смысле этого	2	2
161	она в	2	2
162	тем не	2	2
163	уже не	2	2
164	и потому	2	2
165	должна была	2	2
166	себя и	8	2
167	что они	6	2
168	что даже	2	2
169	того же	2	2
170	что с	3	2
171	ли это	2	2
172	тот же	2	2
173	когда она	2	2
174	о чем	2	2
175	что такое	2	2
176	к другим	2	2
177	далеко не	3	2
178	в него	3	2
179	даже в	5	2
180	наконец в	3	2
181	в нем	19	2
182	мы видели	3	2
183	отношение к	6	2
184	из них	5	2
185	когда он	2	2
186	но и	12	2
187	говорит о	2	2
188	что же	8	2
189	как мы	7	2
190	только что	3	2
191	я хотел	2	2
192	отличается от	2	2
193	как раз	4	2
194	на самом	11	2
195	мыслей и	2	2
196	к чему	2	2
197	к нему	14	2
198	есть только	3	2
199	с точки	4	2
200	от него	6	2
201	увидим что	2	2
202	отказаться от	2	2
203	тенденция к	2	2
204	в чем	5	2
205	ничего не	4	2
206	как к	4	2
207	их в	3	2
208	и с	15	2
209	бы и	4	2
210	но как	4	2
211	и то	3	2
212	бы в	3	2
213	будто бы	2	2
214	его в	4	2
215	как он	3	2
216	почти все	2	2
217	не то	2	2
218	в одном	5	2
219	как она	2	2
220	зависимость от	2	2
221	или как	2	2
