N	3gram	Losev_Prob_2	Freidism
1	во всяком случае	10	7
2	не может быть	3	7
3	в самом деле	2	6
4	и прежде всего	2	5
5	в данном случае	5	4
6	в то же	4	4
7	можно сказать что	3	4
8	на самом деле	2	4
9	с самого начала	2	3
10	бы то ни	2	3
11	в таком случае	10	3
12	и тот же	2	3
13	и той же	2	3
14	один и тот	2	3
15	одной и той	2	3
16	для того чтобы	2	3
17	но если мы	2	2
18	то или иное	2	2
19	то же самое	5	2
20	с одной стороны	5	2
21	тем не менее	12	2
22	в конце концов	7	2
23	это и есть	2	2
24	может быть и	2	2
25	до сих пор	4	2
